date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,24,0.0,11.6,7,97,05:20 PM,05:29 AM,06:41 AM,06:01 PM,18,30,30,29,10,6,52,0.0,1012,31,10,86,8,Bangkok
2018-01-02,31,24,0.0,11.6,7,100,06:23 PM,06:33 AM,06:42 AM,06:02 PM,18,30,30,29,11,7,52,0.0,1011,31,10,39,9,Bangkok
2018-01-03,32,25,0.0,11.6,7,89,07:28 PM,07:36 AM,06:42 AM,06:03 PM,18,31,31,29,8,24,52,0.0,1010,32,10,122,6,Bangkok
2018-01-04,33,26,0.0,11.6,7,81,08:31 PM,08:35 AM,06:42 AM,06:03 PM,19,32,32,30,6,19,50,0.0,1010,33,10,208,5,Bangkok
2018-01-05,34,27,0.0,11.6,8,74,09:32 PM,09:29 AM,06:43 AM,06:04 PM,19,34,34,31,9,16,49,0.0,1009,34,10,226,7,Bangkok
2018-01-06,33,27,0.0,5.8,7,67,10:28 PM,10:18 AM,06:43 AM,06:04 PM,20,33,33,31,9,56,54,0.0,1008,33,10,224,7,Bangkok
2018-01-07,32,27,0.0,11.6,7,59,11:22 PM,11:04 AM,06:43 AM,06:05 PM,22,33,33,29,18,35,65,4.6,1010,32,10,183,14,Bangkok
2018-01-08,32,27,0.0,11.6,7,52,No moonrise,11:47 AM,06:44 AM,06:05 PM,23,33,33,30,14,30,68,0.1,1011,32,10,189,11,Bangkok
2018-01-09,34,27,0.0,11.6,8,45,12:13 AM,12:28 PM,06:44 AM,06:06 PM,22,35,35,31,9,33,62,2.3,1012,34,10,205,6,Bangkok
2018-01-10,30,26,0.0,10.2,7,38,01:03 AM,01:09 PM,06:44 AM,06:06 PM,22,31,31,28,15,48,69,7.5,1014,30,10,94,10,Bangkok
2018-01-11,29,24,0.0,8.7,6,30,01:52 AM,01:50 PM,06:44 AM,06:07 PM,18,27,27,26,9,76,59,0.1,1015,29,10,113,7,Bangkok
2018-01-12,28,22,0.0,10.2,6,23,02:40 AM,02:31 PM,06:45 AM,06:08 PM,14,26,26,25,16,57,49,0.0,1016,28,10,38,12,Bangkok
2018-01-13,28,20,0.0,11.6,6,16,03:29 AM,03:15 PM,06:45 AM,06:08 PM,13,25,25,24,13,25,49,0.0,1016,28,10,105,10,Bangkok
2018-01-14,29,21,0.0,11.6,7,9,04:18 AM,04:00 PM,06:45 AM,06:09 PM,14,27,27,26,16,8,48,0.0,1014,29,10,187,12,Bangkok
2018-01-15,30,22,0.0,10.2,7,1,05:07 AM,04:47 PM,06:45 AM,06:09 PM,15,28,28,27,11,19,48,0.0,1012,30,10,188,8,Bangkok
2018-01-16,32,24,0.0,11.6,7,0,05:55 AM,05:36 PM,06:45 AM,06:10 PM,16,29,29,29,7,16,46,0.0,1011,32,10,196,5,Bangkok
2018-01-17,33,25,0.0,11.6,7,0,06:42 AM,06:24 PM,06:45 AM,06:10 PM,18,32,32,30,5,9,48,0.0,1010,33,10,259,4,Bangkok
2018-01-18,34,26,0.0,11.6,7,6,07:28 AM,07:14 PM,06:45 AM,06:11 PM,18,32,32,31,8,9,46,0.0,1010,34,10,191,6,Bangkok
2018-01-19,34,26,0.0,11.6,8,13,08:11 AM,08:03 PM,06:46 AM,06:11 PM,17,32,32,31,9,10,43,0.0,1010,34,10,28,7,Bangkok
2018-01-20,34,27,0.0,11.6,8,20,08:54 AM,08:53 PM,06:46 AM,06:12 PM,17,32,32,31,8,34,43,0.0,1010,34,10,87,6,Bangkok
2018-01-21,34,27,0.0,11.6,8,28,09:36 AM,09:42 PM,06:46 AM,06:12 PM,19,34,34,32,6,29,47,0.0,1009,34,10,136,5,Bangkok
2018-01-22,34,28,0.0,11.6,8,35,10:16 AM,10:32 PM,06:46 AM,06:13 PM,20,34,34,32,6,33,50,0.0,1008,34,10,206,5,Bangkok
2018-01-23,35,28,0.0,11.6,8,42,10:57 AM,11:23 PM,06:46 AM,06:13 PM,20,35,35,32,5,43,51,0.0,1008,35,10,189,4,Bangkok
2018-01-24,34,28,0.0,11.6,8,49,11:40 AM,No moonset,06:46 AM,06:14 PM,21,34,34,31,9,34,53,0.0,1008,34,10,204,7,Bangkok
2018-01-25,33,28,0.0,11.6,7,57,12:24 PM,12:15 AM,06:46 AM,06:14 PM,22,34,34,30,12,38,60,1.5,1008,33,10,176,9,Bangkok
2018-01-26,33,27,0.0,11.6,7,64,01:12 PM,01:10 AM,06:46 AM,06:15 PM,22,34,34,30,14,34,62,3.3,1008,33,10,191,10,Bangkok
2018-01-27,32,27,0.0,11.6,7,71,02:04 PM,02:08 AM,06:46 AM,06:15 PM,22,33,33,30,15,24,63,0.9,1009,32,10,194,11,Bangkok
2018-01-28,33,28,0.0,11.6,8,78,03:00 PM,03:09 AM,06:46 AM,06:16 PM,21,34,34,31,15,33,59,0.4,1009,33,10,193,12,Bangkok
2018-01-29,34,28,0.0,11.6,8,86,04:01 PM,04:11 AM,06:45 AM,06:16 PM,21,34,34,31,14,20,58,0.0,1010,34,10,187,10,Bangkok
2018-01-30,33,28,0.0,11.6,8,93,05:05 PM,05:14 AM,06:45 AM,06:17 PM,22,34,34,30,19,19,63,0.1,1010,33,10,184,14,Bangkok
2018-01-31,32,28,0.0,11.6,7,97,06:08 PM,06:14 AM,06:45 AM,06:17 PM,22,33,33,30,19,18,63,0.3,1011,32,10,167,15,Bangkok
2018-02-01,32,27,0.0,11.6,7,88,07:11 PM,07:12 AM,06:45 AM,06:18 PM,21,32,32,29,15,21,61,0.6,1012,32,10,123,12,Bangkok
2018-02-02,32,25,0.0,7.3,7,81,08:11 PM,08:05 AM,06:45 AM,06:18 PM,19,30,30,29,16,56,55,0.0,1013,32,10,92,13,Bangkok
2018-02-03,28,24,0.0,8.7,6,73,09:08 PM,08:54 AM,06:45 AM,06:19 PM,17,28,28,26,14,79,55,0.0,1015,28,10,131,11,Bangkok
2018-02-04,30,23,0.0,10.2,7,66,10:02 PM,09:40 AM,06:44 AM,06:19 PM,14,27,27,27,11,52,46,0.0,1015,30,10,51,8,Bangkok
2018-02-05,31,24,0.0,11.6,7,58,10:54 PM,10:23 AM,06:44 AM,06:19 PM,14,28,28,28,11,23,42,0.0,1016,31,10,58,8,Bangkok
2018-02-06,30,23,0.0,11.6,7,51,11:45 PM,11:05 AM,06:44 AM,06:20 PM,13,28,28,28,10,4,41,0.0,1015,30,10,91,8,Bangkok
2018-02-07,31,24,0.0,11.6,7,43,No moonrise,11:47 AM,06:44 AM,06:20 PM,14,29,29,29,11,4,42,0.0,1013,31,10,138,9,Bangkok
2018-02-08,30,25,0.0,11.6,7,36,12:34 AM,12:29 PM,06:43 AM,06:20 PM,18,30,30,29,10,5,53,0.0,1012,30,10,163,9,Bangkok
2018-02-09,31,26,0.0,11.6,7,28,01:24 AM,01:12 PM,06:43 AM,06:21 PM,20,30,30,28,19,13,61,0.0,1011,31,10,181,14,Bangkok
2018-02-10,32,26,0.0,11.6,7,20,02:13 AM,01:57 PM,06:43 AM,06:21 PM,21,32,32,29,14,10,62,0.1,1013,32,10,185,11,Bangkok
2018-02-11,32,26,0.0,11.6,7,13,03:02 AM,02:43 PM,06:43 AM,06:22 PM,21,33,33,30,10,22,58,0.0,1013,32,10,195,8,Bangkok
2018-02-12,33,27,0.0,11.6,7,5,03:50 AM,03:31 PM,06:42 AM,06:22 PM,18,32,32,30,14,22,50,0.4,1015,33,10,107,11,Bangkok
2018-02-13,32,25,0.0,11.6,7,0,04:38 AM,04:19 PM,06:42 AM,06:22 PM,15,30,30,29,11,9,43,0.0,1016,32,10,105,9,Bangkok
2018-02-14,34,26,0.0,11.6,7,0,05:24 AM,05:09 PM,06:41 AM,06:22 PM,18,35,35,33,3,2,42,0.0,1015,34,10,146,3,Bangkok
2018-02-15,34,27,0.0,11.6,7,0,06:09 AM,05:59 PM,06:41 AM,06:23 PM,19,34,34,32,11,1,47,0.0,1013,34,10,204,9,Bangkok
2018-02-16,34,27,0.0,11.6,8,2,06:52 AM,06:49 PM,06:41 AM,06:23 PM,21,34,34,31,15,2,54,0.0,1011,34,10,191,12,Bangkok
2018-02-17,34,27,0.0,11.6,8,10,07:35 AM,07:39 PM,06:40 AM,06:23 PM,21,34,34,31,15,5,56,0.0,1010,34,10,190,12,Bangkok
2018-02-18,33,28,0.0,11.6,7,17,08:16 AM,08:29 PM,06:40 AM,06:24 PM,22,34,34,30,19,7,62,0.0,1010,33,10,185,15,Bangkok
2018-02-19,32,27,0.0,11.6,7,25,08:57 AM,09:20 PM,06:39 AM,06:24 PM,23,34,34,30,15,24,66,0.6,1011,32,10,190,12,Bangkok
2018-02-20,32,27,0.0,11.6,7,32,09:39 AM,10:11 PM,06:39 AM,06:24 PM,22,33,33,30,17,24,65,3.2,1010,32,10,192,13,Bangkok
2018-02-21,33,27,0.0,11.6,7,40,10:22 AM,11:05 PM,06:38 AM,06:24 PM,22,34,34,30,19,15,65,4.0,1009,33,10,189,14,Bangkok
2018-02-22,32,27,0.0,11.6,7,47,11:08 AM,No moonset,06:38 AM,06:25 PM,23,34,34,30,16,13,66,2.5,1009,32,10,185,12,Bangkok
2018-02-23,32,27,0.0,8.8,7,55,11:57 AM,12:01 AM,06:37 AM,06:25 PM,22,33,33,30,8,42,62,8.3,1011,32,10,131,5,Bangkok
2018-02-24,33,27,0.0,11.6,7,62,12:50 PM,12:58 AM,06:37 AM,06:25 PM,21,34,34,30,7,38,59,3.7,1013,33,10,178,5,Bangkok
2018-02-25,35,28,0.0,10.2,8,70,01:47 PM,01:58 AM,06:36 AM,06:25 PM,22,36,36,32,8,31,57,0.0,1011,35,10,184,6,Bangkok
2018-02-26,33,28,0.0,11.6,8,77,02:47 PM,02:58 AM,06:36 AM,06:26 PM,22,35,35,31,13,22,62,4.8,1011,33,9,183,10,Bangkok
2018-02-27,33,27,0.0,11.6,7,85,03:49 PM,03:58 AM,06:35 AM,06:26 PM,22,34,34,31,11,18,60,1.8,1011,33,10,194,9,Bangkok
2018-02-28,34,28,0.0,11.6,8,93,04:51 PM,04:55 AM,06:35 AM,06:26 PM,22,35,35,32,9,13,57,0.5,1010,34,10,208,8,Bangkok
2018-03-01,34,28,0.0,11.6,8,96,05:52 PM,05:50 AM,06:34 AM,06:26 PM,22,35,35,31,15,10,59,0.0,1009,34,10,189,12,Bangkok
2018-03-02,34,28,0.0,11.6,8,100,06:50 PM,06:40 AM,06:34 AM,06:26 PM,22,35,35,31,20,11,61,3.4,1009,34,10,183,15,Bangkok
2018-03-03,34,28,0.0,11.6,8,89,07:47 PM,07:28 AM,06:33 AM,06:26 PM,23,35,35,31,20,13,63,0.0,1008,34,10,181,15,Bangkok
2018-03-04,34,28,0.0,11.6,8,82,08:41 PM,08:13 AM,06:33 AM,06:27 PM,23,36,36,31,17,11,61,0.0,1009,34,10,185,13,Bangkok
2018-03-05,34,29,0.0,11.6,8,74,09:34 PM,08:57 AM,06:32 AM,06:27 PM,23,37,37,32,15,13,61,0.0,1009,34,10,189,12,Bangkok
2018-03-06,35,29,0.0,11.6,8,67,10:25 PM,09:40 AM,06:31 AM,06:27 PM,23,37,37,32,16,17,59,0.1,1009,35,10,189,13,Bangkok
2018-03-07,34,29,0.0,11.6,8,60,11:16 PM,10:22 AM,06:31 AM,06:27 PM,23,36,36,32,17,19,60,0.0,1010,34,10,188,13,Bangkok
2018-03-08,34,29,0.0,11.6,8,53,No moonrise,11:06 AM,06:30 AM,06:27 PM,23,36,36,31,14,24,62,10.4,1010,34,9,175,10,Bangkok
2018-03-09,29,27,0.0,8.8,7,45,12:05 AM,11:51 AM,06:29 AM,06:27 PM,21,31,31,29,19,53,64,11.4,1012,29,9,104,13,Bangkok
2018-03-10,34,25,0.0,11.6,7,38,12:55 AM,12:37 PM,06:29 AM,06:27 PM,16,31,31,30,10,25,46,0.0,1013,34,10,89,8,Bangkok
2018-03-11,35,28,0.0,11.6,8,31,01:44 AM,01:25 PM,06:28 AM,06:28 PM,16,32,32,32,7,19,39,0.0,1012,35,10,121,5,Bangkok
2018-03-12,34,29,0.0,11.6,8,24,02:32 AM,02:13 PM,06:28 AM,06:28 PM,19,34,34,32,12,20,47,0.0,1012,34,10,158,10,Bangkok
2018-03-13,34,28,0.0,11.6,8,16,03:19 AM,03:02 PM,06:27 AM,06:28 PM,21,34,34,31,18,21,55,0.0,1011,34,10,195,14,Bangkok
2018-03-14,34,28,0.0,11.6,8,9,04:04 AM,03:52 PM,06:26 AM,06:28 PM,22,34,34,31,23,15,61,0.1,1010,34,10,184,18,Bangkok
2018-03-15,34,28,0.0,11.6,8,2,04:48 AM,04:42 PM,06:26 AM,06:28 PM,21,34,34,31,21,5,55,0.0,1010,34,10,188,16,Bangkok
2018-03-16,34,28,0.0,11.6,8,0,05:31 AM,05:33 PM,06:25 AM,06:28 PM,22,34,34,31,19,16,61,0.2,1010,34,10,176,15,Bangkok
2018-03-17,34,28,0.0,11.6,8,0,06:13 AM,06:23 PM,06:24 AM,06:28 PM,22,35,35,31,18,9,61,0.0,1010,34,10,182,14,Bangkok
2018-03-18,34,28,0.0,11.6,8,5,06:55 AM,07:15 PM,06:24 AM,06:28 PM,22,35,35,31,19,8,60,0.0,1011,34,10,188,16,Bangkok
2018-03-19,35,29,0.0,11.6,8,13,07:37 AM,08:07 PM,06:23 AM,06:28 PM,22,36,36,32,20,10,57,0.0,1010,35,10,188,15,Bangkok
2018-03-20,35,29,0.0,11.6,8,20,08:21 AM,09:01 PM,06:22 AM,06:29 PM,22,36,36,32,21,7,58,0.6,1009,35,10,185,16,Bangkok
2018-03-21,35,29,0.0,11.6,8,27,09:07 AM,09:56 PM,06:21 AM,06:29 PM,22,37,37,32,18,10,57,0.4,1009,35,10,175,13,Bangkok
2018-03-22,34,28,0.0,10.2,8,34,09:55 AM,10:54 PM,06:21 AM,06:29 PM,22,35,35,31,11,24,56,0.8,1009,34,10,119,9,Bangkok
2018-03-23,34,28,0.0,11.6,8,42,10:46 AM,11:53 PM,06:20 AM,06:29 PM,20,34,34,32,10,27,51,0.6,1010,34,10,151,8,Bangkok
2018-03-24,34,28,0.0,8.8,8,49,11:42 AM,No moonset,06:19 AM,06:29 PM,21,35,35,32,10,35,54,0.1,1011,34,10,165,8,Bangkok
2018-03-25,33,29,0.0,11.6,8,56,12:39 PM,12:51 AM,06:19 AM,06:29 PM,22,35,35,31,16,20,57,0.5,1012,33,10,183,13,Bangkok
2018-03-26,34,29,0.0,11.6,8,63,01:39 PM,01:50 AM,06:18 AM,06:29 PM,22,35,35,31,14,35,57,1.0,1012,34,10,191,11,Bangkok
2018-03-27,33,29,0.0,10.2,8,71,02:39 PM,02:46 AM,06:17 AM,06:29 PM,22,35,35,31,10,26,57,0.1,1011,33,10,178,8,Bangkok
2018-03-28,34,28,0.0,10.2,8,78,03:39 PM,03:40 AM,06:17 AM,06:29 PM,22,35,35,31,19,29,58,1.0,1010,34,10,187,15,Bangkok
2018-03-29,34,29,0.0,11.6,8,85,04:36 PM,04:30 AM,06:16 AM,06:29 PM,22,35,35,31,21,23,58,0.4,1009,34,10,180,16,Bangkok
2018-03-30,35,29,0.0,11.6,8,93,05:33 PM,05:18 AM,06:15 AM,06:29 PM,23,36,36,31,21,10,60,0.4,1009,35,10,181,16,Bangkok
2018-03-31,34,29,0.0,11.6,8,96,06:27 PM,06:04 AM,06:15 AM,06:29 PM,23,37,37,32,15,13,59,2.9,1009,34,10,168,12,Bangkok
2018-04-01,33,29,0.0,11.6,8,89,07:21 PM,06:48 AM,06:14 AM,06:30 PM,22,36,36,32,11,35,58,2.0,1010,33,10,180,8,Bangkok
2018-04-02,34,29,0.0,10.2,8,81,08:13 PM,07:31 AM,06:13 AM,06:30 PM,23,36,36,32,9,22,58,11.3,1010,34,9,189,7,Bangkok
2018-04-03,34,29,0.0,11.6,8,74,09:05 PM,08:14 AM,06:13 AM,06:30 PM,23,36,36,32,10,23,60,2.0,1010,34,10,191,8,Bangkok
2018-04-04,33,29,0.0,11.6,8,66,09:56 PM,08:58 AM,06:12 AM,06:30 PM,23,35,35,31,19,19,62,3.2,1008,33,10,183,15,Bangkok
2018-04-05,34,29,0.0,11.6,8,59,10:46 PM,09:44 AM,06:11 AM,06:30 PM,22,35,35,31,17,22,58,1.1,1008,34,10,186,13,Bangkok
2018-04-06,35,29,0.0,11.6,8,51,11:37 PM,10:29 AM,06:11 AM,06:30 PM,22,36,36,32,14,25,56,1.9,1008,35,10,187,11,Bangkok
2018-04-07,31,26,0.0,10.2,7,44,No moonrise,11:17 AM,06:10 AM,06:30 PM,20,31,31,29,24,43,59,4.9,1013,31,9,89,18,Bangkok
2018-04-08,31,24,0.0,11.6,7,36,12:25 AM,12:05 PM,06:09 AM,06:30 PM,15,28,28,28,14,26,46,0.0,1014,31,10,72,11,Bangkok
