date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-6,-11,0.0,8.7,2,97,04:55 PM,06:25 AM,07:09 AM,04:59 PM,-21,-16,-9,-16,25,10,37,0.0,1042,-6,10,15,19,Memphis(TN)
2018-01-02,-4,-12,0.0,8.7,2,100,06:01 PM,07:29 AM,07:09 AM,05:00 PM,-24,-13,-8,-13,15,53,27,0.0,1039,-4,10,27,11,Memphis(TN)
2018-01-03,1,-7,0.0,8.7,2,89,07:10 PM,08:26 AM,07:09 AM,05:01 PM,-17,-6,-3,-6,13,31,34,0.0,1027,1,10,272,10,Memphis(TN)
2018-01-04,-2,-6,0.0,8.7,2,81,08:19 PM,09:16 AM,07:09 AM,05:02 PM,-15,-7,-4,-7,13,6,43,0.0,1029,-2,10,275,10,Memphis(TN)
2018-01-05,4,-6,0.0,8.7,2,74,09:26 PM,10:00 AM,07:09 AM,05:03 PM,-16,-4,-1,-4,11,9,33,0.0,1030,4,10,137,7,Memphis(TN)
2018-01-06,2,-4,0.0,8.7,2,67,10:30 PM,10:38 AM,07:09 AM,05:03 PM,-12,-6,-2,-6,20,8,44,0.0,1033,2,10,69,14,Memphis(TN)
2018-01-07,6,-2,0.0,3.7,1,59,11:31 PM,11:14 AM,07:09 AM,05:04 PM,-4,-2,3,-2,32,69,63,0.0,1025,6,10,149,19,Memphis(TN)
2018-01-08,8,5,0.0,3.7,2,52,No moonrise,11:47 AM,07:09 AM,05:05 PM,5,4,6,4,21,97,91,1.0,1019,8,8,96,14,Memphis(TN)
2018-01-09,8,4,0.0,3.7,2,45,12:30 AM,12:19 PM,07:09 AM,05:06 PM,6,5,6,5,14,96,95,0.1,1022,8,6,50,9,Memphis(TN)
2018-01-10,14,9,0.0,3.7,3,38,01:28 AM,12:53 PM,07:09 AM,05:07 PM,12,11,12,11,22,94,96,0.1,1017,14,5,155,13,Memphis(TN)
2018-01-11,18,14,0.0,5.4,4,30,02:23 AM,01:27 PM,07:09 AM,05:08 PM,15,16,16,16,27,91,92,0.3,1010,18,8,212,17,Memphis(TN)
2018-01-12,3,-5,2.0,3.8,1,23,03:19 AM,02:04 PM,07:09 AM,05:09 PM,-5,-9,-3,-9,33,82,85,3.7,1019,3,9,301,24,Memphis(TN)
2018-01-13,-2,-6,0.0,7.1,2,16,04:12 AM,02:44 PM,07:09 AM,05:10 PM,-10,-10,-5,-10,21,53,69,0.0,1035,-2,10,64,15,Memphis(TN)
2018-01-14,-1,-7,0.0,5.4,1,9,05:05 AM,03:28 PM,07:08 AM,05:11 PM,-8,-8,-4,-8,11,59,75,0.0,1037,-1,10,105,7,Memphis(TN)
2018-01-15,5,-4,0.0,7.1,2,1,05:55 AM,04:14 PM,07:08 AM,05:12 PM,-4,-4,-0,-4,21,55,76,0.0,1030,5,10,221,13,Memphis(TN)
2018-01-16,-5,-12,0.2,3.8,1,0,06:42 AM,05:05 PM,07:08 AM,05:13 PM,-11,-15,-9,-15,21,75,84,0.3,1039,-5,10,345,15,Memphis(TN)
2018-01-17,-6,-14,0.0,8.7,2,0,07:26 AM,05:58 PM,07:08 AM,05:14 PM,-12,-13,-9,-13,12,13,82,0.0,1041,-6,10,331,8,Memphis(TN)
2018-01-18,0,-10,0.0,8.7,2,6,08:06 AM,06:52 PM,07:07 AM,05:15 PM,-8,-8,-4,-8,14,0,76,0.0,1034,0,10,209,10,Memphis(TN)
2018-01-19,6,-4,0.0,8.7,2,13,08:43 AM,07:49 PM,07:07 AM,05:16 PM,-5,-4,0,-4,28,7,67,0.0,1025,6,10,198,15,Memphis(TN)
2018-01-20,11,4,0.0,3.8,2,20,09:18 AM,08:45 PM,07:06 AM,05:17 PM,5,5,8,5,27,87,84,0.0,1021,11,9,184,14,Memphis(TN)
2018-01-21,19,11,0.0,3.8,3,28,09:51 AM,09:43 PM,07:06 AM,05:18 PM,13,13,14,13,34,69,89,0.2,1017,19,9,180,20,Memphis(TN)
2018-01-22,17,9,0.0,8.7,4,35,10:23 AM,10:42 PM,07:06 AM,05:19 PM,7,13,14,13,39,30,67,0.8,1009,17,10,212,25,Memphis(TN)
2018-01-23,7,3,0.0,8.7,3,42,10:56 AM,11:42 PM,07:05 AM,05:20 PM,0,4,6,4,20,14,67,0.0,1020,7,10,291,14,Memphis(TN)
2018-01-24,11,1,0.0,8.7,3,49,11:31 AM,No moonset,07:04 AM,05:21 PM,1,6,7,6,10,0,65,0.0,1029,11,10,286,8,Memphis(TN)
2018-01-25,14,4,0.0,8.7,3,57,12:08 PM,12:45 AM,07:04 AM,05:22 PM,1,7,9,7,19,2,58,0.0,1031,14,10,196,11,Memphis(TN)
2018-01-26,15,5,0.0,8.7,3,64,12:51 PM,01:50 AM,07:03 AM,05:23 PM,2,8,10,8,29,39,59,0.0,1028,15,10,168,17,Memphis(TN)
2018-01-27,12,11,0.0,3.8,3,71,01:39 PM,02:56 AM,07:03 AM,05:24 PM,10,10,12,10,22,95,90,2.5,1024,12,7,137,14,Memphis(TN)
2018-01-28,14,7,0.0,8.7,3,78,02:34 PM,04:03 AM,07:02 AM,05:25 PM,3,8,10,8,23,13,66,0.0,1025,14,9,19,15,Memphis(TN)
2018-01-29,7,-0,0.0,7.1,2,86,03:37 PM,05:07 AM,07:01 AM,05:26 PM,-1,1,4,1,23,24,66,0.0,1029,7,10,97,15,Memphis(TN)
2018-01-30,5,-2,0.0,8.7,2,93,04:43 PM,06:07 AM,07:01 AM,05:27 PM,-7,-0,2,-0,11,5,53,0.0,1032,5,10,68,8,Memphis(TN)
2018-01-31,14,2,0.0,8.7,3,97,05:53 PM,07:01 AM,07:00 AM,05:28 PM,-1,4,7,4,37,1,55,0.0,1019,14,10,189,22,Memphis(TN)
2018-02-01,11,2,0.0,4.0,2,88,07:03 PM,07:49 AM,06:59 AM,05:29 PM,6,5,8,5,28,64,85,0.1,1019,11,9,151,17,Memphis(TN)
2018-02-02,2,-3,0.0,8.7,2,81,08:10 PM,08:31 AM,06:58 AM,05:30 PM,-14,-5,-1,-5,17,43,37,0.0,1035,2,10,31,13,Memphis(TN)
2018-02-03,10,-1,0.0,8.7,2,73,09:15 PM,09:10 AM,06:58 AM,05:31 PM,-8,1,4,1,16,44,43,0.0,1024,10,10,163,11,Memphis(TN)
2018-02-04,12,2,0.0,8.7,3,66,10:17 PM,09:45 AM,06:57 AM,05:32 PM,3,4,6,4,18,49,80,3.2,1017,12,10,290,13,Memphis(TN)
2018-02-05,6,-4,0.0,8.7,2,58,11:17 PM,10:18 AM,06:56 AM,05:33 PM,-7,-2,1,-2,16,24,56,0.0,1025,6,10,115,12,Memphis(TN)
2018-02-06,5,3,0.0,4.0,1,51,No moonrise,10:52 AM,06:55 AM,05:34 PM,-0,1,4,1,17,94,76,0.6,1024,5,10,56,12,Memphis(TN)
2018-02-07,2,-1,0.0,7.2,2,43,12:15 AM,11:27 AM,06:54 AM,05:35 PM,-3,-4,1,-4,21,54,79,2.8,1027,2,10,94,16,Memphis(TN)
2018-02-08,9,-2,0.0,8.7,2,36,01:11 AM,12:03 PM,06:53 AM,05:36 PM,-2,3,4,3,9,4,64,0.0,1032,9,10,89,7,Memphis(TN)
2018-02-09,15,3,0.0,7.2,3,28,02:06 AM,12:42 PM,06:52 AM,05:37 PM,4,8,10,8,21,37,70,0.0,1023,15,10,178,12,Memphis(TN)
2018-02-10,12,5,0.0,4.1,2,20,02:59 AM,01:24 PM,06:51 AM,05:38 PM,9,8,10,8,18,100,94,2.5,1015,12,7,74,12,Memphis(TN)
2018-02-11,4,0,0.0,7.2,1,13,03:50 AM,02:10 PM,06:50 AM,05:39 PM,-2,-2,2,-2,18,69,76,0.1,1018,4,10,213,14,Memphis(TN)
2018-02-12,6,-2,0.0,8.7,2,5,04:38 AM,02:59 PM,06:49 AM,05:40 PM,-4,-3,1,-3,21,22,66,0.0,1032,6,10,29,15,Memphis(TN)
2018-02-13,10,0,0.0,5.6,3,0,05:23 AM,03:51 PM,06:48 AM,05:41 PM,3,5,6,5,8,49,77,0.1,1033,10,10,125,6,Memphis(TN)
2018-02-14,16,10,0.0,4.1,3,0,06:04 AM,04:46 PM,06:47 AM,05:42 PM,13,13,14,13,23,100,96,0.6,1025,16,6,197,14,Memphis(TN)
2018-02-15,20,18,0.0,4.1,4,0,06:43 AM,05:42 PM,06:46 AM,05:43 PM,17,19,19,19,36,98,90,0.0,1016,20,10,212,22,Memphis(TN)
2018-02-16,20,7,0.0,5.6,3,2,07:19 AM,06:39 PM,06:45 AM,05:44 PM,9,11,12,11,29,63,80,0.0,1020,20,10,98,18,Memphis(TN)
2018-02-17,9,6,0.0,4.1,2,10,07:53 AM,07:38 PM,06:44 AM,05:45 PM,5,5,7,5,15,71,86,0.5,1021,9,7,164,10,Memphis(TN)
2018-02-18,13,3,0.0,7.2,3,17,08:26 AM,08:36 PM,06:43 AM,05:46 PM,5,6,8,6,21,46,82,0.0,1023,13,10,115,13,Memphis(TN)
2018-02-19,23,12,0.0,8.7,5,25,08:59 AM,09:37 PM,06:42 AM,05:47 PM,15,18,19,18,36,51,84,0.0,1018,23,10,178,23,Memphis(TN)
2018-02-20,23,19,0.0,4.2,5,32,09:33 AM,10:38 PM,06:40 AM,05:48 PM,18,21,22,21,38,66,84,0.0,1018,23,10,167,23,Memphis(TN)
2018-02-21,21,7,0.0,4.2,3,40,10:09 AM,11:41 PM,06:39 AM,05:49 PM,11,10,13,10,24,81,90,1.4,1026,21,9,81,17,Memphis(TN)
2018-02-22,13,4,0.0,4.2,2,47,10:48 AM,No moonset,06:38 AM,05:50 PM,6,6,8,6,16,80,87,3.6,1027,13,10,95,11,Memphis(TN)
2018-02-23,17,12,0.0,7.2,4,55,11:33 AM,12:45 AM,06:37 AM,05:51 PM,13,14,14,14,14,75,93,0.4,1024,17,6,249,8,Memphis(TN)
2018-02-24,22,14,0.0,5.7,4,62,12:23 PM,01:49 AM,06:36 AM,05:51 PM,17,19,19,19,28,86,89,1.3,1013,22,7,182,17,Memphis(TN)
2018-02-25,15,8,0.0,8.7,4,70,01:20 PM,02:52 AM,06:34 AM,05:52 PM,5,10,11,10,16,26,65,3.4,1019,15,10,144,11,Memphis(TN)
2018-02-26,17,6,0.0,8.7,4,77,02:23 PM,03:53 AM,06:33 AM,05:53 PM,5,13,13,13,9,1,62,0.0,1024,17,10,57,7,Memphis(TN)
2018-02-27,19,7,0.0,8.7,4,85,03:30 PM,04:48 AM,06:32 AM,05:54 PM,5,13,14,13,17,28,56,0.0,1023,19,10,141,10,Memphis(TN)
2018-02-28,19,13,0.0,4.2,4,93,04:38 PM,05:38 AM,06:31 AM,05:55 PM,16,16,17,16,16,93,94,3.1,1012,19,6,193,10,Memphis(TN)
2018-03-01,17,12,0.0,4.2,3,96,05:47 PM,06:21 AM,06:29 AM,05:56 PM,12,14,15,14,22,69,84,1.7,1015,17,8,222,14,Memphis(TN)
2018-03-02,14,6,0.0,8.7,3,100,06:54 PM,07:02 AM,06:28 AM,05:57 PM,4,9,11,9,16,0,63,0.0,1028,14,10,38,11,Memphis(TN)
2018-03-03,16,5,0.0,8.7,3,89,07:58 PM,07:39 AM,06:27 AM,05:58 PM,2,9,10,9,19,0,57,0.0,1028,16,10,73,11,Memphis(TN)
2018-03-04,18,6,0.0,8.7,4,82,09:01 PM,08:14 AM,06:26 AM,05:59 PM,3,11,12,11,18,21,54,0.0,1023,18,10,155,10,Memphis(TN)
2018-03-05,17,11,0.0,4.3,3,74,10:01 PM,08:48 AM,06:24 AM,05:59 PM,11,13,14,13,24,77,82,1.8,1013,17,10,178,15,Memphis(TN)
2018-03-06,15,7,0.0,11.6,4,67,10:59 PM,09:23 AM,06:23 AM,06:00 PM,1,9,11,9,29,11,51,0.0,1014,15,10,278,19,Memphis(TN)
2018-03-07,8,2,0.0,10.2,2,60,11:56 PM,09:59 AM,06:22 AM,06:01 PM,-2,2,5,2,20,12,59,0.0,1021,8,10,293,14,Memphis(TN)
2018-03-08,9,1,0.0,11.6,2,53,No moonrise,10:38 AM,06:20 AM,06:02 PM,-2,3,5,3,16,6,58,0.0,1022,9,10,290,11,Memphis(TN)
2018-03-09,18,2,0.0,11.6,3,45,12:51 AM,11:19 AM,06:19 AM,06:03 PM,2,8,10,8,29,11,59,0.0,1016,18,10,182,17,Memphis(TN)
2018-03-10,19,12,0.0,5.9,4,38,01:43 AM,12:04 PM,06:17 AM,06:04 PM,11,14,15,14,21,88,79,0.1,1011,19,9,174,12,Memphis(TN)
2018-03-11,14,5,0.0,5.9,3,31,02:32 AM,12:52 PM,06:16 AM,06:04 PM,9,9,11,9,21,96,88,0.5,1013,14,7,158,15,Memphis(TN)
2018-03-12,11,2,0.0,11.6,3,24,03:19 AM,01:43 PM,06:15 AM,06:05 PM,0,3,6,3,23,10,68,0.0,1024,11,10,298,17,Memphis(TN)
2018-03-13,12,2,0.0,11.6,3,16,04:01 AM,02:36 PM,06:13 AM,06:06 PM,-0,5,7,5,16,5,62,0.0,1024,12,10,275,11,Memphis(TN)
2018-03-14,12,2,0.0,11.6,3,9,04:41 AM,03:33 PM,06:12 AM,06:07 PM,-3,6,7,6,15,2,51,0.0,1024,12,10,297,10,Memphis(TN)
2018-03-15,19,6,0.0,11.6,4,2,05:18 AM,04:29 PM,06:11 AM,06:08 PM,4,10,12,10,27,4,57,0.0,1017,19,10,211,16,Memphis(TN)
2018-03-16,16,12,0.0,6.0,3,0,05:53 AM,05:28 PM,06:09 AM,06:09 PM,11,13,14,13,27,81,87,0.1,1013,16,10,170,16,Memphis(TN)
2018-03-17,22,15,0.0,10.2,5,0,06:26 AM,06:28 PM,06:08 AM,06:09 PM,14,18,19,18,26,55,76,0.1,1011,22,10,218,17,Memphis(TN)
2018-03-18,16,8,0.0,10.2,4,5,07:00 AM,07:29 PM,06:07 AM,06:10 PM,6,11,12,11,17,43,69,0.0,1014,16,10,42,12,Memphis(TN)
2018-03-19,22,10,0.0,8.8,3,13,07:34 AM,08:31 PM,06:05 AM,06:11 PM,10,14,15,14,23,50,75,0.2,1003,22,10,185,15,Memphis(TN)
2018-03-20,11,8,0.0,8.8,2,20,08:09 AM,09:35 PM,06:04 AM,06:12 PM,5,7,9,7,19,77,76,0.2,1009,11,10,324,13,Memphis(TN)
2018-03-21,12,5,0.0,8.8,2,27,08:48 AM,10:39 PM,06:02 AM,06:13 PM,2,7,9,7,14,48,65,0.0,1020,12,10,304,10,Memphis(TN)
2018-03-22,17,4,0.0,11.6,4,34,09:31 AM,11:43 PM,06:01 AM,06:13 PM,3,11,12,11,9,10,58,0.0,1027,17,10,127,6,Memphis(TN)
2018-03-23,21,10,0.0,12.1,5,42,10:19 AM,No moonset,06:00 AM,06:14 PM,7,14,15,14,25,60,58,0.0,1021,21,10,162,15,Memphis(TN)
2018-03-24,19,16,0.0,9.2,4,49,11:13 AM,12:46 AM,05:58 AM,06:15 PM,15,18,18,18,31,77,83,0.2,1011,19,10,216,20,Memphis(TN)
2018-03-25,14,7,0.0,10.5,2,56,12:12 PM,01:46 AM,05:57 AM,06:16 PM,6,8,10,8,19,45,76,0.0,1018,14,10,28,14,Memphis(TN)
2018-03-26,18,9,0.0,7.9,3,63,01:16 PM,02:41 AM,05:55 AM,06:17 PM,11,13,14,13,28,81,86,1.0,1019,18,10,130,19,Memphis(TN)
2018-03-27,23,14,0.0,9.2,4,71,02:22 PM,03:31 AM,05:54 AM,06:17 PM,14,18,19,18,38,90,78,0.0,1018,23,10,174,25,Memphis(TN)
2018-03-28,19,15,0.0,7.9,4,78,03:29 PM,04:15 AM,05:53 AM,06:18 PM,15,17,17,17,11,89,92,6.4,1014,19,6,165,8,Memphis(TN)
2018-03-29,19,11,0.0,9.2,4,85,04:35 PM,04:56 AM,05:51 AM,06:19 PM,13,15,16,15,26,79,85,0.8,1011,19,9,221,18,Memphis(TN)
2018-03-30,16,8,0.0,12.7,4,93,05:40 PM,05:34 AM,05:50 AM,06:20 PM,6,11,12,11,13,45,71,0.0,1023,16,10,305,9,Memphis(TN)
2018-03-31,21,8,0.0,12.7,4,96,06:43 PM,06:09 AM,05:49 AM,06:21 PM,9,14,15,14,23,17,70,0.0,1021,21,10,181,15,Memphis(TN)
2018-04-01,16,9,0.0,8.0,3,89,07:45 PM,06:43 AM,05:47 AM,06:21 PM,11,13,14,13,19,88,86,0.2,1018,16,9,123,13,Memphis(TN)
2018-04-02,15,6,0.0,8.0,2,81,08:45 PM,07:18 AM,05:46 AM,06:22 PM,8,8,10,8,16,89,88,0.3,1015,15,8,95,11,Memphis(TN)
2018-04-03,25,10,0.0,9.3,4,74,09:44 PM,07:54 AM,05:44 AM,06:23 PM,16,19,20,19,41,63,80,3.3,1008,25,9,222,24,Memphis(TN)
2018-04-04,11,3,0.0,12.8,3,66,10:40 PM,08:32 AM,05:43 AM,06:24 PM,1,5,7,5,19,3,63,0.0,1024,11,10,299,14,Memphis(TN)
2018-04-05,16,3,0.0,12.8,3,59,11:35 PM,09:13 AM,05:42 AM,06:25 PM,1,8,9,8,13,21,56,0.0,1022,16,10,144,9,Memphis(TN)
2018-04-06,14,10,0.0,8.0,3,51,No moonrise,09:56 AM,05:40 AM,06:25 PM,9,11,12,11,13,95,80,1.1,1014,14,10,108,8,Memphis(TN)
2018-04-07,7,0,0.0,10.6,1,44,12:25 AM,10:43 AM,05:39 AM,06:26 PM,-1,-1,3,-1,27,64,74,0.1,1018,7,10,17,20,Memphis(TN)
2018-04-08,9,0,0.0,12.9,3,36,01:13 AM,11:34 AM,05:38 AM,06:27 PM,-3,3,5,3,17,22,57,0.0,1017,9,10,50,11,Memphis(TN)
2018-04-09,16,3,0.0,12.9,3,28,01:57 AM,12:26 PM,05:36 AM,06:28 PM,2,9,10,9,15,12,59,0.0,1019,16,10,29,10,Memphis(TN)
2018-04-10,13,6,0.0,12.9,3,21,02:37 AM,01:21 PM,05:35 AM,06:29 PM,4,9,10,9,17,13,68,0.0,1025,13,10,182,12,Memphis(TN)
2018-04-11,21,6,0.0,13.0,4,13,03:15 AM,02:17 PM,05:34 AM,06:29 PM,5,12,13,12,19,11,58,0.0,1022,21,10,166,12,Memphis(TN)
2018-04-12,24,13,0.0,13.0,5,6,03:51 AM,03:15 PM,05:32 AM,06:30 PM,10,18,19,18,38,9,59,0.0,1014,24,10,187,23,Memphis(TN)
2018-04-13,22,17,0.0,9.4,4,0,04:24 AM,04:14 PM,05:31 AM,06:31 PM,15,20,21,20,40,70,77,0.2,1009,22,10,176,23,Memphis(TN)
2018-04-14,21,9,0.0,9.4,4,0,04:58 AM,05:15 PM,05:30 AM,06:32 PM,13,16,17,16,27,72,80,2.1,1008,21,10,204,18,Memphis(TN)
2018-04-15,7,4,0.0,12.0,3,0,05:32 AM,06:18 PM,05:28 AM,06:33 PM,-1,2,6,2,24,41,63,0.1,1014,7,10,290,17,Memphis(TN)
2018-04-16,13,1,0.0,13.1,3,1,06:07 AM,07:23 PM,05:27 AM,06:34 PM,-1,4,7,4,19,2,61,0.0,1021,13,10,271,14,Memphis(TN)
2018-04-17,24,7,0.0,13.1,5,9,06:45 AM,08:28 PM,05:26 AM,06:34 PM,9,16,16,16,25,8,65,0.0,1014,24,10,192,16,Memphis(TN)
2018-04-18,26,15,0.0,13.1,5,17,07:28 AM,09:35 PM,05:24 AM,06:35 PM,13,19,20,19,36,27,66,0.0,1011,26,10,243,23,Memphis(TN)
2018-04-19,12,6,0.0,13.1,3,24,08:15 AM,10:40 PM,05:23 AM,06:36 PM,2,7,9,7,25,8,60,0.0,1025,12,10,180,17,Memphis(TN)
2018-04-20,20,6,0.0,13.2,4,32,09:08 AM,11:42 PM,05:22 AM,06:37 PM,4,11,12,11,20,2,59,0.0,1028,20,10,56,13,Memphis(TN)
2018-04-21,22,9,0.0,12.0,5,39,10:06 AM,No moonset,05:21 AM,06:38 PM,9,15,17,15,21,43,63,0.0,1022,22,10,103,12,Memphis(TN)
2018-04-22,19,14,0.0,9.5,4,47,11:09 AM,12:39 AM,05:19 AM,06:38 PM,15,16,16,16,21,78,89,4.0,1013,19,9,102,13,Memphis(TN)
2018-04-23,14,11,0.0,8.3,3,54,12:14 PM,01:30 AM,05:18 AM,06:39 PM,12,13,13,13,14,94,94,0.9,1011,14,7,272,10,Memphis(TN)
2018-04-24,18,10,0.0,10.8,4,62,01:19 PM,02:15 AM,05:17 AM,06:40 PM,13,14,15,14,14,66,87,0.1,1015,18,7,332,9,Memphis(TN)
2018-04-25,22,13,0.0,13.3,5,69,02:24 PM,02:56 AM,05:16 AM,06:41 PM,13,16,17,16,17,39,80,0.0,1016,22,10,201,11,Memphis(TN)
2018-04-26,17,12,0.0,9.5,3,77,03:28 PM,03:33 AM,05:15 AM,06:42 PM,11,13,14,13,17,73,85,2.9,1012,17,10,183,12,Memphis(TN)
2018-04-27,22,11,0.0,13.3,5,85,04:30 PM,04:08 AM,05:14 AM,06:43 PM,11,17,17,17,15,18,69,0.0,1014,22,10,298,10,Memphis(TN)
2018-04-28,23,13,0.0,13.3,5,92,05:32 PM,04:42 AM,05:12 AM,06:43 PM,10,18,18,18,18,5,60,0.0,1017,23,10,249,11,Memphis(TN)
2018-04-29,20,10,0.0,13.3,4,100,06:32 PM,05:16 AM,05:11 AM,06:44 PM,6,14,15,14,21,9,55,0.0,1024,20,10,66,14,Memphis(TN)
2018-04-30,24,10,0.0,13.4,5,100,07:32 PM,05:51 AM,05:10 AM,06:45 PM,7,17,18,17,18,0,50,0.0,1023,24,10,138,11,Memphis(TN)
2018-05-01,27,15,0.0,13.4,6,89,08:29 PM,06:27 AM,05:09 AM,06:46 PM,12,20,21,20,25,10,59,0.0,1019,27,10,176,14,Memphis(TN)
2018-05-02,28,19,0.0,12.0,6,82,09:25 PM,07:07 AM,05:08 AM,06:47 PM,19,25,25,23,26,49,78,0.0,1019,28,10,184,16,Memphis(TN)
2018-05-03,27,20,0.0,13.4,6,75,10:18 PM,07:50 AM,05:07 AM,06:48 PM,18,25,25,24,25,32,71,0.0,1018,27,10,193,16,Memphis(TN)
2018-05-04,25,21,0.0,9.6,5,68,11:07 PM,08:35 AM,05:06 AM,06:48 PM,18,24,24,22,21,65,78,1.1,1018,25,10,227,13,Memphis(TN)
2018-05-05,25,18,0.0,13.3,6,60,11:53 PM,09:24 AM,05:05 AM,06:49 PM,16,21,21,21,12,45,77,0.4,1017,25,10,251,8,Memphis(TN)
2018-05-06,29,17,0.0,13.5,6,53,No moonrise,10:16 AM,05:04 AM,06:50 PM,15,23,23,23,13,13,63,0.9,1017,29,10,261,8,Memphis(TN)
2018-05-07,29,17,0.0,13.5,6,46,12:34 AM,11:09 AM,05:03 AM,06:51 PM,15,25,25,24,12,6,60,0.0,1018,29,10,137,7,Memphis(TN)
2018-05-08,29,18,0.0,13.3,5,39,01:13 AM,12:04 PM,05:02 AM,06:52 PM,16,25,25,24,17,27,63,0.0,1018,29,10,135,9,Memphis(TN)
2018-05-09,28,20,0.0,13.3,6,31,01:49 AM,01:01 PM,05:01 AM,06:52 PM,16,25,25,24,28,22,61,0.0,1015,28,10,208,15,Memphis(TN)
2018-05-10,31,20,0.0,13.5,6,24,02:22 AM,01:59 PM,05:00 AM,06:53 PM,16,26,26,25,21,10,58,0.0,1016,31,10,232,13,Memphis(TN)
2018-05-11,30,20,0.0,13.5,6,17,02:55 AM,02:59 PM,05:00 AM,06:54 PM,15,26,26,25,27,4,56,0.0,1016,30,10,195,17,Memphis(TN)
2018-05-12,31,21,0.0,14.0,7,9,03:28 AM,04:00 PM,04:59 AM,06:55 PM,17,27,27,25,22,10,61,0.0,1017,31,10,186,14,Memphis(TN)
2018-05-13,32,22,0.0,14.0,7,2,04:02 AM,05:04 PM,04:58 AM,06:56 PM,18,29,29,27,17,8,60,0.0,1017,32,10,198,10,Memphis(TN)
2018-05-14,32,23,0.0,14.0,7,0,04:39 AM,06:10 PM,04:57 AM,06:57 PM,19,30,30,28,17,15,60,0.0,1015,32,10,215,11,Memphis(TN)
2018-05-15,32,23,0.0,14.0,7,0,05:20 AM,07:19 PM,04:56 AM,06:57 PM,18,29,29,28,16,17,57,0.4,1013,32,10,275,9,Memphis(TN)
2018-05-16,31,21,0.0,14.0,7,5,06:06 AM,08:26 PM,04:55 AM,06:58 PM,20,28,28,26,7,24,70,3.1,1011,31,10,143,5,Memphis(TN)
2018-05-17,27,21,0.0,14.0,6,12,06:58 AM,09:33 PM,04:55 AM,06:59 PM,19,26,26,24,11,26,77,1.7,1011,27,10,59,8,Memphis(TN)
2018-05-18,28,19,0.0,14.5,6,19,07:57 AM,10:33 PM,04:54 AM,07:00 PM,19,25,25,23,10,37,76,2.5,1010,28,10,224,7,Memphis(TN)
2018-05-19,31,20,0.0,14.5,7,27,09:00 AM,11:28 PM,04:53 AM,07:00 PM,20,28,28,26,17,13,71,2.0,1013,31,10,168,10,Memphis(TN)
2018-05-20,31,23,0.0,14.5,7,34,10:06 AM,No moonset,04:53 AM,07:01 PM,21,29,29,26,15,11,75,0.0,1017,31,10,159,9,Memphis(TN)
2018-05-21,29,21,0.0,14.5,6,41,11:12 AM,12:16 AM,04:52 AM,07:02 PM,20,27,27,25,9,39,78,3.6,1017,29,10,138,6,Memphis(TN)
2018-05-22,31,21,0.0,14.5,7,48,12:17 PM,12:58 AM,04:51 AM,07:03 PM,21,29,29,26,7,17,72,0.0,1016,31,10,181,5,Memphis(TN)
2018-05-23,31,22,0.0,14.5,7,56,01:21 PM,01:36 AM,04:51 AM,07:03 PM,21,29,29,27,7,19,72,2.9,1018,31,10,113,5,Memphis(TN)
2018-05-24,31,22,0.0,14.5,7,63,02:23 PM,02:11 AM,04:50 AM,07:04 PM,21,29,29,26,5,23,73,0.2,1018,31,10,176,4,Memphis(TN)
2018-05-25,31,21,0.0,14.5,7,70,03:24 PM,02:44 AM,04:50 AM,07:05 PM,20,28,28,26,9,23,72,2.7,1014,31,10,201,6,Memphis(TN)
2018-05-26,30,21,0.0,14.5,7,78,04:23 PM,03:17 AM,04:49 AM,07:06 PM,21,29,29,26,9,17,75,2.5,1010,30,10,174,6,Memphis(TN)
2018-05-27,32,22,0.0,14.5,7,85,05:22 PM,03:51 AM,04:49 AM,07:06 PM,21,30,30,27,8,12,73,1.2,1011,32,10,141,5,Memphis(TN)
2018-05-28,30,22,0.0,14.5,7,92,06:20 PM,04:26 AM,04:48 AM,07:07 PM,21,28,28,26,13,26,76,3.6,1010,30,10,71,9,Memphis(TN)
2018-05-29,28,21,0.0,10.2,5,99,07:17 PM,05:04 AM,04:48 AM,07:08 PM,21,26,26,24,13,62,83,0.9,1007,28,10,143,9,Memphis(TN)
2018-05-30,32,22,0.0,13.4,7,100,08:11 PM,05:45 AM,04:48 AM,07:08 PM,22,30,30,27,17,23,76,3.3,1007,32,10,233,11,Memphis(TN)
2018-05-31,32,24,0.0,14.5,7,89,09:02 PM,06:29 AM,04:47 AM,07:09 PM,22,31,31,28,23,11,73,0.0,1010,32,10,202,15,Memphis(TN)
2018-06-01,32,22,0.0,14.5,7,74,09:49 PM,07:17 AM,04:47 AM,07:10 PM,22,30,30,27,13,17,75,1.7,1012,32,10,207,9,Memphis(TN)
2018-06-02,34,22,0.0,14.5,7,67,10:32 PM,08:08 AM,04:47 AM,07:10 PM,23,34,34,30,7,11,72,0.0,1011,34,10,200,5,Memphis(TN)
2018-06-03,29,23,0.0,14.5,7,59,11:12 PM,09:01 AM,04:46 AM,07:11 PM,19,28,28,26,19,9,68,3.6,1015,29,10,261,14,Memphis(TN)
