date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,11,7,0.0,8.7,3,97,04:46 PM,07:01 AM,08:05 AM,05:05 PM,3,7,9,7,33,24,67,0.2,1014,11,9,283,20,Nice
2018-01-02,12,8,0.0,8.7,3,100,05:51 PM,08:06 AM,08:05 AM,05:06 PM,-0,6,9,6,36,6,52,0.0,1016,12,10,307,21,Nice
2018-01-03,15,8,0.0,8.7,4,89,07:02 PM,09:03 AM,08:05 AM,05:06 PM,4,9,11,9,45,4,62,0.0,1014,15,10,287,25,Nice
2018-01-04,13,10,0.0,8.7,4,81,08:15 PM,09:52 AM,08:05 AM,05:07 PM,6,10,11,10,25,13,68,0.0,1010,13,10,243,13,Nice
2018-01-05,13,9,0.0,8.7,4,74,09:28 PM,10:33 AM,08:05 AM,05:08 PM,7,11,11,11,13,14,77,0.1,1009,13,10,210,8,Nice
2018-01-06,11,9,0.0,5.2,3,67,10:37 PM,11:08 AM,08:05 AM,05:09 PM,7,8,10,8,26,62,84,2.8,1010,11,10,77,17,Nice
2018-01-07,12,10,0.0,8.7,4,59,11:45 PM,11:39 AM,08:04 AM,05:10 PM,6,7,11,7,62,51,74,0.5,1012,12,10,54,39,Nice
2018-01-08,12,10,0.0,5.2,3,52,No moonrise,12:08 PM,08:04 AM,05:12 PM,7,7,11,7,60,70,80,20.6,1014,12,8,68,37,Nice
2018-01-09,10,7,0.0,5.2,3,45,12:49 AM,12:36 PM,08:04 AM,05:13 PM,6,6,8,6,29,70,85,24.6,1017,10,8,215,18,Nice
2018-01-10,9,7,0.0,8.7,3,38,01:51 AM,01:05 PM,08:04 AM,05:14 PM,4,7,8,7,10,44,76,0.1,1015,9,10,161,7,Nice
2018-01-11,9,6,0.0,8.7,3,30,02:52 AM,01:35 PM,08:03 AM,05:15 PM,2,6,8,6,14,21,65,0.1,1012,9,10,22,9,Nice
2018-01-12,11,8,0.0,8.7,3,23,03:51 AM,02:07 PM,08:03 AM,05:16 PM,2,7,9,7,17,29,61,0.8,1018,11,9,68,11,Nice
2018-01-13,9,7,0.0,8.7,3,16,04:48 AM,02:43 PM,08:03 AM,05:17 PM,2,7,8,7,10,8,65,0.1,1022,9,10,63,7,Nice
2018-01-14,8,6,0.0,5.2,2,9,05:44 AM,03:24 PM,08:02 AM,05:18 PM,2,4,7,4,22,56,73,0.2,1020,8,9,58,15,Nice
2018-01-15,8,5,0.0,6.9,3,1,06:35 AM,04:09 PM,08:02 AM,05:20 PM,2,5,7,5,18,33,74,0.0,1022,8,10,124,12,Nice
2018-01-16,13,7,0.0,8.7,3,0,07:23 AM,04:59 PM,08:01 AM,05:21 PM,4,5,10,5,64,6,71,0.0,1013,13,10,258,38,Nice
2018-01-17,11,6,0.0,8.7,3,0,08:06 AM,05:53 PM,08:01 AM,05:22 PM,0,5,9,5,54,2,55,0.0,1011,11,10,292,34,Nice
2018-01-18,11,5,0.0,8.7,3,6,08:45 AM,06:50 PM,08:00 AM,05:23 PM,-1,5,8,5,29,7,54,0.0,1017,11,10,289,18,Nice
2018-01-19,13,8,0.0,8.7,3,13,09:20 AM,07:50 PM,07:59 AM,05:25 PM,2,7,10,7,30,17,60,0.0,1012,13,10,288,17,Nice
2018-01-20,9,7,0.0,7.0,3,20,09:51 AM,08:51 PM,07:59 AM,05:26 PM,-0,6,8,6,31,20,56,0.0,1013,9,10,270,19,Nice
2018-01-21,12,9,0.0,8.7,4,28,10:20 AM,09:53 PM,07:58 AM,05:27 PM,5,9,11,9,23,2,69,0.0,1008,12,10,126,14,Nice
2018-01-22,11,9,0.0,8.7,4,35,10:48 AM,10:56 PM,07:57 AM,05:29 PM,6,10,11,10,11,6,74,0.0,1014,11,10,180,7,Nice
2018-01-23,12,7,0.0,8.7,3,42,11:17 AM,No moonset,07:57 AM,05:30 PM,7,11,11,11,7,3,73,0.0,1020,12,10,85,5,Nice
2018-01-24,11,8,0.0,8.7,3,49,11:46 AM,12:01 AM,07:56 AM,05:31 PM,5,9,10,9,13,7,72,0.0,1029,11,10,72,9,Nice
2018-01-25,10,8,0.0,5.3,3,57,12:18 PM,01:07 AM,07:55 AM,05:33 PM,6,9,9,9,9,52,80,1.0,1025,10,9,90,6,Nice
2018-01-26,10,8,0.0,5.4,3,64,12:54 PM,02:16 AM,07:54 AM,05:34 PM,7,6,9,6,34,60,84,1.9,1019,10,10,64,23,Nice
2018-01-27,12,8,0.0,8.7,3,71,01:37 PM,03:27 AM,07:53 AM,05:35 PM,6,7,10,7,26,37,77,6.7,1027,12,10,57,17,Nice
2018-01-28,11,9,0.0,8.7,3,78,02:27 PM,04:37 AM,07:52 AM,05:37 PM,5,11,11,11,10,1,65,0.0,1034,11,10,251,7,Nice
2018-01-29,10,8,0.0,8.7,3,86,03:27 PM,05:44 AM,07:51 AM,05:38 PM,4,10,11,10,9,0,65,0.0,1032,10,10,246,7,Nice
2018-01-30,10,7,0.0,8.7,3,93,04:34 PM,06:45 AM,07:50 AM,05:39 PM,5,9,10,9,6,11,72,0.2,1028,10,10,222,5,Nice
2018-01-31,10,7,0.0,8.7,3,97,05:47 PM,07:38 AM,07:49 AM,05:41 PM,5,7,8,7,17,12,77,0.2,1022,10,10,266,12,Nice
2018-02-01,9,7,0.0,3.7,3,88,07:01 PM,08:23 AM,07:48 AM,05:42 PM,3,4,8,4,32,56,72,0.3,1008,9,9,252,22,Nice
2018-02-02,8,6,0.0,5.4,3,81,08:14 PM,09:02 AM,07:47 AM,05:43 PM,-0,6,7,6,14,73,60,0.1,1003,8,10,79,10,Nice
2018-02-03,8,6,0.0,8.7,3,73,09:25 PM,09:37 AM,07:46 AM,05:45 PM,-2,6,7,6,11,22,52,0.2,1003,8,10,172,8,Nice
2018-02-04,7,5,0.0,8.7,3,66,10:32 PM,10:07 AM,07:45 AM,05:46 PM,0,3,6,3,20,36,68,0.1,1012,7,10,44,14,Nice
2018-02-05,7,5,0.0,3.8,2,58,11:38 PM,10:37 AM,07:44 AM,05:47 PM,2,2,6,2,38,78,74,4.1,1017,7,8,55,27,Nice
2018-02-06,7,6,0.0,5.4,2,51,No moonrise,11:06 AM,07:42 AM,05:49 PM,1,2,7,2,37,73,66,4.1,1010,7,8,47,27,Nice
2018-02-07,9,5,0.0,8.7,3,43,12:41 AM,11:36 AM,07:41 AM,05:50 PM,0,6,7,6,11,18,61,0.0,1007,9,10,130,8,Nice
2018-02-08,7,5,0.0,8.7,3,36,01:42 AM,12:08 PM,07:40 AM,05:52 PM,2,6,7,6,6,11,72,0.5,1014,7,10,230,5,Nice
2018-02-09,7,5,0.0,8.7,3,28,02:40 AM,12:43 PM,07:39 AM,05:53 PM,1,6,7,6,7,9,67,0.1,1015,7,10,117,5,Nice
2018-02-10,9,5,0.0,8.7,3,20,03:37 AM,01:22 PM,07:37 AM,05:54 PM,-1,5,7,5,14,19,58,0.3,1012,9,10,123,10,Nice
2018-02-11,9,5,0.0,8.7,3,13,04:30 AM,02:05 PM,07:36 AM,05:56 PM,-2,6,7,6,12,7,53,0.0,1011,9,10,177,8,Nice
2018-02-12,9,5,0.0,8.7,3,5,05:19 AM,02:54 PM,07:34 AM,05:57 PM,-0,5,7,5,14,21,58,0.6,1009,9,10,183,10,Nice
2018-02-13,6,4,0.0,8.7,3,0,06:04 AM,03:47 PM,07:33 AM,05:58 PM,-3,2,5,2,18,45,55,0.8,1013,6,9,203,14,Nice
2018-02-14,6,3,0.0,10.7,2,0,06:44 AM,04:43 PM,07:32 AM,06:00 PM,-3,3,5,3,16,28,57,0.1,1014,6,10,156,11,Nice
2018-02-15,8,5,0.0,10.7,3,0,07:21 AM,05:42 PM,07:30 AM,06:01 PM,1,7,7,7,6,20,64,0.0,1021,8,10,50,4,Nice
2018-02-16,9,6,0.0,10.7,3,2,07:53 AM,06:43 PM,07:29 AM,06:02 PM,5,7,8,7,7,25,81,0.0,1023,9,10,169,5,Nice
2018-02-17,9,8,0.0,5.4,2,10,08:23 AM,07:46 PM,07:27 AM,06:04 PM,6,7,8,7,11,77,87,2.9,1020,9,8,122,8,Nice
2018-02-18,10,7,0.0,10.8,3,17,08:52 AM,08:49 PM,07:26 AM,06:05 PM,4,8,9,8,10,18,70,0.2,1016,10,10,117,7,Nice
2018-02-19,8,6,0.0,10.1,3,25,09:21 AM,09:54 PM,07:24 AM,06:06 PM,1,5,7,5,15,57,64,0.6,1016,8,9,104,11,Nice
2018-02-20,8,5,0.0,10.9,3,32,09:50 AM,11:00 PM,07:23 AM,06:08 PM,1,4,6,4,15,49,69,0.3,1009,8,10,82,11,Nice
2018-02-21,8,5,0.0,10.9,3,40,10:20 AM,No moonset,07:21 AM,06:09 PM,-3,2,6,2,27,45,52,0.5,1007,8,9,40,20,Nice
2018-02-22,6,5,0.0,10.1,3,47,10:54 AM,12:07 AM,07:20 AM,06:10 PM,-2,2,6,2,25,50,56,0.8,1005,6,9,35,18,Nice
2018-02-23,8,5,0.0,10.1,2,55,11:33 AM,01:15 AM,07:18 AM,06:11 PM,-2,4,6,4,18,63,57,3.4,1005,8,8,65,13,Nice
2018-02-24,10,5,0.0,7.0,2,62,12:18 PM,02:23 AM,07:16 AM,06:13 PM,3,5,7,5,18,79,71,9.4,1007,10,9,144,12,Nice
2018-02-25,9,2,0.0,5.5,2,70,01:12 PM,03:29 AM,07:15 AM,06:14 PM,2,2,6,2,29,83,76,7.0,1008,9,7,67,21,Nice
2018-02-26,1,-1,1.2,5.5,1,77,02:14 PM,04:30 AM,07:13 AM,06:15 PM,-6,-5,0,-5,30,79,64,1.4,1009,1,8,63,24,Nice
2018-02-27,0,-2,0.2,8.6,2,85,03:22 PM,05:25 AM,07:11 AM,06:17 PM,-7,-6,-1,-6,22,59,61,0.3,1009,0,9,68,18,Nice
2018-02-28,1,-2,0.4,5.5,1,93,04:34 PM,06:13 AM,07:10 AM,06:18 PM,-4,-6,-0,-6,35,78,74,7.4,1013,1,7,63,29,Nice
2018-03-01,4,1,0.0,5.6,1,96,05:48 PM,06:55 AM,07:08 AM,06:19 PM,0,-3,3,-3,40,91,82,10.3,1006,4,8,58,29,Nice
2018-03-02,10,5,0.0,10.1,3,100,07:00 PM,07:31 AM,07:06 AM,06:20 PM,3,3,7,3,36,53,77,9.6,997,10,9,162,24,Nice
2018-03-03,8,6,0.0,8.6,2,89,08:10 PM,08:03 AM,07:05 AM,06:22 PM,4,5,7,5,22,65,81,4.6,998,8,9,133,14,Nice
2018-03-04,9,5,0.0,8.6,3,82,09:19 PM,08:34 AM,07:03 AM,06:23 PM,4,5,7,5,23,39,82,3.4,1002,9,9,96,15,Nice
2018-03-05,8,7,0.0,8.6,3,74,10:24 PM,09:04 AM,07:01 AM,06:24 PM,4,4,7,4,29,66,79,4.8,997,8,9,67,19,Nice
2018-03-06,9,6,0.0,10.2,3,67,11:28 PM,09:34 AM,06:59 AM,06:26 PM,4,5,8,5,24,44,78,0.8,994,9,9,140,15,Nice
2018-03-07,11,6,0.0,11.6,3,60,No moonrise,10:05 AM,06:58 AM,06:27 PM,3,5,8,5,36,9,67,0.4,1001,11,10,276,21,Nice
2018-03-08,10,6,0.0,11.6,3,53,12:29 AM,10:40 AM,06:56 AM,06:28 PM,2,5,8,5,34,8,66,0.0,1011,10,10,263,20,Nice
2018-03-09,10,7,0.0,11.6,3,45,01:28 AM,11:18 AM,06:54 AM,06:29 PM,5,8,9,8,12,17,76,0.0,1016,10,10,244,8,Nice
2018-03-10,10,8,0.0,5.9,2,38,02:22 AM,12:00 PM,06:52 AM,06:31 PM,6,7,9,7,18,85,85,1.8,1013,10,9,56,12,Nice
2018-03-11,11,9,0.0,5.9,2,31,03:13 AM,12:46 PM,06:51 AM,06:32 PM,9,8,10,8,29,85,92,18.1,1004,11,9,151,18,Nice
2018-03-12,13,8,0.0,11.6,4,24,04:00 AM,01:38 PM,06:49 AM,06:33 PM,6,8,10,8,29,26,74,1.1,1003,13,10,268,18,Nice
2018-03-13,13,8,0.0,11.6,4,16,04:41 AM,02:32 PM,06:47 AM,06:34 PM,3,8,10,8,30,3,63,0.4,1009,13,10,275,18,Nice
2018-03-14,11,8,0.0,11.6,3,9,05:19 AM,03:31 PM,06:45 AM,06:36 PM,4,9,10,9,14,5,65,0.0,1012,11,10,219,9,Nice
2018-03-15,8,8,0.0,7.4,2,2,05:53 AM,04:31 PM,06:43 AM,06:37 PM,6,6,8,6,18,82,85,22.5,1003,8,8,66,13,Nice
2018-03-16,10,7,0.0,11.6,3,0,06:24 AM,05:35 PM,06:42 AM,06:38 PM,6,8,9,8,12,28,81,0.0,1003,10,10,74,8,Nice
2018-03-17,11,7,0.0,10.2,3,0,06:54 AM,06:38 PM,06:40 AM,06:39 PM,4,7,9,7,21,50,73,0.7,997,11,9,161,14,Nice
2018-03-18,7,6,0.0,6.0,2,5,07:23 AM,07:44 PM,06:38 AM,06:41 PM,3,5,7,5,11,83,76,5.4,995,7,8,172,8,Nice
2018-03-19,9,6,0.0,11.6,3,13,07:52 AM,08:51 PM,06:36 AM,06:42 PM,3,7,8,7,11,30,70,1.8,1000,9,10,126,8,Nice
2018-03-20,10,7,0.0,11.6,3,20,08:22 AM,09:59 PM,06:34 AM,06:43 PM,2,5,8,5,28,15,67,0.2,1003,10,10,54,20,Nice
2018-03-21,8,5,0.0,11.6,3,27,08:55 AM,11:08 PM,06:33 AM,06:44 PM,-3,2,6,2,34,35,53,0.2,1014,8,10,43,25,Nice
2018-03-22,10,4,0.0,11.6,3,34,09:33 AM,No moonset,06:31 AM,06:45 PM,-3,5,7,5,19,9,49,0.0,1013,10,10,177,13,Nice
2018-03-23,11,7,0.0,11.6,3,42,10:16 AM,12:16 AM,06:29 AM,06:47 PM,1,8,9,8,13,7,56,0.0,1004,11,10,169,9,Nice
2018-03-24,9,7,0.0,11.6,3,49,11:06 AM,01:22 AM,06:27 AM,06:48 PM,2,6,8,6,20,20,65,1.3,1002,9,10,99,15,Nice
2018-03-25,10,7,0.0,11.6,3,56,12:04 PM,02:24 AM,06:25 AM,06:49 PM,2,5,8,5,28,12,64,0.0,1006,10,10,120,20,Nice
2018-03-26,11,7,0.0,11.6,3,63,01:08 PM,03:20 AM,06:24 AM,06:50 PM,1,8,9,8,12,15,58,0.0,1010,11,10,183,8,Nice
2018-03-27,12,9,0.0,11.6,4,71,02:17 PM,04:08 AM,06:22 AM,06:52 PM,4,10,11,10,11,20,66,0.1,1013,12,10,135,8,Nice
2018-03-28,12,9,0.0,11.6,4,78,03:28 PM,04:50 AM,06:20 AM,06:53 PM,5,11,11,11,9,10,68,0.0,1011,12,10,193,6,Nice
2018-03-29,13,10,0.0,11.6,4,85,04:39 PM,05:28 AM,06:18 AM,06:54 PM,7,9,11,9,29,33,74,0.1,1008,13,10,236,19,Nice
2018-03-30,11,9,0.0,8.9,3,93,05:50 PM,06:01 AM,06:16 AM,06:55 PM,7,9,10,9,13,35,81,2.8,1005,11,10,188,9,Nice
2018-03-31,12,7,0.0,11.6,3,96,06:58 PM,06:31 AM,06:15 AM,06:56 PM,3,7,9,7,25,36,66,3.4,999,12,10,260,16,Nice
2018-04-01,13,8,0.0,11.6,4,89,08:05 PM,07:01 AM,06:13 AM,06:58 PM,2,10,11,10,20,7,54,0.0,1009,13,10,268,12,Nice
2018-04-02,12,9,0.0,10.3,3,81,09:11 PM,07:31 AM,06:11 AM,06:59 PM,4,9,10,9,12,35,65,0.0,1015,12,10,198,9,Nice
2018-04-03,12,10,0.0,7.7,3,74,10:14 PM,08:02 AM,06:09 AM,07:00 PM,7,8,11,8,40,84,77,5.9,1014,12,9,61,28,Nice
2018-04-04,11,10,0.0,7.7,3,66,11:15 PM,08:35 AM,06:08 AM,07:01 PM,9,9,11,9,19,71,89,1.9,1013,11,9,103,13,Nice
2018-04-05,13,9,0.0,11.6,4,59,No moonrise,09:12 AM,06:06 AM,07:02 PM,7,10,11,10,15,6,76,0.0,1015,13,10,173,9,Nice
2018-04-06,13,11,0.0,11.6,4,51,12:12 AM,09:53 AM,06:04 AM,07:04 PM,8,11,12,11,18,5,75,0.0,1019,13,10,70,13,Nice
2018-04-07,15,11,0.0,11.6,4,44,01:06 AM,10:38 AM,06:02 AM,07:05 PM,8,11,13,11,36,23,70,0.0,1016,15,10,63,22,Nice
2018-04-08,14,12,0.0,10.3,4,36,01:55 AM,11:28 AM,06:01 AM,07:06 PM,8,10,13,10,58,49,71,1.6,1011,14,10,66,37,Nice
2018-04-09,12,10,0.0,8.4,3,28,02:38 AM,12:21 PM,05:59 AM,07:07 PM,8,9,11,9,22,83,80,6.3,1009,12,9,95,15,Nice
2018-04-10,11,8,0.0,12.1,3,21,03:18 AM,01:18 PM,05:57 AM,07:08 PM,6,8,9,8,13,52,79,9.8,1010,11,9,144,9,Nice
2018-04-11,10,9,0.0,8.5,2,13,03:52 AM,02:17 PM,05:55 AM,07:10 PM,6,5,9,5,41,72,81,19.0,1005,10,9,60,28,Nice
2018-04-12,9,8,0.0,9.7,2,6,04:24 AM,03:19 PM,05:54 AM,07:11 PM,6,6,8,6,24,75,85,34.8,1004,9,8,107,16,Nice
2018-04-13,12,8,0.0,13.6,3,0,04:54 AM,04:22 PM,05:52 AM,07:12 PM,6,9,10,9,13,41,75,0.3,1014,12,10,147,9,Nice
2018-04-14,16,10,0.0,13.6,4,0,05:23 AM,05:28 PM,05:50 AM,07:13 PM,7,12,13,12,30,34,69,0.0,1017,16,10,51,17,Nice
2018-04-15,16,13,0.0,12.1,4,0,05:52 AM,06:35 PM,05:49 AM,07:15 PM,7,14,14,14,17,48,63,0.5,1011,16,9,226,9,Nice
2018-04-16,16,12,0.0,13.7,4,1,06:21 AM,07:45 PM,05:47 AM,07:16 PM,9,15,15,15,11,19,69,0.0,1012,16,10,216,7,Nice
2018-04-17,17,13,0.0,13.7,4,9,06:54 AM,08:55 PM,05:45 AM,07:17 PM,11,16,16,16,8,9,72,0.3,1020,17,10,147,5,Nice
2018-04-18,18,14,0.0,13.7,5,17,07:31 AM,10:06 PM,05:44 AM,07:18 PM,10,16,16,16,17,10,65,0.1,1027,18,10,70,10,Nice
2018-04-19,18,14,0.0,13.8,5,24,08:13 AM,11:15 PM,05:42 AM,07:19 PM,8,16,16,16,20,4,58,0.0,1027,18,10,128,11,Nice
2018-04-20,20,15,0.0,13.8,5,32,09:02 AM,No moonset,05:41 AM,07:21 PM,9,18,18,18,17,2,57,0.0,1023,20,10,163,10,Nice
