date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,21,0.0,12.9,6,97,06:21 PM,05:11 AM,05:47 AM,06:36 PM,17,25,25,22,14,33,73,0.0,1017,25,10,184,12,Lima
2018-01-02,25,21,0.0,12.9,6,100,07:25 PM,06:15 AM,05:48 AM,06:37 PM,17,25,25,23,17,28,71,0.0,1016,25,10,177,14,Lima
2018-01-03,24,21,0.0,12.9,6,89,08:23 PM,07:20 AM,05:49 AM,06:37 PM,18,25,25,22,17,39,77,0.0,1015,24,10,184,14,Lima
2018-01-04,23,20,0.0,11.9,6,81,09:18 PM,08:22 AM,05:49 AM,06:37 PM,18,21,22,21,15,62,80,0.0,1015,23,10,192,12,Lima
2018-01-05,23,19,0.0,10.6,5,74,10:08 PM,09:22 AM,05:50 AM,06:38 PM,18,21,23,21,13,69,80,0.0,1017,23,10,193,11,Lima
2018-01-06,24,20,0.0,12.9,6,67,10:55 PM,10:18 AM,05:50 AM,06:38 PM,17,22,23,22,12,38,76,0.0,1017,24,10,183,10,Lima
2018-01-07,24,20,0.0,12.9,6,59,11:38 PM,11:11 AM,05:51 AM,06:38 PM,18,24,24,22,12,28,76,0.0,1016,24,10,200,10,Lima
2018-01-08,23,21,0.0,10.6,5,52,No moonrise,12:02 PM,05:51 AM,06:39 PM,18,22,24,22,13,61,79,0.0,1015,23,10,190,11,Lima
2018-01-09,23,20,0.0,12.9,6,45,12:20 AM,12:51 PM,05:52 AM,06:39 PM,18,22,23,22,12,69,82,0.0,1015,23,10,189,10,Lima
2018-01-10,24,20,0.0,12.9,6,38,01:01 AM,01:39 PM,05:52 AM,06:39 PM,18,22,24,22,10,52,79,0.3,1016,24,9,186,9,Lima
2018-01-11,24,21,0.0,12.9,6,30,01:43 AM,02:27 PM,05:53 AM,06:39 PM,18,25,25,22,12,40,78,0.0,1016,24,10,178,10,Lima
2018-01-12,25,21,0.0,12.9,6,23,02:25 AM,03:16 PM,05:54 AM,06:40 PM,19,25,25,23,13,43,78,0.0,1016,25,10,188,11,Lima
2018-01-13,24,21,0.0,12.9,6,16,03:09 AM,04:04 PM,05:54 AM,06:40 PM,18,25,25,22,12,34,79,0.0,1015,24,10,199,11,Lima
2018-01-14,25,21,0.0,12.9,6,9,03:54 AM,04:53 PM,05:55 AM,06:40 PM,18,25,25,23,11,25,76,0.0,1016,25,10,205,10,Lima
2018-01-15,24,21,0.0,12.9,6,1,04:41 AM,05:41 PM,05:55 AM,06:40 PM,18,25,25,23,12,21,73,0.0,1016,24,10,189,10,Lima
2018-01-16,25,21,0.0,12.8,6,0,05:30 AM,06:28 PM,05:56 AM,06:40 PM,17,25,25,23,13,26,67,0.0,1016,25,10,174,12,Lima
2018-01-17,23,21,0.0,11.9,6,0,06:18 AM,07:14 PM,05:56 AM,06:40 PM,19,22,24,22,11,59,81,0.0,1016,23,10,182,9,Lima
2018-01-18,24,20,0.0,12.8,6,6,07:07 AM,07:58 PM,05:57 AM,06:40 PM,18,24,24,22,9,50,77,0.0,1015,24,10,251,7,Lima
2018-01-19,24,20,0.0,12.8,6,13,07:57 AM,08:41 PM,05:57 AM,06:41 PM,18,22,23,22,8,44,78,0.0,1015,24,10,226,7,Lima
2018-01-20,24,20,0.0,11.9,6,20,08:45 AM,09:23 PM,05:58 AM,06:41 PM,18,24,24,22,9,52,79,0.0,1014,24,10,202,8,Lima
2018-01-21,24,21,0.0,12.8,6,28,09:34 AM,10:04 PM,05:58 AM,06:41 PM,19,25,25,23,12,52,77,2.3,1013,24,10,186,10,Lima
2018-01-22,24,21,0.0,10.6,6,35,10:23 AM,10:46 PM,05:59 AM,06:41 PM,18,25,25,23,10,62,76,1.4,1013,24,10,194,9,Lima
2018-01-23,25,21,0.0,12.8,6,42,11:13 AM,11:29 PM,05:59 AM,06:41 PM,19,25,25,23,10,14,74,0.0,1013,25,10,223,8,Lima
2018-01-24,25,21,0.0,12.4,6,49,12:05 PM,No moonset,06:00 AM,06:41 PM,19,25,25,24,10,16,75,0.0,1013,25,10,212,8,Lima
2018-01-25,25,22,0.0,12.4,6,57,12:59 PM,12:14 AM,06:00 AM,06:41 PM,19,26,26,24,11,18,75,0.0,1013,25,10,193,10,Lima
2018-01-26,23,21,0.0,6.2,5,64,01:57 PM,01:02 AM,06:01 AM,06:41 PM,20,25,25,22,14,88,86,0.2,1013,23,10,202,12,Lima
2018-01-27,24,21,0.0,8.9,6,71,02:57 PM,01:55 AM,06:01 AM,06:41 PM,19,24,24,22,14,70,82,0.0,1012,24,10,207,12,Lima
2018-01-28,24,21,0.0,10.3,5,78,03:59 PM,02:51 AM,06:01 AM,06:41 PM,19,24,24,22,13,61,81,0.0,1011,24,10,201,11,Lima
2018-01-29,25,20,0.0,11.6,6,86,05:02 PM,03:53 AM,06:02 AM,06:40 PM,19,24,24,23,10,51,80,0.0,1011,25,10,215,8,Lima
2018-01-30,25,21,0.0,11.6,6,93,06:03 PM,04:56 AM,06:02 AM,06:40 PM,19,25,25,23,12,32,79,0.0,1012,25,10,189,11,Lima
2018-01-31,25,21,0.0,11.6,6,97,07:01 PM,06:00 AM,06:03 AM,06:40 PM,19,25,25,23,14,48,80,0.0,1013,25,10,180,12,Lima
2018-02-01,24,21,0.0,11.6,6,88,07:54 PM,07:02 AM,06:03 AM,06:40 PM,18,24,24,22,14,41,79,0.0,1014,24,10,184,12,Lima
2018-02-02,24,21,0.0,11.6,6,81,08:44 PM,08:01 AM,06:04 AM,06:40 PM,18,24,24,22,15,34,77,0.0,1014,24,10,185,13,Lima
2018-02-03,25,20,0.0,11.6,6,73,09:31 PM,08:58 AM,06:04 AM,06:40 PM,18,24,24,22,15,38,77,0.0,1014,25,10,186,13,Lima
2018-02-04,26,21,0.0,11.6,6,66,10:14 PM,09:51 AM,06:04 AM,06:40 PM,18,25,25,23,17,22,73,0.0,1014,26,10,180,14,Lima
2018-02-05,25,21,0.0,10.2,6,58,10:57 PM,10:42 AM,06:05 AM,06:39 PM,18,25,25,23,15,41,76,0.1,1014,25,10,181,13,Lima
2018-02-06,23,21,0.0,6.2,5,51,11:39 PM,11:33 AM,06:05 AM,06:39 PM,19,22,24,22,12,93,84,0.2,1015,23,10,195,10,Lima
2018-02-07,25,21,0.0,8.9,5,43,No moonrise,12:21 PM,06:05 AM,06:39 PM,19,24,24,23,12,60,80,0.1,1015,25,10,195,10,Lima
2018-02-08,26,22,0.0,11.6,6,36,12:22 AM,01:11 PM,06:06 AM,06:39 PM,19,26,26,24,13,16,72,0.0,1014,26,10,194,11,Lima
2018-02-09,26,22,0.0,11.6,6,28,01:06 AM,01:59 PM,06:06 AM,06:38 PM,19,26,26,24,13,11,73,0.0,1013,26,10,187,11,Lima
2018-02-10,26,21,0.0,11.6,6,20,01:51 AM,02:48 PM,06:06 AM,06:38 PM,19,26,26,24,14,28,74,0.0,1015,26,10,186,12,Lima
2018-02-11,26,22,0.0,11.6,6,13,02:37 AM,03:37 PM,06:07 AM,06:38 PM,18,26,26,24,16,14,69,0.0,1015,26,10,183,14,Lima
2018-02-12,25,21,0.0,8.9,5,5,03:25 AM,04:24 PM,06:07 AM,06:37 PM,19,26,26,24,10,51,76,0.2,1014,25,9,195,9,Lima
2018-02-13,26,22,0.0,11.6,6,0,04:13 AM,05:11 PM,06:07 AM,06:37 PM,19,26,26,24,13,33,73,0.1,1015,26,10,181,11,Lima
2018-02-14,26,22,0.0,11.6,6,0,05:03 AM,05:56 PM,06:07 AM,06:37 PM,19,26,26,24,14,32,75,1.1,1015,26,10,175,12,Lima
2018-02-15,25,21,0.0,11.6,6,0,05:52 AM,06:39 PM,06:08 AM,06:36 PM,19,25,25,23,13,50,78,0.0,1015,25,10,186,11,Lima
2018-02-16,26,22,0.0,10.2,6,2,06:42 AM,07:22 PM,06:08 AM,06:36 PM,19,26,26,24,12,44,74,0.0,1017,26,10,180,10,Lima
2018-02-17,26,22,0.0,11.6,6,10,07:31 AM,08:04 PM,06:08 AM,06:36 PM,20,26,26,24,11,41,77,0.0,1015,26,10,187,10,Lima
2018-02-18,26,22,0.0,11.6,6,17,08:20 AM,08:46 PM,06:08 AM,06:35 PM,20,26,26,24,12,28,77,0.0,1014,26,10,195,10,Lima
2018-02-19,26,22,0.0,11.6,6,25,09:11 AM,09:29 PM,06:09 AM,06:35 PM,20,26,26,24,13,44,78,0.0,1014,26,10,195,11,Lima
2018-02-20,26,22,0.0,11.6,6,32,10:02 AM,10:12 PM,06:09 AM,06:34 PM,19,26,26,24,14,15,73,0.0,1015,26,10,184,13,Lima
2018-02-21,26,22,0.0,11.6,6,40,10:55 AM,10:59 PM,06:09 AM,06:34 PM,19,26,26,24,15,16,74,0.0,1016,26,10,185,13,Lima
2018-02-22,25,22,0.0,11.6,6,47,11:50 AM,11:48 PM,06:09 AM,06:33 PM,19,26,26,24,15,27,76,0.0,1016,25,10,189,13,Lima
2018-02-23,26,22,0.0,11.6,6,55,12:47 PM,No moonset,06:10 AM,06:33 PM,19,26,26,24,12,20,75,0.0,1016,26,10,195,10,Lima
2018-02-24,26,22,0.0,11.6,6,62,01:47 PM,12:41 AM,06:10 AM,06:32 PM,19,26,26,24,12,11,71,0.0,1016,26,10,192,10,Lima
2018-02-25,26,23,0.0,11.6,6,70,02:46 PM,01:39 AM,06:10 AM,06:32 PM,18,26,26,25,11,27,66,0.5,1016,26,9,171,10,Lima
2018-02-26,26,23,0.0,10.2,6,77,03:47 PM,02:38 AM,06:10 AM,06:31 PM,19,26,26,24,13,41,70,0.0,1017,26,10,174,12,Lima
2018-02-27,25,22,0.0,11.6,6,85,04:44 PM,03:41 AM,06:10 AM,06:31 PM,18,26,26,24,12,26,71,0.0,1016,25,10,172,11,Lima
2018-02-28,25,22,0.0,11.6,6,93,05:39 PM,04:42 AM,06:10 AM,06:30 PM,18,26,26,24,13,21,71,0.0,1015,25,10,176,11,Lima
2018-03-01,25,23,0.0,11.6,6,96,06:30 PM,05:43 AM,06:11 AM,06:30 PM,18,26,26,24,11,36,70,0.4,1015,25,9,181,10,Lima
2018-03-02,26,22,0.0,10.2,6,100,07:19 PM,06:40 AM,06:11 AM,06:29 PM,19,26,26,24,13,46,75,0.0,1015,26,10,178,11,Lima
2018-03-03,25,22,0.0,10.2,6,89,08:04 PM,07:36 AM,06:11 AM,06:29 PM,19,25,25,23,13,49,79,0.0,1014,25,10,179,11,Lima
2018-03-04,25,21,0.0,11.6,6,82,08:48 PM,08:29 AM,06:11 AM,06:28 PM,19,25,25,23,11,47,79,0.0,1015,25,10,191,9,Lima
2018-03-05,24,21,0.0,11.6,6,74,09:32 PM,09:21 AM,06:11 AM,06:28 PM,19,25,25,23,11,43,79,0.0,1014,24,10,189,9,Lima
2018-03-06,25,21,0.0,10.2,6,67,10:15 PM,10:12 AM,06:11 AM,06:27 PM,19,25,25,23,11,44,76,1.1,1014,25,10,191,10,Lima
2018-03-07,24,21,0.0,10.2,6,60,10:59 PM,11:02 AM,06:11 AM,06:27 PM,19,25,25,23,10,51,81,0.2,1014,24,10,192,8,Lima
2018-03-08,25,22,0.0,11.6,6,53,11:45 PM,11:52 AM,06:11 AM,06:26 PM,19,26,26,24,11,21,74,0.0,1014,25,10,188,9,Lima
2018-03-09,26,22,0.0,11.6,6,45,No moonrise,12:41 PM,06:11 AM,06:25 PM,19,26,26,24,13,25,74,0.0,1014,26,10,190,11,Lima
2018-03-10,25,21,0.0,11.6,6,38,12:31 AM,01:30 PM,06:11 AM,06:25 PM,19,26,26,24,10,26,77,0.0,1013,25,10,197,9,Lima
2018-03-11,25,22,0.0,11.6,6,31,01:18 AM,02:18 PM,06:12 AM,06:24 PM,19,25,25,24,11,41,78,1.4,1013,25,10,186,10,Lima
2018-03-12,24,21,0.0,11.6,6,24,02:07 AM,03:05 PM,06:12 AM,06:24 PM,19,25,25,23,10,58,78,0.7,1013,24,9,204,8,Lima
2018-03-13,24,22,0.0,11.6,6,16,02:56 AM,03:51 PM,06:12 AM,06:23 PM,19,25,25,23,12,42,76,0.1,1015,24,10,191,10,Lima
2018-03-14,25,22,0.0,11.6,6,9,03:45 AM,04:35 PM,06:12 AM,06:22 PM,18,25,25,23,14,28,74,0.0,1015,25,10,186,12,Lima
2018-03-15,25,22,0.0,11.6,6,2,04:35 AM,05:18 PM,06:12 AM,06:22 PM,19,26,26,24,10,21,75,0.0,1015,25,10,200,8,Lima
2018-03-16,24,22,0.0,11.6,6,0,05:25 AM,06:01 PM,06:12 AM,06:21 PM,18,26,26,24,9,29,72,0.0,1015,24,10,198,8,Lima
2018-03-17,25,22,0.0,11.6,6,0,06:15 AM,06:43 PM,06:12 AM,06:21 PM,19,26,26,24,12,28,72,0.0,1015,25,10,194,10,Lima
2018-03-18,25,22,0.0,11.6,6,5,07:06 AM,07:27 PM,06:12 AM,06:20 PM,18,26,26,24,13,35,72,0.0,1014,25,10,182,11,Lima
2018-03-19,25,22,0.0,11.6,6,13,07:57 AM,08:10 PM,06:12 AM,06:19 PM,19,25,25,23,11,40,74,0.4,1013,25,9,185,9,Lima
2018-03-20,24,21,0.0,11.6,6,20,08:51 AM,08:57 PM,06:12 AM,06:19 PM,19,25,25,23,12,38,77,0.0,1013,24,10,186,10,Lima
2018-03-21,24,20,0.0,11.6,6,27,09:46 AM,09:46 PM,06:12 AM,06:18 PM,19,24,24,22,10,50,81,0.0,1013,24,10,195,9,Lima
2018-03-22,22,21,0.0,10.2,6,34,10:42 AM,10:37 PM,06:12 AM,06:17 PM,18,22,25,22,11,49,80,0.1,1015,22,10,197,9,Lima
2018-03-23,24,21,0.0,11.6,6,42,11:41 AM,11:33 PM,06:12 AM,06:17 PM,18,25,25,23,10,34,73,0.0,1016,24,10,214,8,Lima
2018-03-24,26,22,0.0,11.6,6,49,12:40 PM,No moonset,06:12 AM,06:16 PM,18,26,26,24,11,16,70,0.0,1015,26,10,185,10,Lima
2018-03-25,25,22,0.0,11.6,6,56,01:39 PM,12:30 AM,06:12 AM,06:15 PM,18,25,25,23,13,20,73,0.0,1013,25,10,178,11,Lima
2018-03-26,24,21,0.0,11.6,6,63,02:35 PM,01:30 AM,06:12 AM,06:15 PM,19,24,24,23,12,36,79,0.0,1013,24,10,189,10,Lima
