date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-2,-8,0.0,8.7,2,97,05:08 PM,07:16 AM,08:32 AM,05:38 PM,-11,-8,-4,-8,14,3,61,0.0,1031,-2,10,80,7,Bishkek
2018-01-02,-2,-10,0.0,8.7,2,100,06:11 PM,08:22 AM,08:32 AM,05:39 PM,-15,-10,-6,-10,21,0,48,0.0,1029,-2,10,85,10,Bishkek
2018-01-03,-2,-8,0.0,6.9,2,89,07:22 PM,09:22 AM,08:32 AM,05:40 PM,-15,-9,-5,-9,17,31,46,0.0,1020,-2,10,70,8,Bishkek
2018-01-04,-2,-6,0.6,3.4,1,81,08:34 PM,10:12 AM,08:32 AM,05:41 PM,-10,-6,-4,-6,9,66,63,1.5,1021,-2,9,45,5,Bishkek
2018-01-05,-3,-7,1.0,6.9,1,74,09:46 PM,10:55 AM,08:32 AM,05:42 PM,-7,-7,-4,-7,11,56,85,1.2,1025,-3,8,54,7,Bishkek
2018-01-06,-3,-8,0.0,8.7,2,67,10:56 PM,11:32 AM,08:32 AM,05:43 PM,-10,-8,-5,-8,12,5,70,0.0,1025,-3,10,78,7,Bishkek
2018-01-07,-1,-7,0.0,8.7,2,59,No moonrise,12:04 PM,08:32 AM,05:44 PM,-10,-7,-4,-7,15,14,61,0.1,1028,-1,10,128,7,Bishkek
2018-01-08,-1,-5,0.1,8.7,2,52,12:03 AM,12:33 PM,08:32 AM,05:45 PM,-7,-5,-3,-5,13,40,73,1.2,1031,-1,9,128,7,Bishkek
2018-01-09,-1,-5,0.3,8.7,2,45,01:07 AM,01:02 PM,08:32 AM,05:46 PM,-8,-5,-4,-5,9,33,74,0.3,1033,-1,9,101,5,Bishkek
2018-01-10,0,-6,0.0,8.7,2,38,02:09 AM,01:31 PM,08:32 AM,05:47 PM,-9,-4,-2,-4,11,2,57,0.0,1027,0,10,142,5,Bishkek
2018-01-11,-2,-9,2.5,3.4,1,30,03:10 AM,02:01 PM,08:31 AM,05:48 PM,-9,-9,-6,-9,13,75,81,2.9,1029,-2,5,250,8,Bishkek
2018-01-12,-6,-10,2.2,5.2,1,23,04:09 AM,02:33 PM,08:31 AM,05:49 PM,-9,-10,-8,-10,7,75,93,2.6,1031,-6,5,193,4,Bishkek
2018-01-13,-3,-7,2.1,3.4,1,16,05:06 AM,03:09 PM,08:31 AM,05:50 PM,-7,-7,-5,-7,7,98,86,2.4,1024,-3,5,225,4,Bishkek
2018-01-14,-4,-6,2.6,3.5,1,9,06:02 AM,03:49 PM,08:30 AM,05:51 PM,-5,-6,-5,-6,5,98,97,3.0,1027,-4,2,220,3,Bishkek
2018-01-15,-4,-9,5.1,3.5,1,1,06:54 AM,04:33 PM,08:30 AM,05:52 PM,-7,-9,-6,-9,9,100,95,6.0,1027,-4,3,257,6,Bishkek
2018-01-16,-6,-10,1.6,3.5,1,0,07:43 AM,05:23 PM,08:29 AM,05:54 PM,-9,-10,-8,-10,6,90,93,1.8,1027,-6,5,210,3,Bishkek
2018-01-17,-7,-12,0.1,5.2,2,0,08:26 AM,06:16 PM,08:29 AM,05:55 PM,-11,-10,-10,-10,5,48,86,0.2,1028,-7,9,196,3,Bishkek
2018-01-18,-4,-12,0.0,8.7,2,6,09:06 AM,07:12 PM,08:28 AM,05:56 PM,-11,-8,-7,-8,4,22,73,0.0,1030,-4,10,145,2,Bishkek
2018-01-19,-2,-8,0.1,7.0,1,13,09:42 AM,08:11 PM,08:27 AM,05:57 PM,-9,-6,-4,-6,9,41,69,0.6,1028,-2,9,150,4,Bishkek
2018-01-20,0,-4,0.0,8.7,2,20,10:14 AM,09:11 PM,08:27 AM,05:58 PM,-8,-5,-2,-5,20,31,66,0.0,1029,0,10,143,9,Bishkek
2018-01-21,1,-5,0.0,9.7,2,28,10:44 AM,10:12 PM,08:26 AM,06:00 PM,-10,-5,-3,-5,13,42,58,0.0,1023,1,10,97,6,Bishkek
2018-01-22,-2,-7,0.0,9.8,2,35,11:13 AM,11:15 PM,08:25 AM,06:01 PM,-11,-4,-4,-4,5,42,59,0.0,1024,-2,10,220,2,Bishkek
2018-01-23,-5,-10,0.8,4.9,1,42,11:42 AM,No moonset,08:25 AM,06:02 PM,-10,-8,-7,-8,6,72,76,1.0,1029,-5,7,63,4,Bishkek
2018-01-24,-8,-15,0.0,9.8,2,49,12:11 PM,12:18 AM,08:24 AM,06:03 PM,-14,-13,-11,-13,7,7,77,0.0,1031,-8,10,222,4,Bishkek
2018-01-25,-12,-19,0.0,6.6,1,57,12:43 PM,01:25 AM,08:23 AM,06:05 PM,-20,-18,-15,-18,9,68,69,0.0,1033,-12,10,260,5,Bishkek
2018-01-26,-17,-23,0.0,9.8,2,64,01:19 PM,02:32 AM,08:22 AM,06:06 PM,-22,-22,-18,-22,9,8,72,0.0,1036,-17,9,240,5,Bishkek
2018-01-27,-19,-25,0.0,9.9,2,71,02:01 PM,03:42 AM,08:21 AM,06:07 PM,-24,-26,-22,-26,8,12,84,0.2,1040,-19,9,293,5,Bishkek
2018-01-28,-20,-27,0.0,9.9,2,78,02:50 PM,04:52 AM,08:20 AM,06:09 PM,-25,-28,-23,-28,10,13,84,0.0,1043,-20,9,278,6,Bishkek
2018-01-29,-9,-23,0.0,9.9,2,86,03:48 PM,06:00 AM,08:20 AM,06:10 PM,-20,-19,-15,-19,15,24,64,0.0,1038,-9,10,56,8,Bishkek
2018-01-30,-9,-17,0.0,9.9,2,93,04:54 PM,07:02 AM,08:19 AM,06:11 PM,-17,-15,-13,-15,10,25,73,0.0,1032,-9,10,216,5,Bishkek
2018-01-31,-4,-11,0.0,6.6,1,97,06:05 PM,07:57 AM,08:18 AM,06:13 PM,-14,-10,-8,-10,8,64,67,0.0,1026,-4,10,202,4,Bishkek
2018-02-01,-3,-10,0.0,10.0,2,88,07:19 PM,08:44 AM,08:17 AM,06:14 PM,-11,-8,-7,-8,5,37,71,0.1,1030,-3,10,188,3,Bishkek
2018-02-02,-2,-8,0.0,8.3,2,81,08:32 PM,09:25 AM,08:15 AM,06:15 PM,-11,-8,-6,-8,10,41,65,0.0,1026,-2,10,170,5,Bishkek
2018-02-03,-6,-8,1.9,5.0,1,73,09:43 PM,10:00 AM,08:14 AM,06:16 PM,-8,-8,-7,-8,6,91,91,2.2,1031,-6,3,244,4,Bishkek
2018-02-04,-5,-11,0.7,10.1,2,66,10:51 PM,10:32 AM,08:13 AM,06:18 PM,-11,-11,-8,-11,9,42,82,0.8,1037,-5,9,122,5,Bishkek
2018-02-05,-6,-12,0.0,6.7,2,58,11:56 PM,11:02 AM,08:12 AM,06:19 PM,-14,-11,-9,-11,8,67,68,0.1,1029,-6,10,164,4,Bishkek
2018-02-06,-8,-14,1.3,5.0,1,51,No moonrise,11:32 AM,08:11 AM,06:20 PM,-13,-16,-11,-16,14,96,90,1.6,1030,-8,4,225,9,Bishkek
2018-02-07,-11,-15,0.6,8.3,1,43,12:59 AM,12:02 PM,08:10 AM,06:22 PM,-14,-15,-14,-15,6,78,95,0.8,1039,-11,5,219,4,Bishkek
2018-02-08,-9,-15,0.3,10.1,1,36,02:00 AM,12:34 PM,08:09 AM,06:23 PM,-15,-16,-12,-16,9,48,81,0.4,1043,-9,8,76,5,Bishkek
2018-02-09,-4,-14,0.0,10.2,2,28,02:58 AM,01:09 PM,08:07 AM,06:24 PM,-15,-10,-9,-10,5,8,63,0.0,1033,-4,10,149,3,Bishkek
2018-02-10,-4,-14,0.0,5.1,1,20,03:55 AM,01:47 PM,08:06 AM,06:26 PM,-14,-9,-8,-9,4,78,66,0.0,1025,-4,10,224,2,Bishkek
2018-02-11,-2,-9,0.0,10.2,2,13,04:48 AM,02:30 PM,08:05 AM,06:27 PM,-11,-7,-5,-7,7,31,64,0.0,1026,-2,10,140,3,Bishkek
2018-02-12,-1,-6,0.0,10.3,2,5,05:39 AM,03:18 PM,08:03 AM,06:28 PM,-9,-4,-4,-4,6,22,67,0.0,1021,-1,10,153,3,Bishkek
2018-02-13,1,-5,0.0,10.3,2,0,06:24 AM,04:09 PM,08:02 AM,06:30 PM,-8,-4,-2,-4,15,34,62,0.2,1018,1,10,143,7,Bishkek
2018-02-14,-0,-2,0.0,10.0,1,0,07:05 AM,05:05 PM,08:01 AM,06:31 PM,-3,-2,-1,-2,10,69,84,2.6,1018,-0,5,189,5,Bishkek
2018-02-15,-2,-7,6.5,5.4,1,0,07:43 AM,06:03 PM,07:59 AM,06:32 PM,-5,-8,-5,-8,13,100,97,7.7,1023,-2,2,240,9,Bishkek
