date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,1,0.0,8.5,2,97,04:40 PM,07:03 AM,08:08 AM,04:58 PM,1,5,5,5,5,39,75,0.2,1014,7,10,210,3,Turin
2018-01-02,10,2,0.0,8.5,3,100,05:45 PM,08:09 AM,08:08 AM,04:59 PM,-3,4,6,4,17,17,54,0.2,1017,10,9,283,9,Turin
2018-01-03,5,1,0.0,8.7,2,89,06:57 PM,09:06 AM,08:08 AM,05:00 PM,-2,3,4,3,6,24,68,1.8,1012,5,9,89,4,Turin
2018-01-04,6,2,0.0,8.7,2,81,08:10 PM,09:54 AM,08:08 AM,05:01 PM,1,5,5,5,4,20,78,0.7,1010,6,9,192,2,Turin
2018-01-05,4,2,0.0,5.1,2,74,09:24 PM,10:33 AM,08:08 AM,05:02 PM,3,4,4,4,6,45,90,0.5,1009,4,8,127,4,Turin
2018-01-06,6,3,0.0,3.4,1,67,10:34 PM,11:08 AM,08:07 AM,05:03 PM,2,4,5,4,3,88,85,1.5,1012,6,8,252,2,Turin
2018-01-07,6,5,0.0,3.4,2,59,11:43 PM,11:38 AM,08:07 AM,05:04 PM,5,5,6,5,6,99,92,15.7,1017,6,8,94,4,Turin
2018-01-08,9,7,0.0,3.4,2,52,No moonrise,12:06 PM,08:07 AM,05:05 PM,8,6,8,6,26,100,97,31.6,1018,9,7,89,17,Turin
2018-01-09,9,5,0.0,3.4,2,45,12:47 AM,12:33 PM,08:07 AM,05:06 PM,6,6,7,6,13,74,91,11.5,1017,9,9,122,8,Turin
2018-01-10,7,3,0.0,8.7,2,38,01:51 AM,01:01 PM,08:06 AM,05:08 PM,2,5,5,5,6,39,81,0.3,1016,7,10,272,4,Turin
2018-01-11,7,2,0.0,8.7,2,30,02:52 AM,01:31 PM,08:06 AM,05:09 PM,1,4,5,4,7,21,73,0.2,1014,7,10,254,4,Turin
2018-01-12,8,2,0.0,8.7,2,23,03:52 AM,02:02 PM,08:06 AM,05:10 PM,-1,4,5,4,8,24,65,0.1,1021,8,10,240,4,Turin
2018-01-13,7,1,0.0,8.7,2,16,04:50 AM,02:38 PM,08:05 AM,05:11 PM,-2,4,5,4,8,12,64,0.0,1023,7,10,255,5,Turin
2018-01-14,5,1,0.0,8.7,2,9,05:46 AM,03:18 PM,08:05 AM,05:12 PM,-2,2,3,2,5,24,69,0.0,1022,5,10,233,3,Turin
2018-01-15,3,0,0.0,8.7,2,1,06:38 AM,04:03 PM,08:04 AM,05:14 PM,-1,2,2,2,5,32,81,0.3,1022,3,9,169,4,Turin
2018-01-16,3,0,0.0,8.7,2,0,07:26 AM,04:53 PM,08:04 AM,05:15 PM,1,2,3,2,5,35,89,0.7,1010,3,9,108,4,Turin
2018-01-17,8,1,0.0,8.7,2,0,08:08 AM,05:48 PM,08:03 AM,05:16 PM,-3,3,5,3,14,9,59,0.4,1010,8,10,186,9,Turin
2018-01-18,6,0,0.0,8.7,2,6,08:46 AM,06:45 PM,08:02 AM,05:18 PM,-2,4,4,4,5,5,64,0.1,1017,6,10,192,4,Turin
2018-01-19,8,2,0.0,8.7,2,13,09:21 AM,07:46 PM,08:02 AM,05:19 PM,1,6,6,6,7,3,70,0.1,1012,8,10,264,5,Turin
2018-01-20,6,2,0.0,5.2,2,20,09:52 AM,08:47 PM,08:01 AM,05:20 PM,-4,3,4,3,12,29,54,0.8,1013,6,9,190,7,Turin
2018-01-21,9,-1,0.0,8.7,2,28,10:20 AM,09:50 PM,08:00 AM,05:22 PM,1,6,6,6,4,5,72,0.4,1010,9,10,101,3,Turin
2018-01-22,5,1,0.0,8.7,2,35,10:47 AM,10:54 PM,07:59 AM,05:23 PM,-1,4,4,4,5,9,71,0.1,1015,5,10,66,3,Turin
2018-01-23,10,2,0.0,8.7,3,42,11:15 AM,12:00 AM,07:59 AM,05:24 PM,4,8,8,8,6,3,75,0.0,1023,10,10,164,4,Turin
2018-01-24,5,2,0.0,8.7,2,49,11:43 AM,No moonset,07:58 AM,05:26 PM,2,6,6,6,4,3,80,0.0,1030,5,10,174,3,Turin
2018-01-25,5,2,0.0,7.0,2,57,12:14 PM,01:07 AM,07:57 AM,05:27 PM,2,4,4,4,5,52,83,0.3,1025,5,9,113,3,Turin
2018-01-26,4,3,0.0,3.6,1,64,12:50 PM,02:17 AM,07:56 AM,05:29 PM,1,3,4,3,4,95,85,5.8,1021,4,10,215,2,Turin
2018-01-27,9,3,0.0,8.7,3,71,01:32 PM,03:28 AM,07:55 AM,05:30 PM,3,6,6,6,6,38,76,2.5,1030,9,10,237,4,Turin
2018-01-28,10,3,0.0,8.7,3,78,02:21 PM,04:39 AM,07:54 AM,05:31 PM,2,8,8,8,5,6,66,0.0,1036,10,10,247,3,Turin
2018-01-29,10,4,0.0,8.7,3,86,03:21 PM,05:46 AM,07:53 AM,05:33 PM,4,9,9,9,4,2,68,0.0,1033,10,10,229,3,Turin
2018-01-30,9,4,0.0,3.7,2,93,04:28 PM,06:47 AM,07:52 AM,05:34 PM,3,7,7,7,5,39,76,0.1,1029,9,10,137,3,Turin
