date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-15,-20,0.0,8.7,1,97,05:19 PM,07:13 AM,07:58 AM,05:23 PM,-19,-25,-18,-25,20,49,91,0.0,1040,-15,6,290,13,Dayton(OH)
2018-01-02,-13,-22,0.0,8.7,2,100,06:25 PM,08:16 AM,07:58 AM,05:24 PM,-19,-25,-18,-25,17,9,88,0.0,1039,-13,10,242,10,Dayton(OH)
2018-01-03,-8,-16,0.1,5.3,1,89,07:36 PM,09:12 AM,07:58 AM,05:25 PM,-15,-19,-12,-19,22,49,82,0.1,1023,-8,10,239,13,Dayton(OH)
2018-01-04,-10,-15,0.0,3.6,1,81,08:47 PM,10:01 AM,07:58 AM,05:26 PM,-14,-20,-12,-20,25,90,89,0.0,1024,-10,10,305,17,Dayton(OH)
2018-01-05,-12,-17,0.0,3.6,1,74,09:56 PM,10:42 AM,07:58 AM,05:27 PM,-17,-23,-16,-23,18,81,92,0.1,1030,-12,7,281,12,Dayton(OH)
2018-01-06,-11,-19,0.0,3.6,1,67,11:03 PM,11:19 AM,07:58 AM,05:28 PM,-16,-19,-15,-19,11,60,91,0.0,1037,-11,7,244,6,Dayton(OH)
2018-01-07,-2,-15,0.0,7.0,1,59,No moonrise,11:51 AM,07:58 AM,05:29 PM,-12,-15,-9,-15,27,64,76,0.1,1030,-2,10,167,15,Dayton(OH)
2018-01-08,1,-1,0.0,3.6,1,52,12:07 AM,12:22 PM,07:58 AM,05:30 PM,-0,-4,1,-4,28,91,93,3.2,1020,1,8,231,18,Dayton(OH)
2018-01-09,0,-4,0.0,5.3,1,45,01:08 AM,12:52 PM,07:58 AM,05:31 PM,-2,-4,-2,-4,12,70,96,0.0,1026,0,3,157,6,Dayton(OH)
2018-01-10,9,-0,0.0,3.7,2,38,02:08 AM,01:23 PM,07:58 AM,05:32 PM,5,2,5,2,30,95,97,0.3,1020,9,7,160,14,Dayton(OH)
2018-01-11,12,10,0.0,5.3,3,30,03:06 AM,01:56 PM,07:57 AM,05:33 PM,10,9,11,9,35,87,93,0.3,1014,12,9,173,18,Dayton(OH)
2018-01-12,11,-7,0.0,3.7,1,23,04:03 AM,02:30 PM,07:57 AM,05:34 PM,0,-4,2,-4,35,97,91,2.8,1011,11,9,144,25,Dayton(OH)
2018-01-13,-9,-12,0.0,5.3,2,16,04:58 AM,03:09 PM,07:57 AM,05:35 PM,-13,-17,-10,-17,23,65,82,0.0,1032,-9,10,342,16,Dayton(OH)
2018-01-14,-8,-13,0.0,7.0,2,9,05:52 AM,03:52 PM,07:57 AM,05:36 PM,-13,-15,-11,-15,12,73,87,0.0,1039,-8,9,186,7,Dayton(OH)
2018-01-15,-4,-10,1.4,3.7,1,1,06:42 AM,04:38 PM,07:56 AM,05:37 PM,-8,-13,-7,-13,23,100,92,1.7,1029,-4,6,197,16,Dayton(OH)
2018-01-16,-12,-18,0.0,3.7,1,0,07:29 AM,05:30 PM,07:56 AM,05:38 PM,-16,-22,-15,-22,18,94,93,0.0,1036,-12,6,267,12,Dayton(OH)
2018-01-17,-9,-18,0.0,3.7,1,0,08:12 AM,06:23 PM,07:55 AM,05:39 PM,-14,-19,-13,-19,16,83,95,0.0,1036,-9,4,248,10,Dayton(OH)
2018-01-18,-3,-13,0.0,8.7,2,6,08:51 AM,07:20 PM,07:55 AM,05:40 PM,-10,-16,-8,-16,32,8,87,0.0,1027,-3,10,226,20,Dayton(OH)
2018-01-19,1,-7,0.0,8.7,2,13,09:27 AM,08:17 PM,07:54 AM,05:41 PM,-5,-9,-3,-9,34,6,88,0.0,1020,1,10,213,20,Dayton(OH)
2018-01-20,4,-0,0.0,5.4,2,20,09:59 AM,09:17 PM,07:54 AM,05:43 PM,1,-3,2,-3,32,52,93,0.0,1018,4,8,219,17,Dayton(OH)
2018-01-21,7,3,0.0,3.7,2,28,10:30 AM,10:16 PM,07:53 AM,05:44 PM,5,3,5,3,24,100,98,0.3,1019,7,4,198,12,Dayton(OH)
2018-01-22,12,8,0.0,5.4,3,35,11:00 AM,11:18 PM,07:53 AM,05:45 PM,9,8,10,8,39,64,89,8.0,1009,12,9,182,22,Dayton(OH)
2018-01-23,6,-0,0.0,3.7,1,42,11:31 AM,No moonset,07:52 AM,05:46 PM,0,-1,3,-1,30,81,82,0.0,1010,6,10,256,21,Dayton(OH)
2018-01-24,0,-4,0.0,3.7,1,49,12:03 PM,12:20 AM,07:51 AM,05:47 PM,-5,-6,-2,-6,18,82,76,0.0,1025,0,10,289,13,Dayton(OH)
2018-01-25,3,-5,0.0,8.7,2,57,12:38 PM,01:26 AM,07:51 AM,05:48 PM,-6,-4,-1,-4,19,11,70,0.0,1032,3,10,199,12,Dayton(OH)
2018-01-26,10,1,0.0,8.7,3,64,01:19 PM,02:32 AM,07:50 AM,05:50 PM,-1,2,5,2,32,4,67,0.0,1029,10,10,190,17,Dayton(OH)
2018-01-27,8,4,0.0,3.8,2,71,02:05 PM,03:41 AM,07:49 AM,05:51 PM,3,3,6,3,30,70,84,3.3,1024,8,6,233,17,Dayton(OH)
2018-01-28,9,0,0.0,8.7,2,78,02:59 PM,04:49 AM,07:48 AM,05:52 PM,-2,4,5,4,8,4,60,0.0,1026,9,10,241,4,Dayton(OH)
2018-01-29,3,-3,0.2,3.8,1,86,04:00 PM,05:54 AM,07:48 AM,05:53 PM,-4,-4,-0,-4,22,86,77,0.2,1025,3,10,300,16,Dayton(OH)
2018-01-30,-2,-6,0.0,8.7,2,93,05:09 PM,06:54 AM,07:47 AM,05:54 PM,-12,-9,-4,-9,17,48,57,0.0,1031,-2,10,279,12,Dayton(OH)
2018-01-31,8,-4,0.0,8.7,2,97,06:20 PM,07:47 AM,07:46 AM,05:55 PM,-7,-3,2,-3,34,51,54,0.0,1017,8,10,205,22,Dayton(OH)
2018-02-01,4,-6,0.1,3.8,1,88,07:32 PM,08:32 AM,07:45 AM,05:57 PM,-3,-4,1,-4,28,91,74,0.1,1016,4,9,267,18,Dayton(OH)
2018-02-02,-6,-11,0.0,8.7,2,81,08:42 PM,09:12 AM,07:44 AM,05:58 PM,-19,-15,-9,-15,20,16,43,0.0,1033,-6,10,287,15,Dayton(OH)
2018-02-03,2,-8,0.0,5.4,1,73,09:49 PM,09:48 AM,07:43 AM,05:59 PM,-15,-9,-3,-9,26,66,40,0.0,1025,2,10,203,18,Dayton(OH)
2018-02-04,2,-6,0.9,5.3,1,66,10:54 PM,10:21 AM,07:42 AM,06:00 PM,-3,-5,0,-5,29,100,79,1.0,1013,2,8,247,20,Dayton(OH)
2018-02-05,-4,-9,0.0,10.0,2,58,11:56 PM,10:52 AM,07:41 AM,06:01 PM,-12,-11,-7,-11,13,65,66,0.0,1026,-4,10,240,10,Dayton(OH)
2018-02-06,-3,-6,0.2,6.9,1,51,No moonrise,11:24 AM,07:40 AM,06:02 PM,-7,-7,-4,-7,9,77,78,0.3,1029,-3,9,210,6,Dayton(OH)
2018-02-07,-3,-6,3.5,5.3,1,43,12:56 AM,11:56 AM,07:39 AM,06:04 PM,-6,-10,-5,-10,19,87,88,4.1,1026,-3,8,211,14,Dayton(OH)
2018-02-08,-4,-12,0.0,10.7,2,36,01:55 AM,12:30 PM,07:38 AM,06:05 PM,-10,-12,-8,-12,14,36,85,0.0,1033,-4,9,243,9,Dayton(OH)
2018-02-09,5,-5,0.0,5.3,1,28,02:51 AM,01:08 PM,07:37 AM,06:06 PM,-2,-4,0,-4,24,75,84,0.0,1024,5,10,182,13,Dayton(OH)
2018-02-10,3,-2,0.0,5.4,1,20,03:46 AM,01:49 PM,07:36 AM,06:07 PM,-0,-2,1,-2,16,94,93,0.1,1019,3,8,104,10,Dayton(OH)
2018-02-11,2,-2,0.0,5.4,1,13,04:37 AM,02:34 PM,07:34 AM,06:08 PM,-2,-5,-1,-5,21,100,90,1.0,1016,2,9,211,14,Dayton(OH)
2018-02-12,2,-5,0.0,10.8,2,5,05:26 AM,03:24 PM,07:33 AM,06:09 PM,-8,-7,-2,-7,17,11,67,0.0,1037,2,10,144,12,Dayton(OH)
2018-02-13,5,-5,0.0,10.8,2,0,06:09 AM,04:16 PM,07:32 AM,06:11 PM,-5,-5,-1,-5,21,21,71,0.0,1036,5,10,114,14,Dayton(OH)
2018-02-14,11,2,0.0,5.4,2,0,06:50 AM,05:13 PM,07:31 AM,06:12 PM,5,3,6,3,25,75,96,1.7,1022,11,6,212,13,Dayton(OH)
2018-02-15,16,12,0.0,5.4,3,0,07:27 AM,06:10 PM,07:29 AM,06:13 PM,13,13,14,13,29,97,94,0.5,1010,16,9,227,17,Dayton(OH)
2018-02-16,13,-0,0.0,10.9,3,2,08:01 AM,07:10 PM,07:28 AM,06:14 PM,2,3,6,3,20,55,80,0.0,1018,13,9,326,15,Dayton(OH)
2018-02-17,2,-1,0.0,5.4,1,10,08:33 AM,08:10 PM,07:27 AM,06:15 PM,-2,-2,1,-2,13,74,82,0.0,1022,2,9,163,10,Dayton(OH)
2018-02-18,5,-3,0.0,8.5,2,17,09:04 AM,09:12 PM,07:26 AM,06:16 PM,-1,-2,1,-2,19,58,83,0.0,1026,5,10,195,12,Dayton(OH)
2018-02-19,18,3,0.0,7.0,3,25,09:34 AM,10:14 PM,07:24 AM,06:17 PM,10,10,12,10,38,57,89,0.0,1018,18,10,195,20,Dayton(OH)
2018-02-20,23,15,0.0,8.5,5,32,10:06 AM,11:18 PM,07:23 AM,06:19 PM,14,18,19,18,40,45,79,0.3,1019,23,10,199,24,Dayton(OH)
2018-02-21,18,5,0.0,5.5,2,40,10:39 AM,No moonset,07:22 AM,06:20 PM,8,8,10,8,29,83,87,6.4,1028,18,9,188,19,Dayton(OH)
2018-02-22,8,2,0.0,5.5,1,47,11:17 AM,12:23 AM,07:20 AM,06:21 PM,3,1,5,1,25,100,87,4.8,1032,8,10,65,19,Dayton(OH)
2018-02-23,14,6,0.0,5.5,3,55,11:59 AM,01:29 AM,07:19 AM,06:22 PM,10,9,11,9,25,94,94,0.2,1024,14,7,216,15,Dayton(OH)
2018-02-24,10,6,0.0,5.5,2,62,12:48 PM,02:35 AM,07:17 AM,06:23 PM,7,6,8,6,22,99,93,16.3,1018,10,7,73,15,Dayton(OH)
2018-02-25,17,5,0.0,5.5,2,70,01:44 PM,03:40 AM,07:16 AM,06:24 PM,5,7,9,7,32,99,74,12.5,1014,17,9,248,22,Dayton(OH)
2018-02-26,11,1,0.0,11.1,3,77,02:47 PM,04:39 AM,07:14 AM,06:25 PM,-3,6,7,6,7,14,53,0.0,1026,11,10,268,5,Dayton(OH)
2018-02-27,14,2,0.0,11.1,3,85,03:56 PM,05:34 AM,07:13 AM,06:26 PM,-1,6,8,6,22,9,54,0.0,1025,14,10,182,13,Dayton(OH)
2018-02-28,14,9,0.0,5.6,3,93,05:06 PM,06:21 AM,07:11 AM,06:28 PM,8,10,11,10,22,68,79,0.9,1013,14,10,195,14,Dayton(OH)
2018-03-01,13,3,0.0,5.6,2,96,06:17 PM,07:04 AM,07:10 AM,06:29 PM,7,6,9,6,33,98,89,3.3,1008,13,8,228,23,Dayton(OH)
2018-03-02,6,-1,0.0,11.2,2,100,07:27 PM,07:42 AM,07:08 AM,06:30 PM,-3,-2,2,-2,23,10,69,0.0,1027,6,10,293,16,Dayton(OH)
2018-03-03,7,-1,0.0,11.2,2,89,08:34 PM,08:16 AM,07:07 AM,06:31 PM,-5,-1,2,-1,17,3,61,0.0,1032,7,10,109,11,Dayton(OH)
2018-03-04,7,-2,0.0,11.3,2,82,09:39 PM,08:48 AM,07:05 AM,06:32 PM,-7,-2,2,-2,19,1,54,0.0,1031,7,10,64,13,Dayton(OH)
2018-03-05,6,-2,0.0,10.1,2,74,10:41 PM,09:21 AM,07:04 AM,06:33 PM,-8,-3,1,-3,22,40,50,0.0,1022,6,10,94,16,Dayton(OH)
2018-03-06,11,-0,0.5,10.1,3,67,11:43 PM,09:53 AM,07:02 AM,06:34 PM,-1,2,5,2,19,57,65,1.3,1008,11,8,221,14,Dayton(OH)
2018-03-07,2,-2,0.0,7.2,1,60,No moonrise,10:27 AM,07:01 AM,06:35 PM,-4,-4,0,-4,24,80,72,0.4,1013,2,9,279,19,Dayton(OH)
2018-03-08,-1,-4,0.3,5.9,1,53,12:41 AM,11:04 AM,06:59 AM,06:36 PM,-7,-8,-2,-8,22,76,70,0.3,1017,-1,9,284,17,Dayton(OH)
2018-03-09,3,-5,0.0,10.2,2,45,01:37 AM,11:45 AM,06:58 AM,06:37 PM,-7,-6,-1,-6,18,45,68,0.0,1018,3,10,248,13,Dayton(OH)
2018-03-10,6,-3,0.0,11.6,2,38,02:30 AM,12:28 PM,06:56 AM,06:38 PM,-7,-3,1,-3,16,11,59,0.0,1018,6,10,47,10,Dayton(OH)
2018-03-11,5,-3,0.0,10.2,2,31,03:20 AM,01:16 PM,06:54 AM,06:39 PM,-7,-4,1,-4,22,49,59,0.0,1020,5,10,53,16,Dayton(OH)
2018-03-12,4,-4,0.0,7.4,2,24,04:06 AM,02:08 PM,06:53 AM,06:40 PM,-5,-4,0,-4,22,42,66,0.1,1018,4,10,205,16,Dayton(OH)
2018-03-13,2,-3,0.0,6.0,1,16,04:47 AM,03:02 PM,06:51 AM,06:42 PM,-6,-6,-1,-6,22,67,71,0.0,1019,2,10,311,16,Dayton(OH)
2018-03-14,2,-5,0.0,8.8,2,9,05:26 AM,04:00 PM,06:50 AM,06:43 PM,-8,-7,-2,-7,25,46,64,0.0,1018,2,10,282,17,Dayton(OH)
2018-03-15,8,-1,0.0,11.6,2,2,06:01 AM,04:59 PM,06:48 AM,06:44 PM,-3,-1,3,-1,29,7,65,0.0,1011,8,10,287,18,Dayton(OH)
2018-03-16,5,-5,0.0,7.4,1,0,06:33 AM,06:00 PM,06:46 AM,06:45 PM,-10,-4,-0,-4,16,50,49,0.0,1021,5,10,142,11,Dayton(OH)
2018-03-17,4,-1,0.0,6.0,1,0,07:05 AM,07:02 PM,06:45 AM,06:46 PM,-2,-3,1,-3,20,76,78,0.5,1014,4,9,74,14,Dayton(OH)
2018-03-18,11,-2,0.0,10.2,2,5,07:36 AM,08:05 PM,06:43 AM,06:47 PM,-5,4,5,4,9,10,50,0.0,1017,11,10,79,5,Dayton(OH)
2018-03-19,13,2,0.0,11.6,3,13,08:07 AM,09:10 PM,06:42 AM,06:48 PM,-2,4,7,4,27,32,52,0.4,1010,13,9,59,18,Dayton(OH)
2018-03-20,5,-1,0.9,8.8,2,20,08:40 AM,10:16 PM,06:40 AM,06:49 PM,-3,-4,1,-4,30,80,75,3.4,1006,5,8,27,23,Dayton(OH)
2018-03-21,1,-2,0.0,6.1,1,27,09:17 AM,11:23 PM,06:38 AM,06:50 PM,-3,-6,-1,-6,27,90,89,0.0,1013,1,10,254,19,Dayton(OH)
2018-03-22,5,-4,0.0,11.6,2,34,09:58 AM,No moonset,06:37 AM,06:51 PM,-4,-4,-0,-4,18,4,75,0.0,1026,5,10,312,11,Dayton(OH)
2018-03-23,7,-2,0.0,11.6,2,42,10:44 AM,12:29 AM,06:35 AM,06:52 PM,-5,-2,1,-2,17,24,63,0.0,1026,7,10,259,10,Dayton(OH)
2018-03-24,1,-2,0.4,6.1,1,49,11:38 AM,01:33 AM,06:33 AM,06:53 PM,-6,-5,0,-5,26,75,66,0.5,1024,1,9,80,17,Dayton(OH)
2018-03-25,6,-4,0.0,10.2,2,56,12:36 PM,02:33 AM,06:32 AM,06:54 PM,-9,-5,1,-5,32,36,49,0.0,1026,6,10,69,22,Dayton(OH)
2018-03-26,10,-0,0.0,7.5,2,63,01:41 PM,03:28 AM,06:30 AM,06:55 PM,0,1,5,1,30,61,70,0.4,1026,10,9,126,19,Dayton(OH)
2018-03-27,12,9,0.0,6.1,3,71,02:49 PM,04:16 AM,06:29 AM,06:56 PM,9,8,10,8,29,100,92,1.9,1019,12,9,209,19,Dayton(OH)
2018-03-28,13,9,0.0,6.2,3,78,03:58 PM,04:59 AM,06:27 AM,06:57 PM,11,11,11,11,9,100,95,6.3,1015,13,4,112,6,Dayton(OH)
2018-03-29,14,6,0.0,6.2,3,85,05:07 PM,05:37 AM,06:25 AM,06:58 PM,10,9,11,9,19,100,95,2.4,1010,14,5,163,13,Dayton(OH)
2018-03-30,9,3,0.0,8.9,2,93,06:14 PM,06:12 AM,06:24 AM,06:59 PM,1,3,6,3,15,66,72,0.7,1020,9,8,241,11,Dayton(OH)
2018-03-31,13,2,0.0,10.3,3,96,07:20 PM,06:45 AM,06:22 AM,07:00 PM,3,5,8,5,28,34,73,0.4,1020,13,9,209,19,Dayton(OH)
2018-04-01,8,0,3.8,10.3,2,89,08:24 PM,07:17 AM,06:21 AM,07:01 PM,-1,1,4,1,18,61,70,4.5,1021,8,9,209,13,Dayton(OH)
2018-04-02,5,-3,0.0,7.7,1,81,09:27 PM,07:49 AM,06:19 AM,07:02 PM,-1,-2,1,-2,16,63,89,0.0,1020,5,8,78,11,Dayton(OH)
2018-04-03,18,5,0.0,7.7,3,74,10:27 PM,08:23 AM,06:17 AM,07:03 PM,11,11,12,11,31,85,93,19.8,1006,18,8,178,17,Dayton(OH)
2018-04-04,7,-2,0.0,7.7,1,66,11:26 PM,08:59 AM,06:16 AM,07:04 PM,-4,-4,2,-4,39,75,67,0.0,1017,7,10,279,30,Dayton(OH)
2018-04-05,7,-2,0.0,11.6,2,59,No moonrise,09:38 AM,06:14 AM,07:05 PM,-6,-0,2,-0,12,33,57,0.0,1023,7,10,222,9,Dayton(OH)
2018-04-06,12,-2,0.0,6.5,2,51,12:21 AM,10:21 AM,06:13 AM,07:06 PM,-0,1,5,1,28,83,68,0.1,1014,12,10,262,20,Dayton(OH)
2018-04-07,4,-3,0.0,11.6,2,44,01:13 AM,11:07 AM,06:11 AM,07:07 PM,-8,-4,-1,-4,17,52,59,0.0,1019,4,10,206,12,Dayton(OH)
2018-04-08,5,-4,0.0,10.3,2,36,02:01 AM,11:58 AM,06:10 AM,07:08 PM,-11,-2,0,-2,14,31,43,0.0,1019,5,10,116,9,Dayton(OH)
2018-04-09,4,-1,0.5,6.5,1,28,02:44 AM,12:51 PM,06:08 AM,07:09 PM,-4,-1,1,-1,9,87,71,0.6,1022,4,9,214,7,Dayton(OH)
2018-04-10,5,-2,0.0,9.1,2,21,03:23 AM,01:47 PM,06:07 AM,07:10 PM,-3,0,2,0,9,46,70,0.0,1025,5,10,264,6,Dayton(OH)
2018-04-11,15,-1,0.0,11.6,3,13,03:59 AM,02:45 PM,06:05 AM,07:11 PM,1,5,7,5,23,37,67,0.0,1020,15,10,220,15,Dayton(OH)
2018-04-12,23,10,0.0,11.6,5,6,04:32 AM,03:46 PM,06:04 AM,07:12 PM,9,15,17,15,38,25,65,0.0,1010,23,10,210,24,Dayton(OH)
