date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,7,0.0,3.5,3,97,04:58 PM,06:53 AM,08:03 AM,05:25 PM,6,7,9,7,15,75,86,0.0,1014,10,10,112,11,Baku
2018-01-02,8,6,0.0,3.5,2,100,06:02 PM,07:59 AM,08:04 AM,05:26 PM,4,1,7,1,59,96,81,5.0,1012,8,8,347,44,Baku
2018-01-03,7,6,0.0,5.2,3,89,07:12 PM,08:58 AM,08:04 AM,05:27 PM,2,2,6,2,45,68,77,0.8,1016,7,9,341,33,Baku
2018-01-04,10,6,0.0,8.7,3,81,08:23 PM,09:49 AM,08:04 AM,05:27 PM,5,6,8,6,21,49,82,0.0,1016,10,10,215,15,Baku
2018-01-05,11,7,0.0,8.7,3,74,09:34 PM,10:32 AM,08:04 AM,05:28 PM,6,7,10,7,27,37,79,0.2,1012,11,10,227,18,Baku
2018-01-06,9,7,0.0,8.7,3,67,10:41 PM,11:10 AM,08:04 AM,05:29 PM,5,4,8,4,32,47,81,0.0,1018,9,10,348,23,Baku
2018-01-07,8,5,0.0,7.0,3,59,11:47 PM,11:44 AM,08:04 AM,05:30 PM,4,4,7,4,21,38,82,0.0,1030,8,10,275,15,Baku
2018-01-08,11,7,0.0,8.7,3,52,No moonrise,12:14 PM,08:03 AM,05:31 PM,5,7,9,7,26,19,78,0.0,1029,11,10,237,17,Baku
2018-01-09,13,7,0.0,8.7,3,45,12:49 AM,12:44 PM,08:03 AM,05:32 PM,4,7,10,7,31,17,69,0.0,1023,13,10,250,20,Baku
2018-01-10,6,3,0.0,5.2,1,38,01:50 AM,01:15 PM,08:03 AM,05:33 PM,-3,-2,4,-2,45,85,61,0.9,1030,6,7,186,35,Baku
2018-01-11,8,4,0.0,5.2,2,30,02:49 AM,01:46 PM,08:03 AM,05:34 PM,1,3,6,3,24,73,71,0.2,1027,8,10,188,17,Baku
2018-01-12,7,5,0.0,8.7,3,23,03:47 AM,02:19 PM,08:03 AM,05:35 PM,2,2,6,2,33,35,75,0.0,1018,7,10,291,24,Baku
2018-01-13,4,2,0.0,7.0,2,16,04:43 AM,02:57 PM,08:02 AM,05:36 PM,-0,-4,3,-4,57,62,79,0.0,1025,4,10,346,43,Baku
2018-01-14,4,2,0.1,3.5,1,9,05:38 AM,03:38 PM,08:02 AM,05:37 PM,0,-3,3,-3,41,100,81,0.4,1028,4,9,185,31,Baku
2018-01-15,4,3,0.1,3.5,1,1,06:29 AM,04:22 PM,08:02 AM,05:39 PM,-0,-1,3,-1,34,96,77,2.0,1029,4,8,34,25,Baku
2018-01-16,4,3,0.0,3.5,1,0,07:18 AM,05:12 PM,08:01 AM,05:40 PM,-2,-0,3,-0,18,97,67,0.0,1030,4,10,62,13,Baku
2018-01-17,7,3,0.0,7.0,2,0,08:02 AM,06:05 PM,08:01 AM,05:41 PM,-1,1,5,1,27,48,67,0.0,1020,7,10,183,20,Baku
2018-01-18,9,5,0.0,7.0,3,6,08:42 AM,07:01 PM,08:00 AM,05:42 PM,2,3,7,3,41,32,72,0.0,1011,9,10,210,27,Baku
2018-01-19,8,6,0.0,8.7,3,13,09:19 AM,07:58 PM,08:00 AM,05:43 PM,2,4,7,4,26,20,70,0.0,1008,8,10,170,16,Baku
2018-01-20,7,6,0.0,3.7,3,20,09:52 AM,08:57 PM,07:59 AM,05:44 PM,4,2,6,2,50,61,83,0.1,1019,7,10,351,35,Baku
2018-01-21,11,5,0.0,8.7,3,28,10:23 AM,09:57 PM,07:59 AM,05:45 PM,4,5,9,5,48,8,73,0.0,1018,11,10,228,31,Baku
2018-01-22,9,6,0.0,7.0,3,35,10:53 AM,10:58 PM,07:58 AM,05:47 PM,5,6,8,6,30,39,78,0.0,1014,9,10,260,19,Baku
2018-01-23,8,5,0.0,8.7,3,42,11:23 AM,No moonset,07:57 AM,05:48 PM,4,4,7,4,21,18,80,0.1,1010,8,10,166,14,Baku
2018-01-24,7,5,0.0,3.7,2,49,11:54 AM,12:01 AM,07:57 AM,05:49 PM,3,3,6,3,25,75,82,0.0,1017,7,10,64,19,Baku
2018-01-25,5,4,0.0,3.7,1,57,12:27 PM,01:05 AM,07:56 AM,05:50 PM,2,-0,5,-0,45,92,81,0.3,1027,5,9,313,33,Baku
2018-01-26,5,4,0.0,3.7,1,64,01:05 PM,02:12 AM,07:55 AM,05:51 PM,2,-1,4,-1,39,98,84,2.2,1028,5,9,54,29,Baku
2018-01-27,4,2,0.0,3.7,1,71,01:49 PM,03:21 AM,07:55 AM,05:53 PM,-2,-3,3,-3,44,100,70,4.6,1033,4,6,40,33,Baku
2018-01-28,2,-0,0.0,8.7,2,78,02:39 PM,04:29 AM,07:54 AM,05:54 PM,-7,-5,1,-5,40,48,58,0.0,1038,2,10,45,31,Baku
2018-01-29,1,-0,0.0,8.7,2,86,03:39 PM,05:36 AM,07:53 AM,05:55 PM,-8,-3,1,-3,18,10,52,0.0,1032,1,10,112,14,Baku
2018-01-30,3,1,0.0,8.7,2,93,04:44 PM,06:38 AM,07:52 AM,05:56 PM,-5,-0,3,-0,17,35,55,0.0,1024,3,10,242,12,Baku
2018-01-31,11,4,0.0,8.7,3,97,05:55 PM,07:33 AM,07:51 AM,05:57 PM,-2,2,7,2,55,6,54,0.0,1017,11,10,260,35,Baku
2018-02-01,6,5,0.0,8.7,3,88,07:08 PM,08:21 AM,07:50 AM,05:58 PM,0,3,6,3,19,22,67,0.1,1024,6,10,214,14,Baku
2018-02-02,8,5,0.0,10.5,3,81,08:19 PM,09:03 AM,07:49 AM,06:00 PM,0,6,7,6,14,2,60,0.0,1028,8,10,195,10,Baku
2018-02-03,11,7,0.0,10.5,3,73,09:28 PM,09:40 AM,07:48 AM,06:01 PM,3,5,8,5,36,19,70,0.0,1025,11,10,194,23,Baku
2018-02-04,11,8,0.0,10.6,3,66,10:34 PM,10:12 AM,07:47 AM,06:02 PM,5,6,9,6,35,22,73,0.0,1022,11,10,177,22,Baku
2018-02-05,15,9,0.0,10.6,4,58,11:38 PM,10:44 AM,07:46 AM,06:03 PM,4,7,11,7,57,22,65,0.0,1014,15,10,244,36,Baku
2018-02-06,8,7,0.0,10.6,3,51,No moonrise,11:15 AM,07:45 AM,06:04 PM,5,3,7,3,53,30,83,0.0,1025,8,10,218,38,Baku
2018-02-07,8,6,0.0,10.6,3,43,12:38 AM,11:47 AM,07:44 AM,06:06 PM,3,3,7,3,37,21,76,0.0,1031,8,10,224,27,Baku
2018-02-08,8,6,0.0,10.6,3,36,01:38 AM,12:20 PM,07:43 AM,06:07 PM,2,5,7,5,16,19,68,0.0,1031,8,10,148,11,Baku
2018-02-09,8,7,0.0,6.9,2,28,02:35 AM,12:56 PM,07:42 AM,06:08 PM,4,4,7,4,31,57,77,0.0,1022,8,10,169,22,Baku
2018-02-10,7,5,0.0,6.9,2,20,03:31 AM,01:36 PM,07:41 AM,06:09 PM,2,3,6,3,22,94,75,3.4,1021,7,9,96,16,Baku
2018-02-11,9,5,0.0,10.7,3,13,04:24 AM,02:19 PM,07:40 AM,06:10 PM,1,4,7,4,25,59,67,0.0,1019,9,10,159,18,Baku
2018-02-12,11,7,0.0,10.7,3,5,05:13 AM,03:07 PM,07:38 AM,06:12 PM,5,5,8,5,38,26,80,0.1,1008,11,10,263,27,Baku
2018-02-13,8,5,0.0,10.0,3,0,05:59 AM,03:59 PM,07:37 AM,06:13 PM,2,3,7,3,27,32,75,0.0,1015,8,10,161,19,Baku
2018-02-14,6,5,0.0,6.9,2,0,06:40 AM,04:53 PM,07:36 AM,06:14 PM,1,2,6,2,30,83,73,1.5,1023,6,7,78,22,Baku
2018-02-15,9,6,0.0,8.5,3,0,07:19 AM,05:51 PM,07:35 AM,06:15 PM,3,5,7,5,18,49,72,0.0,1029,9,10,171,13,Baku
2018-02-16,9,7,0.0,7.0,2,2,07:53 AM,06:50 PM,07:33 AM,06:16 PM,5,6,8,6,19,58,80,0.2,1032,9,10,142,13,Baku
2018-02-17,10,7,0.0,10.1,3,10,08:25 AM,07:51 PM,07:32 AM,06:18 PM,5,5,8,5,27,49,81,0.0,1025,10,10,178,19,Baku
2018-02-18,7,5,0.0,5.4,2,17,08:56 AM,08:52 PM,07:31 AM,06:19 PM,4,3,6,3,28,90,84,5.0,1019,7,10,80,20,Baku
2018-02-19,6,4,0.0,5.5,2,25,09:27 AM,09:55 PM,07:29 AM,06:20 PM,2,0,5,0,39,95,79,2.1,1018,6,10,262,29,Baku
2018-02-20,8,5,0.0,5.5,2,32,09:57 AM,10:58 PM,07:28 AM,06:21 PM,4,5,7,5,12,87,80,0.0,1021,8,10,235,8,Baku
2018-02-21,9,7,0.0,5.5,2,40,10:29 AM,No moonset,07:27 AM,06:22 PM,6,7,8,7,12,98,85,0.3,1022,9,10,125,9,Baku
2018-02-22,10,8,0.0,7.0,2,47,11:05 AM,12:03 AM,07:25 AM,06:23 PM,5,7,9,7,17,77,79,0.0,1018,10,10,169,12,Baku
2018-02-23,9,6,0.0,11.0,3,55,11:45 AM,01:10 AM,07:24 AM,06:25 PM,5,6,8,6,16,35,82,0.0,1017,9,10,129,12,Baku
2018-02-24,10,7,0.0,10.1,3,62,12:31 PM,02:16 AM,07:22 AM,06:26 PM,5,6,8,6,24,29,80,0.0,1013,10,10,168,17,Baku
2018-02-25,11,7,0.0,11.1,3,70,01:25 PM,03:21 AM,07:21 AM,06:27 PM,6,7,9,7,21,33,83,0.0,1010,11,10,158,15,Baku
2018-02-26,9,6,0.0,7.1,3,77,02:25 PM,04:23 AM,07:19 AM,06:28 PM,5,5,8,5,32,57,86,0.1,1011,9,10,317,23,Baku
2018-02-27,8,5,0.0,8.6,2,85,03:32 PM,05:20 AM,07:18 AM,06:29 PM,3,3,6,3,30,72,80,0.0,1017,8,10,130,22,Baku
2018-02-28,9,6,0.0,11.1,3,93,04:42 PM,06:09 AM,07:16 AM,06:30 PM,5,4,8,4,27,32,85,0.0,1019,9,10,227,20,Baku
2018-03-01,11,6,0.0,11.2,3,96,05:54 PM,06:53 AM,07:15 AM,06:31 PM,6,7,9,7,20,33,83,0.0,1015,11,10,197,15,Baku
2018-03-02,9,5,0.0,8.6,2,100,07:04 PM,07:33 AM,07:13 AM,06:33 PM,2,1,6,1,44,66,77,0.1,1019,9,10,306,33,Baku
2018-03-03,10,4,0.0,10.1,3,89,08:12 PM,08:07 AM,07:12 AM,06:34 PM,4,4,7,4,32,55,78,0.0,1017,10,10,146,23,Baku
2018-03-04,19,9,0.0,11.3,4,82,09:19 PM,08:40 AM,07:10 AM,06:35 PM,5,9,12,9,52,19,66,0.0,1006,19,10,262,33,Baku
2018-03-05,17,6,0.0,11.3,4,74,10:22 PM,09:12 AM,07:09 AM,06:36 PM,5,7,10,7,55,13,70,0.0,1005,17,10,282,35,Baku
2018-03-06,8,5,0.0,10.1,3,67,11:25 PM,09:44 AM,07:07 AM,06:37 PM,0,3,6,3,31,51,64,0.0,1022,8,10,105,23,Baku
2018-03-07,12,7,0.0,10.1,2,60,No moonrise,10:17 AM,07:05 AM,06:38 PM,5,6,9,6,33,54,72,0.0,1016,12,10,180,23,Baku
2018-03-08,19,9,0.0,11.4,4,53,12:24 AM,10:52 AM,07:04 AM,06:39 PM,7,11,12,11,31,17,70,0.0,1007,19,10,247,19,Baku
2018-03-09,10,8,0.0,8.6,3,45,01:22 AM,11:31 AM,07:02 AM,06:40 PM,6,5,9,5,42,61,87,2.4,1002,10,10,312,30,Baku
2018-03-10,8,7,0.0,7.2,2,38,02:16 AM,12:13 PM,07:01 AM,06:41 PM,5,4,8,4,42,81,84,1.0,1014,8,7,258,30,Baku
2018-03-11,10,6,0.0,7.3,2,31,03:07 AM,01:00 PM,06:59 AM,06:43 PM,6,6,8,6,15,87,85,0.2,1018,10,10,100,12,Baku
2018-03-12,8,2,0.0,7.4,2,24,03:55 AM,01:50 PM,06:57 AM,06:44 PM,3,1,5,1,40,90,83,4.5,1023,8,9,172,30,Baku
2018-03-13,5,2,0.0,5.9,1,16,04:37 AM,02:44 PM,06:56 AM,06:45 PM,-0,-0,4,-0,23,95,75,0.0,1026,5,10,64,17,Baku
2018-03-14,8,4,0.0,6.0,2,9,05:17 AM,03:41 PM,06:54 AM,06:46 PM,3,2,6,2,34,98,79,0.1,1022,8,10,139,24,Baku
2018-03-15,11,8,0.0,7.4,3,2,05:53 AM,04:39 PM,06:53 AM,06:47 PM,6,6,10,6,44,59,77,0.0,1015,11,10,184,30,Baku
