date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,6,0.0,4.9,2,97,04:27 PM,07:42 AM,08:50 AM,04:41 PM,3,4,7,4,36,75,75,0.2,998,9,10,233,24,Rotterdam-Hague
2018-01-02,9,6,0.0,3.0,2,100,05:33 PM,08:48 AM,08:50 AM,04:43 PM,4,3,7,3,34,92,79,0.7,1006,9,7,245,23,Rotterdam-Hague
2018-01-03,12,8,0.0,3.0,2,89,06:47 PM,09:43 AM,08:49 AM,04:44 PM,4,5,9,5,68,94,71,2.4,991,12,10,256,46,Rotterdam-Hague
2018-01-04,10,7,0.0,3.0,2,81,08:06 PM,10:26 AM,08:49 AM,04:45 PM,5,5,8,5,41,69,79,0.1,994,10,10,240,27,Rotterdam-Hague
2018-01-05,8,7,0.0,4.9,2,74,09:25 PM,11:01 AM,08:49 AM,04:46 PM,4,4,8,4,34,65,80,4.1,995,8,10,236,21,Rotterdam-Hague
2018-01-06,7,5,0.0,3.0,2,67,10:41 PM,11:30 AM,08:49 AM,04:47 PM,3,4,6,4,18,71,82,0.1,1008,7,10,136,11,Rotterdam-Hague
2018-01-07,4,0,0.0,8.0,2,59,11:54 PM,11:55 AM,08:48 AM,04:49 PM,-3,-3,2,-3,35,22,69,0.0,1025,4,10,58,24,Rotterdam-Hague
2018-01-08,4,0,0.0,8.0,2,52,No moonrise,12:18 PM,08:48 AM,04:50 PM,-3,-3,2,-3,34,37,71,0.0,1024,4,10,83,22,Rotterdam-Hague
2018-01-09,6,1,0.0,6.8,2,45,01:05 AM,12:40 PM,08:47 AM,04:51 PM,1,-0,3,-0,22,58,87,0.0,1011,6,10,133,14,Rotterdam-Hague
2018-01-10,7,5,0.0,3.0,2,38,02:13 AM,01:03 PM,08:46 AM,04:53 PM,5,4,6,4,21,91,93,0.5,1008,7,7,176,13,Rotterdam-Hague
2018-01-11,7,4,0.0,8.1,2,30,03:20 AM,01:28 PM,08:46 AM,04:54 PM,4,4,6,4,11,43,93,0.0,1017,7,6,88,6,Rotterdam-Hague
2018-01-12,6,4,0.0,3.0,1,23,04:23 AM,01:56 PM,08:45 AM,04:56 PM,4,4,5,4,8,87,94,0.0,1026,6,4,108,5,Rotterdam-Hague
2018-01-13,6,3,0.0,6.8,1,16,05:26 AM,02:28 PM,08:44 AM,04:57 PM,3,2,5,2,18,57,89,0.0,1024,6,8,118,12,Rotterdam-Hague
2018-01-14,4,2,0.0,8.2,2,9,06:24 AM,03:06 PM,08:44 AM,04:59 PM,1,-1,3,-1,22,29,86,0.0,1020,4,10,113,14,Rotterdam-Hague
2018-01-15,8,3,0.0,3.2,2,1,07:17 AM,03:50 PM,08:43 AM,05:01 PM,3,0,5,0,45,91,86,1.6,1002,8,10,209,30,Rotterdam-Hague
2018-01-16,7,5,0.0,8.6,3,0,08:05 AM,04:41 PM,08:42 AM,05:02 PM,1,2,6,2,43,55,68,0.8,992,7,10,265,28,Rotterdam-Hague
2018-01-17,6,3,0.0,3.2,1,0,08:46 AM,05:38 PM,08:41 AM,05:04 PM,-1,-0,5,-0,48,91,67,0.2,1000,6,10,278,31,Rotterdam-Hague
2018-01-18,10,5,0.0,3.2,2,6,09:21 AM,06:38 PM,08:40 AM,05:05 PM,2,2,6,2,50,97,74,1.4,997,10,9,254,33,Rotterdam-Hague
2018-01-19,6,4,0.0,5.1,1,13,09:51 AM,07:43 PM,08:39 AM,05:07 PM,1,1,5,1,28,83,74,0.3,1007,6,10,267,18,Rotterdam-Hague
2018-01-20,4,3,0.0,3.3,1,20,10:17 AM,08:49 PM,08:38 AM,05:09 PM,1,1,4,1,20,74,83,0.9,1004,4,10,198,12,Rotterdam-Hague
2018-01-21,6,3,0.0,6.9,2,28,10:41 AM,09:57 PM,08:37 AM,05:11 PM,0,1,4,1,22,61,74,0.8,1013,6,9,252,14,Rotterdam-Hague
2018-01-22,8,3,0.0,6.9,3,35,11:04 AM,11:07 PM,08:36 AM,05:12 PM,4,3,6,3,27,67,86,0.1,1009,8,10,264,17,Rotterdam-Hague
2018-01-23,11,6,0.0,5.1,2,42,11:26 AM,No moonset,08:34 AM,05:14 PM,6,5,8,5,36,79,84,0.3,1018,11,9,220,22,Rotterdam-Hague
2018-01-24,13,9,0.0,3.3,3,49,11:49 AM,12:17 AM,08:33 AM,05:16 PM,9,9,12,9,51,99,82,0.2,1011,13,10,217,32,Rotterdam-Hague
2018-01-25,9,7,0.0,5.1,3,57,12:15 PM,01:31 AM,08:32 AM,05:18 PM,5,5,8,5,30,57,82,0.7,1010,9,10,215,19,Rotterdam-Hague
2018-01-26,8,5,0.0,5.1,3,64,12:46 PM,02:46 AM,08:30 AM,05:19 PM,5,4,6,4,14,41,89,0.0,1018,8,10,236,9,Rotterdam-Hague
2018-01-27,7,4,0.0,8.7,3,71,01:23 PM,04:02 AM,08:29 AM,05:21 PM,3,2,6,2,29,44,82,0.5,1028,7,9,220,19,Rotterdam-Hague
2018-01-28,11,9,0.0,6.9,3,78,02:10 PM,05:17 AM,08:28 AM,05:23 PM,8,7,10,7,41,64,89,0.2,1028,11,10,246,26,Rotterdam-Hague
2018-01-29,11,7,0.0,5.1,2,86,03:08 PM,06:26 AM,08:26 AM,05:25 PM,6,6,10,6,46,75,80,0.1,1025,11,10,261,31,Rotterdam-Hague
2018-01-30,8,5,0.0,8.7,3,93,04:17 PM,07:26 AM,08:25 AM,05:27 PM,3,4,6,4,17,20,77,0.0,1027,8,10,245,11,Rotterdam-Hague
2018-01-31,10,5,0.0,5.2,2,97,05:34 PM,08:15 AM,08:23 AM,05:28 PM,4,4,8,4,45,76,79,1.7,1005,10,9,243,29,Rotterdam-Hague
2018-02-01,6,4,0.0,3.4,1,88,06:54 PM,08:55 AM,08:22 AM,05:30 PM,0,1,5,1,30,82,71,0.4,999,6,10,258,20,Rotterdam-Hague
2018-02-02,7,4,0.0,6.9,2,81,08:14 PM,09:28 AM,08:20 AM,05:32 PM,2,2,6,2,28,75,74,0.0,1004,7,10,289,19,Rotterdam-Hague
2018-02-03,6,3,0.0,3.4,1,73,09:32 PM,09:56 AM,08:19 AM,05:34 PM,1,3,5,3,9,66,75,0.1,1008,6,10,201,7,Rotterdam-Hague
2018-02-04,4,0,0.0,3.4,1,66,10:46 PM,10:20 AM,08:17 AM,05:36 PM,-3,-2,2,-2,25,77,70,0.0,1021,4,10,39,18,Rotterdam-Hague
2018-02-05,3,-0,0.0,7.0,2,58,11:57 PM,10:43 AM,08:15 AM,05:38 PM,-2,-3,2,-3,25,47,74,0.0,1026,3,10,72,17,Rotterdam-Hague
2018-02-06,2,-2,0.0,8.7,2,51,No moonrise,11:07 AM,08:14 AM,05:40 PM,-7,-4,0,-4,17,7,62,0.0,1017,2,10,61,14,Rotterdam-Hague
2018-02-07,2,-2,0.0,8.7,2,43,01:06 AM,11:31 AM,08:12 AM,05:41 PM,-10,-2,0,-2,10,14,46,0.0,1018,2,10,42,8,Rotterdam-Hague
2018-02-08,5,-0,0.0,7.0,2,36,02:12 AM,11:58 AM,08:10 AM,05:43 PM,-4,-1,2,-1,17,55,65,0.0,1020,5,10,197,11,Rotterdam-Hague
2018-02-09,2,0,0.1,3.5,1,28,03:16 AM,12:29 PM,08:08 AM,05:45 PM,-2,-4,1,-4,31,98,77,0.2,1012,2,9,185,21,Rotterdam-Hague
2018-02-10,6,2,0.0,7.0,1,20,04:16 AM,01:05 PM,08:06 AM,05:47 PM,1,1,4,1,23,78,79,0.0,1013,6,8,242,16,Rotterdam-Hague
2018-02-11,7,3,0.0,5.3,2,13,05:12 AM,01:47 PM,08:05 AM,05:49 PM,1,0,5,0,45,82,73,1.5,1001,7,10,253,30,Rotterdam-Hague
2018-02-12,5,3,0.0,5.3,2,5,06:01 AM,02:35 PM,08:03 AM,05:51 PM,-1,-1,3,-1,30,57,72,0.0,1012,5,10,264,19,Rotterdam-Hague
2018-02-13,6,1,0.0,8.7,2,0,06:44 AM,03:30 PM,08:01 AM,05:52 PM,-3,-2,3,-2,32,27,67,0.0,1010,6,10,175,21,Rotterdam-Hague
2018-02-14,6,-1,0.0,8.7,2,0,07:22 AM,04:29 PM,07:59 AM,05:54 PM,-4,-2,3,-2,34,34,60,0.0,1012,6,10,158,23,Rotterdam-Hague
2018-02-15,9,3,0.0,5.4,2,0,07:54 AM,05:34 PM,07:57 AM,05:56 PM,3,2,6,2,34,64,82,0.5,1010,9,9,217,22,Rotterdam-Hague
2018-02-16,8,4,0.0,8.7,3,2,08:21 AM,06:40 PM,07:55 AM,05:58 PM,1,3,6,3,19,22,69,0.0,1024,8,10,249,13,Rotterdam-Hague
2018-02-17,7,2,0.0,10.0,2,10,08:46 AM,07:48 PM,07:53 AM,06:00 PM,-0,3,5,3,13,33,70,0.0,1024,7,10,112,9,Rotterdam-Hague
2018-02-18,7,0,0.0,10.0,2,17,09:09 AM,08:58 PM,07:51 AM,06:02 PM,-0,2,4,2,14,23,72,0.0,1025,7,10,162,10,Rotterdam-Hague
2018-02-19,4,2,0.0,5.3,1,25,09:32 AM,10:09 PM,07:49 AM,06:03 PM,-2,-0,3,-0,16,89,71,0.2,1019,4,10,164,11,Rotterdam-Hague
2018-02-20,5,0,0.0,8.4,2,32,09:55 AM,11:21 PM,07:47 AM,06:05 PM,-3,1,3,1,13,38,66,0.0,1020,5,10,76,9,Rotterdam-Hague
2018-02-21,5,-0,0.0,10.6,2,40,10:19 AM,No moonset,07:45 AM,06:07 PM,-3,-0,3,-0,16,3,67,0.0,1026,5,10,47,12,Rotterdam-Hague
2018-02-22,5,-1,0.0,10.7,2,47,10:47 AM,12:34 AM,07:43 AM,06:09 PM,-5,-3,2,-3,25,3,62,0.0,1025,5,10,68,17,Rotterdam-Hague
2018-02-23,3,-1,0.0,10.0,2,55,11:21 AM,01:48 AM,07:41 AM,06:11 PM,-7,-4,1,-4,26,17,58,0.0,1023,3,10,75,19,Rotterdam-Hague
2018-02-24,4,-2,0.0,10.7,2,62,12:02 PM,03:01 AM,07:39 AM,06:12 PM,-12,-6,0,-6,36,12,40,0.0,1025,4,10,83,25,Rotterdam-Hague
2018-02-25,1,-3,0.0,10.8,2,70,12:53 PM,04:10 AM,07:37 AM,06:14 PM,-14,-7,-1,-7,30,14,39,0.0,1030,1,10,76,21,Rotterdam-Hague
2018-02-26,-0,-4,0.0,7.0,2,77,01:56 PM,05:12 AM,07:35 AM,06:16 PM,-10,-8,-2,-8,26,40,55,0.0,1031,-0,10,58,19,Rotterdam-Hague
2018-02-27,-0,-4,0.0,8.5,2,85,03:07 PM,06:04 AM,07:33 AM,06:18 PM,-10,-7,-2,-7,19,44,54,0.0,1024,-0,10,61,14,Rotterdam-Hague
2018-02-28,-3,-7,0.0,10.9,2,93,04:24 PM,06:48 AM,07:31 AM,06:20 PM,-14,-11,-5,-11,30,38,49,0.0,1020,-3,10,84,23,Rotterdam-Hague
2018-03-01,-1,-7,0.0,7.0,1,96,05:44 PM,07:24 AM,07:28 AM,06:21 PM,-17,-12,-4,-12,45,72,37,0.0,1007,-1,10,86,34,Rotterdam-Hague
2018-03-02,-1,-6,0.2,8.5,2,100,07:04 PM,07:53 AM,07:26 AM,06:23 PM,-16,-11,-3,-11,41,73,37,0.2,998,-1,8,88,31,Rotterdam-Hague
2018-03-03,1,-3,0.0,10.1,1,89,08:20 PM,08:19 AM,07:24 AM,06:25 PM,-4,-7,-1,-7,25,64,80,0.0,997,1,10,96,18,Rotterdam-Hague
2018-03-04,7,-1,0.0,8.6,1,82,09:35 PM,08:43 AM,07:22 AM,06:27 PM,2,0,4,0,23,65,90,0.6,994,7,9,130,14,Rotterdam-Hague
2018-03-05,11,3,0.0,7.1,2,74,10:47 PM,09:07 AM,07:19 AM,06:29 PM,3,3,6,3,26,71,83,0.0,993,11,10,174,15,Rotterdam-Hague
2018-03-06,10,4,0.0,10.1,3,67,11:57 PM,09:32 AM,07:17 AM,06:30 PM,4,5,7,5,16,69,82,0.0,991,10,10,153,9,Rotterdam-Hague
2018-03-07,7,3,0.0,5.6,2,60,No moonrise,09:58 AM,07:15 AM,06:32 PM,4,3,6,3,18,71,87,0.9,994,7,9,179,11,Rotterdam-Hague
2018-03-08,8,3,0.0,8.6,3,53,01:03 AM,10:27 AM,07:13 AM,06:34 PM,2,1,5,1,37,44,80,0.3,998,8,9,220,24,Rotterdam-Hague
2018-03-09,10,4,0.0,10.1,3,45,02:05 AM,11:01 AM,07:10 AM,06:36 PM,3,4,7,4,22,52,80,0.9,1005,10,10,193,15,Rotterdam-Hague
2018-03-10,13,7,0.0,7.1,3,38,03:03 AM,11:41 AM,07:08 AM,06:37 PM,9,9,11,9,25,84,88,1.3,999,13,9,181,16,Rotterdam-Hague
2018-03-11,13,9,0.0,8.6,3,31,03:56 AM,12:27 PM,07:06 AM,06:39 PM,9,9,10,9,18,64,90,0.6,994,13,6,153,11,Rotterdam-Hague
2018-03-12,13,7,0.0,5.7,2,24,04:41 AM,01:20 PM,07:04 AM,06:41 PM,7,8,10,8,24,72,81,0.8,991,13,10,179,16,Rotterdam-Hague
2018-03-13,8,5,0.0,5.7,2,16,05:21 AM,02:17 PM,07:01 AM,06:43 PM,4,3,6,3,24,92,86,0.7,1003,8,9,290,17,Rotterdam-Hague
2018-03-14,11,3,0.0,10.2,3,9,05:54 AM,03:20 PM,06:59 AM,06:45 PM,3,5,7,5,21,29,75,0.0,1009,11,10,152,14,Rotterdam-Hague
2018-03-15,11,5,0.0,8.8,3,2,06:23 AM,04:26 PM,06:57 AM,06:46 PM,3,4,8,4,34,67,72,1.9,996,11,9,121,23,Rotterdam-Hague
2018-03-16,7,1,0.1,6.0,2,0,06:49 AM,05:35 PM,06:54 AM,06:48 PM,3,2,5,2,22,100,86,1.7,1002,7,9,98,16,Rotterdam-Hague
2018-03-17,0,-3,0.0,6.0,1,0,07:13 AM,06:45 PM,06:52 AM,06:50 PM,-6,-8,-2,-8,40,99,72,1.4,1008,0,7,74,29,Rotterdam-Hague
2018-03-18,2,-4,0.0,8.8,1,5,07:36 AM,07:57 PM,06:50 AM,06:52 PM,-10,-8,-2,-8,37,69,51,0.0,1010,2,10,79,26,Rotterdam-Hague
2018-03-19,4,-3,0.0,11.6,2,13,07:59 AM,09:10 PM,06:47 AM,06:53 PM,-14,-5,0,-5,30,7,34,0.0,1015,4,10,60,21,Rotterdam-Hague
2018-03-20,7,0,0.0,11.6,2,20,08:23 AM,10:25 PM,06:45 AM,06:55 PM,-2,0,4,0,26,38,66,0.0,1023,7,10,141,18,Rotterdam-Hague
2018-03-21,7,1,0.0,8.8,2,27,08:50 AM,11:40 PM,06:43 AM,06:57 PM,0,2,4,2,16,42,75,0.0,1029,7,10,296,11,Rotterdam-Hague
2018-03-22,8,5,0.0,6.1,2,34,09:22 AM,No moonset,06:40 AM,06:59 PM,4,3,6,3,25,92,85,0.4,1017,8,9,278,17,Rotterdam-Hague
2018-03-23,8,4,0.0,7.6,2,42,10:01 AM,12:53 AM,06:38 AM,07:00 PM,3,3,6,3,25,73,78,0.0,1006,8,10,206,17,Rotterdam-Hague
2018-03-24,11,5,0.0,11.6,3,49,10:48 AM,02:03 AM,06:36 AM,07:02 PM,2,6,8,6,13,50,69,0.0,1002,11,10,106,9,Rotterdam-Hague
2018-03-25,11,4,0.0,7.7,2,56,11:45 AM,03:06 AM,06:33 AM,07:04 PM,3,6,7,6,14,56,73,0.0,1009,11,10,191,9,Rotterdam-Hague
