date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,2,0.0,8.7,2,97,04:42 PM,07:11 AM,07:51 AM,04:38 PM,-1,4,5,4,8,8,65,0.0,1029,8,10,33,6,Portland(OR)
2018-01-02,7,2,0.0,5.1,2,100,05:51 PM,08:13 AM,07:51 AM,04:39 PM,-5,2,4,2,15,47,53,0.0,1028,7,10,55,9,Portland(OR)
2018-01-03,9,3,0.0,8.7,2,89,07:03 PM,09:07 AM,07:51 AM,04:40 PM,-4,3,5,3,15,23,53,0.0,1022,9,10,55,10,Portland(OR)
2018-01-04,9,4,0.0,3.3,2,81,08:17 PM,09:51 AM,07:51 AM,04:41 PM,-1,4,6,4,13,68,63,2.5,1018,9,10,65,8,Portland(OR)
2018-01-05,10,6,0.0,6.9,3,74,09:31 PM,10:28 AM,07:51 AM,04:42 PM,4,6,8,6,15,74,80,0.8,1018,10,9,100,9,Portland(OR)
2018-01-06,9,5,0.0,3.3,2,67,10:40 PM,11:01 AM,07:51 AM,04:43 PM,5,7,7,7,6,80,86,3.0,1024,9,10,191,4,Portland(OR)
2018-01-07,7,5,0.0,3.4,2,59,11:48 PM,11:30 AM,07:50 AM,04:44 PM,4,6,6,6,6,97,85,4.2,1019,7,10,98,4,Portland(OR)
2018-01-08,7,4,0.0,5.1,3,52,No moonrise,11:57 AM,07:50 AM,04:45 PM,3,6,6,6,3,56,84,0.2,1009,7,9,108,2,Portland(OR)
2018-01-09,8,5,0.0,3.4,2,45,12:52 AM,12:24 PM,07:50 AM,04:46 PM,5,6,6,6,5,78,90,6.2,1006,8,9,202,3,Portland(OR)
2018-01-10,8,4,0.0,3.4,2,38,01:55 AM,12:52 PM,07:50 AM,04:48 PM,4,5,6,5,8,84,86,0.8,1015,8,8,170,5,Portland(OR)
2018-01-11,11,8,0.0,3.4,2,30,02:56 AM,01:22 PM,07:49 AM,04:49 PM,8,8,10,8,25,98,90,10.3,1013,11,8,188,15,Portland(OR)
2018-01-12,10,8,0.0,5.2,2,23,03:56 AM,01:55 PM,07:49 AM,04:50 PM,8,8,10,8,16,82,87,0.6,1027,10,10,180,10,Portland(OR)
2018-01-13,13,7,0.0,5.2,3,16,04:53 AM,02:32 PM,07:48 AM,04:51 PM,8,10,10,10,7,39,84,0.0,1027,13,10,164,4,Portland(OR)
2018-01-14,15,9,0.0,8.7,4,9,05:48 AM,03:14 PM,07:48 AM,04:53 PM,5,10,11,10,18,22,67,0.0,1022,15,10,69,11,Portland(OR)
2018-01-15,14,8,0.0,8.7,4,1,06:38 AM,04:01 PM,07:47 AM,04:54 PM,4,9,10,9,17,42,65,0.4,1017,14,9,80,11,Portland(OR)
2018-01-16,12,8,0.0,8.7,3,0,07:25 AM,04:52 PM,07:47 AM,04:55 PM,6,9,10,9,11,43,79,0.3,1022,12,10,129,7,Portland(OR)
2018-01-17,14,8,0.0,6.9,4,0,08:05 AM,05:49 PM,07:46 AM,04:56 PM,6,10,10,10,14,63,74,8.3,1014,14,9,117,9,Portland(OR)
2018-01-18,10,6,0.0,3.4,2,6,08:42 AM,06:47 PM,07:45 AM,04:58 PM,5,6,8,6,20,87,78,2.8,1011,10,10,187,13,Portland(OR)
2018-01-19,8,5,0.0,3.4,2,13,09:15 AM,07:48 PM,07:45 AM,04:59 PM,3,4,6,4,19,90,79,1.1,1015,8,7,188,13,Portland(OR)
2018-01-20,8,4,0.0,3.6,2,20,09:44 AM,08:50 PM,07:44 AM,05:01 PM,4,4,7,4,19,79,81,1.8,1019,8,10,189,12,Portland(OR)
2018-01-21,8,5,0.0,5.3,2,28,10:11 AM,09:54 PM,07:43 AM,05:02 PM,3,5,7,5,18,66,77,2.6,1015,8,9,170,11,Portland(OR)
2018-01-22,9,5,0.0,7.0,2,35,10:38 AM,10:59 PM,07:42 AM,05:03 PM,4,5,7,5,11,59,84,3.3,1025,9,10,180,8,Portland(OR)
2018-01-23,8,5,0.0,3.6,2,42,11:06 AM,No moonset,07:41 AM,05:05 PM,4,4,6,4,16,99,85,8.9,1016,8,9,123,10,Portland(OR)
2018-01-24,9,5,0.0,3.6,2,49,11:35 AM,12:06 AM,07:40 AM,05:06 PM,5,6,7,6,15,85,87,5.6,1006,9,10,179,10,Portland(OR)
2018-01-25,8,4,0.0,3.6,2,57,12:07 PM,01:15 AM,07:39 AM,05:08 PM,2,2,5,2,21,83,79,3.2,1010,8,10,178,15,Portland(OR)
2018-01-26,8,4,0.0,3.6,2,64,12:44 PM,02:25 AM,07:38 AM,05:09 PM,3,3,6,3,21,100,80,3.4,1021,8,8,186,14,Portland(OR)
2018-01-27,10,6,0.0,3.6,2,71,01:29 PM,03:37 AM,07:37 AM,05:10 PM,6,7,8,7,18,96,87,9.2,1021,10,9,169,11,Portland(OR)
2018-01-28,15,9,0.0,7.0,4,78,02:22 PM,04:47 AM,07:36 AM,05:12 PM,9,11,11,11,9,72,88,0.8,1027,15,8,147,5,Portland(OR)
2018-01-29,11,8,0.0,3.7,2,86,03:25 PM,05:52 AM,07:35 AM,05:13 PM,6,9,10,9,11,90,78,11.1,1019,11,9,167,7,Portland(OR)
2018-01-30,9,5,0.0,5.4,2,93,04:34 PM,06:50 AM,07:34 AM,05:15 PM,4,6,7,6,14,49,77,5.5,1022,9,10,218,9,Portland(OR)
2018-01-31,8,4,0.0,3.7,2,97,05:49 PM,07:40 AM,07:33 AM,05:16 PM,3,6,6,6,5,76,81,2.0,1025,8,9,157,4,Portland(OR)
2018-02-01,9,5,0.0,3.7,2,88,07:04 PM,08:21 AM,07:32 AM,05:18 PM,4,7,7,7,5,94,80,0.6,1023,9,8,123,3,Portland(OR)
2018-02-02,12,9,0.0,3.7,3,81,08:18 PM,08:57 AM,07:31 AM,05:19 PM,10,9,10,9,14,93,96,2.5,1025,12,3,211,8,Portland(OR)
2018-02-03,12,9,0.0,3.7,3,73,09:29 PM,09:29 AM,07:29 AM,05:21 PM,10,10,10,10,8,91,94,0.5,1026,12,5,214,5,Portland(OR)
2018-02-04,13,10,0.0,5.4,3,66,10:37 PM,09:58 AM,07:28 AM,05:22 PM,10,11,11,11,10,91,91,0.4,1023,13,6,211,6,Portland(OR)
2018-02-05,11,8,0.0,3.7,2,58,11:43 PM,10:25 AM,07:27 AM,05:24 PM,8,10,10,10,4,67,86,0.6,1023,11,10,235,3,Portland(OR)
2018-02-06,10,7,0.0,3.7,2,51,No moonrise,10:54 AM,07:26 AM,05:25 PM,5,8,8,8,4,71,82,0.1,1027,10,10,189,3,Portland(OR)
2018-02-07,14,6,0.0,5.4,3,43,12:46 AM,11:23 AM,07:24 AM,05:27 PM,5,10,10,10,3,43,73,0.0,1028,14,10,189,2,Portland(OR)
2018-02-08,12,7,0.0,3.8,2,36,01:47 AM,11:55 AM,07:23 AM,05:28 PM,7,10,10,10,5,50,82,0.1,1023,12,10,213,3,Portland(OR)
2018-02-09,10,5,0.0,3.8,2,28,02:46 AM,12:31 PM,07:21 AM,05:30 PM,3,7,8,7,5,58,73,0.2,1025,10,10,299,3,Portland(OR)
2018-02-10,9,2,0.0,5.4,3,20,03:42 AM,01:11 PM,07:20 AM,05:31 PM,1,6,6,6,4,38,69,0.1,1027,9,10,190,3,Portland(OR)
2018-02-11,9,3,0.0,7.1,3,13,04:33 AM,01:56 PM,07:18 AM,05:32 PM,-1,5,6,5,6,29,63,0.0,1015,9,10,225,4,Portland(OR)
2018-02-12,8,1,0.0,8.7,2,5,05:21 AM,02:46 PM,07:17 AM,05:34 PM,-7,3,5,3,13,3,46,0.0,1026,8,10,46,9,Portland(OR)
2018-02-13,9,0,0.0,8.7,2,0,06:04 AM,03:41 PM,07:15 AM,05:35 PM,-5,5,5,5,3,19,46,0.0,1024,9,10,221,2,Portland(OR)
2018-02-14,8,3,0.0,7.1,2,0,06:42 AM,04:39 PM,07:14 AM,05:37 PM,2,4,5,4,9,61,77,2.9,1020,8,10,227,6,Portland(OR)
2018-02-15,9,3,0.0,3.8,2,0,07:16 AM,05:40 PM,07:12 AM,05:38 PM,2,5,6,5,6,78,79,1.2,1031,9,10,214,4,Portland(OR)
