date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-12,-18,0.0,8.7,2,97,04:17 PM,06:24 AM,07:14 AM,04:22 PM,-20,-24,-15,-24,25,4,65,0.0,1024,-12,10,304,18,Boston(MA)
2018-01-02,-9,-15,0.0,6.9,2,100,05:24 PM,07:29 AM,07:14 AM,04:23 PM,-16,-18,-11,-18,18,35,72,0.0,1025,-9,10,265,12,Boston(MA)
2018-01-03,-3,-10,0.0,8.7,2,89,06:34 PM,08:24 AM,07:14 AM,04:24 PM,-11,-10,-7,-10,13,32,72,0.0,1024,-3,10,224,8,Boston(MA)
2018-01-04,1,-6,0.1,3.4,1,81,07:47 PM,09:12 AM,07:14 AM,04:25 PM,-5,-9,-3,-9,42,98,84,14.4,994,1,6,216,28,Boston(MA)
2018-01-05,-6,-15,0.0,5.2,1,74,08:58 PM,09:52 AM,07:14 AM,04:26 PM,-15,-21,-11,-21,37,67,77,0.0,999,-6,9,275,25,Boston(MA)
2018-01-06,-12,-18,0.0,8.7,2,67,10:06 PM,10:27 AM,07:14 AM,04:27 PM,-18,-24,-15,-24,32,20,76,0.0,1016,-12,10,277,21,Boston(MA)
2018-01-07,-12,-20,0.0,8.7,2,59,11:12 PM,10:58 AM,07:13 AM,04:28 PM,-18,-23,-15,-23,21,20,79,0.0,1030,-12,10,265,14,Boston(MA)
2018-01-08,0,-9,0.0,6.9,1,52,No moonrise,11:28 AM,07:13 AM,04:29 PM,-7,-9,-4,-9,24,67,81,0.0,1020,0,10,225,15,Boston(MA)
2018-01-09,2,-4,0.0,8.7,2,45,12:15 AM,11:57 AM,07:13 AM,04:30 PM,-2,-4,-0,-4,22,19,87,0.0,1018,2,10,263,13,Boston(MA)
2018-01-10,0,-7,0.0,8.7,2,38,01:16 AM,12:26 PM,07:13 AM,04:31 PM,-3,-3,-1,-3,13,9,85,0.0,1031,0,10,239,8,Boston(MA)
2018-01-11,9,0,0.0,5.2,1,30,02:15 AM,12:57 PM,07:13 AM,04:32 PM,4,2,5,2,27,57,94,0.0,1027,9,8,210,13,Boston(MA)
2018-01-12,16,5,0.0,3.5,3,23,03:14 AM,01:31 PM,07:12 AM,04:33 PM,11,11,12,11,34,94,94,8.8,1015,16,6,192,18,Boston(MA)
2018-01-13,17,-5,0.0,7.0,3,16,04:10 AM,02:08 PM,07:12 AM,04:34 PM,2,3,6,3,33,55,73,3.7,1008,17,10,259,22,Boston(MA)
2018-01-14,-6,-10,0.0,8.7,2,9,05:04 AM,02:50 PM,07:11 AM,04:36 PM,-15,-11,-6,-11,15,3,50,0.0,1035,-6,10,336,12,Boston(MA)
2018-01-15,-7,-9,0.1,3.5,1,1,05:55 AM,03:37 PM,07:11 AM,04:37 PM,-12,-14,-8,-14,20,77,68,0.1,1038,-7,9,138,15,Boston(MA)
2018-01-16,-0,-8,0.0,7.0,2,0,06:42 AM,04:28 PM,07:10 AM,04:38 PM,-6,-5,-3,-5,8,65,78,0.0,1033,-0,10,209,6,Boston(MA)
2018-01-17,1,-1,1.2,3.5,1,0,07:25 AM,05:23 PM,07:10 AM,04:39 PM,-1,-2,0,-2,9,98,95,3.1,1023,1,4,179,7,Boston(MA)
2018-01-18,-1,-7,0.0,8.7,2,6,08:03 AM,06:19 PM,07:09 AM,04:40 PM,-5,-5,-2,-5,13,9,79,0.0,1014,-1,10,298,10,Boston(MA)
2018-01-19,0,-6,0.0,8.7,2,13,08:37 AM,07:19 PM,07:09 AM,04:42 PM,-5,-5,-2,-5,12,18,80,0.0,1014,0,10,256,8,Boston(MA)
2018-01-20,6,-2,0.0,8.7,2,20,09:09 AM,08:19 PM,07:08 AM,04:43 PM,-1,-1,3,-1,24,36,77,0.0,1009,6,10,236,13,Boston(MA)
2018-01-21,7,0,0.0,8.7,2,28,09:39 AM,09:20 PM,07:07 AM,04:44 PM,1,2,3,2,10,25,85,0.0,1020,7,10,238,5,Boston(MA)
2018-01-22,3,1,0.0,3.5,1,35,10:07 AM,10:23 PM,07:07 AM,04:45 PM,2,1,3,1,9,92,94,1.7,1024,3,7,124,5,Boston(MA)
2018-01-23,12,1,0.0,3.5,2,42,10:36 AM,11:28 PM,07:06 AM,04:47 PM,5,4,6,4,15,89,93,10.0,1009,12,6,147,9,Boston(MA)
2018-01-24,4,-3,0.0,8.7,2,49,11:07 AM,No moonset,07:05 AM,04:48 PM,-5,-2,2,-2,22,11,63,0.0,1010,4,10,281,16,Boston(MA)
2018-01-25,-2,-6,0.0,8.7,2,57,11:41 AM,12:33 AM,07:04 AM,04:49 PM,-17,-11,-5,-11,24,13,39,0.0,1025,-2,10,310,18,Boston(MA)
2018-01-26,-1,-7,0.0,8.7,2,64,12:19 PM,01:42 AM,07:04 AM,04:51 PM,-17,-7,-3,-7,15,4,32,0.0,1037,-1,10,270,12,Boston(MA)
2018-01-27,9,-2,0.0,8.7,2,71,01:04 PM,02:52 AM,07:03 AM,04:52 PM,-2,1,4,1,28,9,65,0.0,1029,9,10,209,16,Boston(MA)
2018-01-28,9,4,0.0,5.3,2,78,01:57 PM,04:01 AM,07:02 AM,04:53 PM,4,6,7,6,16,64,79,0.7,1023,9,8,256,9,Boston(MA)
2018-01-29,3,-1,0.3,5.3,1,86,02:58 PM,05:07 AM,07:01 AM,04:54 PM,-3,-3,1,-3,22,68,74,0.4,1023,3,9,74,16,Boston(MA)
2018-01-30,-1,-6,4.0,3.6,1,93,04:07 PM,06:06 AM,07:00 AM,04:56 PM,-8,-10,-4,-10,25,100,76,4.7,1014,-1,8,251,17,Boston(MA)
2018-01-31,-2,-9,0.0,8.7,2,97,05:19 PM,06:58 AM,06:59 AM,04:57 PM,-11,-10,-5,-10,19,24,63,0.0,1020,-2,10,257,13,Boston(MA)
2018-02-01,5,-1,0.0,8.7,2,88,06:32 PM,07:43 AM,06:58 AM,04:58 PM,-3,-2,2,-2,19,74,74,0.9,1015,5,10,211,12,Boston(MA)
2018-02-02,1,-11,0.2,5.5,1,81,07:44 PM,08:21 AM,06:57 AM,05:00 PM,-8,-9,-3,-9,26,65,74,0.7,1013,1,8,290,18,Boston(MA)
2018-02-03,-4,-12,0.0,7.1,2,73,08:53 PM,08:56 AM,06:56 AM,05:01 PM,-14,-13,-7,-13,18,28,61,0.0,1027,-4,10,244,13,Boston(MA)
2018-02-04,5,-4,0.0,3.9,1,66,10:00 PM,09:27 AM,06:55 AM,05:02 PM,-1,-2,2,-2,21,95,84,4.2,1021,5,8,182,12,Boston(MA)
2018-02-05,4,-3,0.0,8.7,2,58,11:04 PM,09:57 AM,06:53 AM,05:04 PM,-4,-2,2,-2,21,32,69,2.2,1011,4,9,264,15,Boston(MA)
2018-02-06,1,-4,0.0,7.1,1,51,No moonrise,10:27 AM,06:52 AM,05:05 PM,-12,-4,-2,-4,9,63,47,0.0,1029,1,10,255,7,Boston(MA)
2018-02-07,4,-3,0.0,4.0,1,43,12:05 AM,10:58 AM,06:51 AM,05:06 PM,-4,-2,0,-2,13,64,77,9.5,1025,4,9,152,9,Boston(MA)
2018-02-08,-1,-5,0.0,8.7,2,36,01:05 AM,11:31 AM,06:50 AM,05:08 PM,-8,-8,-3,-8,19,17,69,0.0,1024,-1,10,302,14,Boston(MA)
2018-02-09,-1,-6,0.1,5.6,2,28,02:03 AM,12:07 PM,06:49 AM,05:09 PM,-9,-7,-3,-7,13,52,65,0.1,1033,-1,9,240,10,Boston(MA)
2018-02-10,8,-0,0.0,4.0,1,20,02:58 AM,12:48 PM,06:47 AM,05:10 PM,3,2,5,2,20,97,92,0.5,1024,8,6,194,10,Boston(MA)
2018-02-11,6,3,0.0,4.0,1,13,03:50 AM,01:33 PM,06:46 AM,05:12 PM,4,3,5,3,12,100,94,2.0,1017,6,5,174,7,Boston(MA)
2018-02-12,8,-0,0.0,8.7,2,5,04:38 AM,02:22 PM,06:45 AM,05:13 PM,-1,2,5,2,17,35,70,0.0,1024,8,8,297,12,Boston(MA)
2018-02-13,-0,-4,0.0,5.6,2,0,05:23 AM,03:16 PM,06:43 AM,05:14 PM,-12,-5,-2,-5,14,36,45,0.0,1041,-0,10,237,11,Boston(MA)
2018-02-14,7,-2,0.0,8.7,2,0,06:02 AM,04:12 PM,06:42 AM,05:16 PM,-1,1,4,1,16,20,73,0.0,1024,7,10,222,11,Boston(MA)
2018-02-15,10,1,0.0,5.6,2,0,06:38 AM,05:11 PM,06:41 AM,05:17 PM,5,4,6,4,15,69,91,0.9,1010,10,9,210,9,Boston(MA)
2018-02-16,11,2,0.0,8.7,2,2,07:11 AM,06:12 PM,06:39 AM,05:18 PM,4,6,8,6,19,66,79,1.2,1005,11,5,273,12,Boston(MA)
2018-02-17,2,-3,0.9,8.7,2,10,07:42 AM,07:14 PM,06:38 AM,05:19 PM,-10,-3,0,-3,16,34,48,1.1,1026,2,9,202,13,Boston(MA)
2018-02-18,4,-0,0.0,8.7,2,17,08:11 AM,08:16 PM,06:36 AM,05:21 PM,-1,-0,2,-0,14,40,80,3.5,1023,4,10,282,10,Boston(MA)
2018-02-19,9,-1,0.0,8.7,2,25,08:40 AM,09:21 PM,06:35 AM,05:22 PM,1,3,5,3,19,38,78,1.7,1032,9,10,203,13,Boston(MA)
2018-02-20,17,9,0.0,8.7,4,32,09:10 AM,10:26 PM,06:33 AM,05:23 PM,10,12,13,12,23,35,86,0.4,1025,17,10,221,14,Boston(MA)
2018-02-21,20,12,0.0,8.7,5,40,09:42 AM,11:33 PM,06:32 AM,05:24 PM,12,15,16,15,25,39,79,0.0,1024,20,10,241,15,Boston(MA)
2018-02-22,10,1,0.0,4.1,1,47,10:18 AM,No moonset,06:30 AM,05:26 PM,-2,3,5,3,11,81,65,3.1,1037,10,10,104,9,Boston(MA)
2018-02-23,4,-0,0.0,5.6,2,55,10:59 AM,12:40 AM,06:29 AM,05:27 PM,-1,0,2,0,12,65,78,1.5,1034,4,10,145,9,Boston(MA)
2018-02-24,12,4,0.0,5.7,2,62,11:47 AM,01:47 AM,06:27 AM,05:28 PM,3,6,8,6,16,56,74,0.0,1020,12,10,213,11,Boston(MA)
2018-02-25,4,3,0.0,4.1,1,70,12:42 PM,02:52 AM,06:26 AM,05:29 PM,1,1,4,1,19,90,84,6.7,1021,4,8,106,13,Boston(MA)
2018-02-26,10,3,0.0,7.2,3,77,01:46 PM,03:52 AM,06:24 AM,05:31 PM,0,4,6,4,15,34,68,0.0,1018,10,8,291,11,Boston(MA)
2018-02-27,10,2,0.0,8.7,3,85,02:54 PM,04:46 AM,06:23 AM,05:32 PM,-3,5,7,5,13,3,49,0.0,1025,10,10,269,10,Boston(MA)
2018-02-28,14,5,0.0,7.2,3,93,04:06 PM,05:33 AM,06:21 AM,05:33 PM,-1,7,9,7,20,40,52,0.0,1016,14,10,221,13,Boston(MA)
2018-03-01,14,6,0.0,8.7,3,96,05:19 PM,06:14 AM,06:19 AM,05:34 PM,4,8,10,8,14,47,68,0.0,1010,14,10,156,11,Boston(MA)
2018-03-02,6,3,2.3,4.2,1,100,06:30 PM,06:50 AM,06:18 AM,05:36 PM,2,-1,5,-1,55,100,82,29.4,997,6,7,33,39,Boston(MA)
2018-03-03,5,2,0.0,4.2,1,89,07:39 PM,07:23 AM,06:16 AM,05:37 PM,-1,-1,4,-1,40,100,70,0.5,1012,5,9,17,28,Boston(MA)
2018-03-04,5,2,0.4,4.2,1,82,08:45 PM,07:54 AM,06:15 AM,05:38 PM,-2,-0,3,-0,23,90,66,0.5,1017,5,9,23,16,Boston(MA)
2018-03-05,5,0,1.6,5.7,1,74,09:50 PM,08:24 AM,06:13 AM,05:39 PM,-2,-2,2,-2,28,73,74,1.9,1016,5,8,13,20,Boston(MA)
2018-03-06,2,0,0.0,5.7,1,67,10:52 PM,08:56 AM,06:11 AM,05:40 PM,-5,-1,2,-1,14,74,63,0.0,1017,2,10,68,11,Boston(MA)
2018-03-07,4,2,0.6,4.2,1,60,11:52 PM,09:29 AM,06:10 AM,05:42 PM,-0,-1,3,-1,28,100,80,14.3,1010,4,7,57,19,Boston(MA)
2018-03-08,3,-1,0.9,4.3,1,53,No moonrise,10:04 AM,06:08 AM,05:43 PM,-1,-3,1,-3,27,83,86,5.9,1001,3,7,220,19,Boston(MA)
2018-03-09,2,-3,0.4,4.3,1,45,12:49 AM,10:43 AM,06:06 AM,05:44 PM,-3,-4,-0,-4,17,71,79,0.5,1004,2,10,255,12,Boston(MA)
2018-03-10,4,-1,0.1,7.2,2,38,01:43 AM,11:27 AM,06:05 AM,05:45 PM,-4,-4,1,-4,26,44,71,0.1,1008,4,10,273,18,Boston(MA)
2018-03-11,6,-1,0.0,5.8,2,31,02:33 AM,12:14 PM,06:03 AM,05:46 PM,-3,-1,2,-1,17,44,68,0.0,1015,6,10,302,12,Boston(MA)
2018-03-12,5,-1,0.0,7.2,2,24,03:19 AM,01:06 PM,06:01 AM,05:47 PM,-2,-0,3,-0,17,50,72,0.1,1016,5,10,91,13,Boston(MA)
2018-03-13,3,-2,5.6,5.7,1,16,04:00 AM,02:02 PM,06:00 AM,05:49 PM,-2,-6,-0,-6,41,100,90,18.2,1000,3,6,176,27,Boston(MA)
2018-03-14,2,-2,0.8,7.4,1,9,04:37 AM,03:00 PM,05:58 AM,05:50 PM,-2,-5,-0,-5,28,76,89,1.0,996,2,8,248,18,Boston(MA)
2018-03-15,3,-1,0.5,8.8,1,2,05:11 AM,04:01 PM,05:56 AM,05:51 PM,-1,-4,1,-4,26,83,86,0.6,996,3,9,268,16,Boston(MA)
2018-03-16,1,-5,0.0,7.4,1,0,05:43 AM,05:03 PM,05:55 AM,05:52 PM,-4,-6,-1,-6,26,70,79,0.0,1002,1,10,289,17,Boston(MA)
2018-03-17,2,-9,0.1,8.8,2,0,06:12 AM,06:06 PM,05:53 AM,05:53 PM,-7,-9,-3,-9,25,42,77,0.1,1007,2,10,287,17,Boston(MA)
2018-03-18,-2,-10,0.0,11.6,2,5,06:42 AM,07:11 PM,05:51 AM,05:54 PM,-10,-11,-5,-11,18,4,71,0.0,1011,-2,10,311,14,Boston(MA)
2018-03-19,0,-8,0.0,11.6,2,13,07:12 AM,08:17 PM,05:49 AM,05:55 PM,-8,-9,-4,-9,22,3,70,0.0,1013,0,10,308,15,Boston(MA)
2018-03-20,3,-7,0.0,8.8,1,20,07:44 AM,09:25 PM,05:48 AM,05:57 PM,-5,-3,-1,-3,10,27,73,0.0,1014,3,10,204,7,Boston(MA)
2018-03-21,2,-0,2.7,6.1,1,27,08:19 AM,10:33 PM,05:46 AM,05:58 PM,-1,-4,1,-4,30,89,85,3.2,1008,2,7,31,19,Boston(MA)
2018-03-22,2,-0,3.9,6.1,1,34,08:58 AM,11:41 PM,05:44 AM,05:59 PM,1,-2,1,-2,23,99,95,5.0,1007,2,5,209,14,Boston(MA)
2018-03-23,6,-1,0.0,9.2,1,42,09:44 AM,No moonset,05:43 AM,06:00 PM,-1,0,2,0,11,74,82,0.2,1014,6,10,253,7,Boston(MA)
2018-03-24,7,-0,0.4,9.2,1,49,10:35 AM,12:45 AM,05:41 AM,06:01 PM,-1,1,3,1,12,84,78,1.3,1017,7,9,178,8,Boston(MA)
2018-03-25,2,-1,1.2,10.5,1,56,11:35 AM,01:46 AM,05:39 AM,06:02 PM,-3,-3,1,-3,20,75,76,1.4,1030,2,8,26,14,Boston(MA)
2018-03-26,4,-1,0.0,12.7,2,63,12:39 PM,02:40 AM,05:37 AM,06:03 PM,-4,-1,2,-1,15,6,64,0.0,1039,4,10,36,12,Boston(MA)
2018-03-27,7,-1,0.0,11.9,2,71,01:49 PM,03:28 AM,05:36 AM,06:04 PM,-3,2,4,2,9,36,60,0.0,1032,7,10,199,7,Boston(MA)
2018-03-28,13,2,0.0,11.9,3,78,02:59 PM,04:09 AM,05:34 AM,06:06 PM,-0,7,7,7,7,54,60,0.1,1017,13,10,243,5,Boston(MA)
2018-03-29,12,4,0.0,10.6,3,85,04:09 PM,04:46 AM,05:32 AM,06:07 PM,5,9,9,9,8,51,75,0.1,1017,12,10,204,6,Boston(MA)
2018-03-30,15,8,0.0,9.3,3,93,05:19 PM,05:20 AM,05:30 AM,06:08 PM,8,10,11,10,19,82,83,1.1,1008,15,8,254,12,Boston(MA)
