date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-8,-14,0.1,7.0,2,97,04:31 PM,06:07 AM,06:52 AM,04:36 PM,-18,-17,-11,-17,14,49,59,0.1,1039,-8,10,217,11,Nashville-Davidson(TN)
2018-01-02,-4,-15,0.0,8.7,2,100,05:38 PM,07:11 AM,06:52 AM,04:37 PM,-23,-14,-10,-14,9,2,36,0.0,1038,-4,10,20,6,Nashville-Davidson(TN)
2018-01-03,-1,-8,0.0,7.0,2,89,06:47 PM,08:08 AM,06:52 AM,04:38 PM,-18,-8,-5,-8,10,76,36,0.0,1024,-1,10,239,7,Nashville-Davidson(TN)
2018-01-04,-7,-10,0.0,7.0,2,81,07:57 PM,08:58 AM,06:52 AM,04:39 PM,-15,-14,-9,-14,17,53,61,0.0,1024,-7,10,315,13,Nashville-Davidson(TN)
2018-01-05,-5,-12,0.0,5.4,1,74,09:04 PM,09:41 AM,06:52 AM,04:40 PM,-18,-13,-9,-13,9,46,50,0.0,1030,-5,10,292,7,Nashville-Davidson(TN)
2018-01-06,-5,-12,0.0,8.7,2,67,10:09 PM,10:19 AM,06:52 AM,04:40 PM,-21,-12,-9,-12,8,4,40,0.0,1036,-5,10,106,5,Nashville-Davidson(TN)
2018-01-07,3,-9,0.0,7.0,2,59,11:11 PM,10:54 AM,06:52 AM,04:41 PM,-17,-6,-3,-6,15,47,33,0.0,1031,3,10,156,9,Nashville-Davidson(TN)
2018-01-08,4,1,0.0,3.7,1,52,No moonrise,11:27 AM,06:52 AM,04:42 PM,-0,-0,2,-0,18,98,83,5.3,1023,4,6,191,11,Nashville-Davidson(TN)
2018-01-09,10,3,0.0,3.7,2,45,12:10 AM,11:59 AM,06:52 AM,04:43 PM,5,5,6,5,8,90,96,0.2,1024,10,2,118,4,Nashville-Davidson(TN)
2018-01-10,17,6,0.0,8.7,4,38,01:08 AM,12:31 PM,06:52 AM,04:44 PM,9,10,11,10,21,29,86,0.0,1021,17,7,162,12,Nashville-Davidson(TN)
2018-01-11,16,11,0.0,3.7,3,30,02:05 AM,01:05 PM,06:52 AM,04:45 PM,11,12,13,12,22,58,89,1.0,1016,16,8,158,12,Nashville-Davidson(TN)
2018-01-12,13,-3,0.0,3.7,2,23,03:00 AM,01:42 PM,06:52 AM,04:46 PM,5,4,6,4,21,90,92,0.0,1009,13,10,240,15,Nashville-Davidson(TN)
2018-01-13,-4,-10,0.1,3.7,1,16,03:55 AM,02:21 PM,06:51 AM,04:47 PM,-10,-13,-7,-13,19,91,80,0.2,1030,-4,9,261,15,Nashville-Davidson(TN)
2018-01-14,-3,-13,0.0,5.4,2,9,04:47 AM,03:04 PM,06:51 AM,04:48 PM,-14,-12,-9,-12,10,42,67,0.0,1037,-3,10,56,7,Nashville-Davidson(TN)
2018-01-15,5,-6,0.1,8.7,2,1,05:37 AM,03:51 PM,06:51 AM,04:49 PM,-7,-4,-1,-4,16,57,61,0.1,1030,5,10,204,10,Nashville-Davidson(TN)
2018-01-16,-2,-14,0.7,3.7,1,0,06:24 AM,04:42 PM,06:51 AM,04:50 PM,-10,-13,-8,-13,12,97,89,0.8,1034,-2,7,322,10,Nashville-Davidson(TN)
2018-01-17,-8,-16,0.0,3.8,1,0,07:08 AM,05:35 PM,06:50 AM,04:51 PM,-15,-18,-13,-18,12,88,86,0.1,1037,-8,9,342,9,Nashville-Davidson(TN)
2018-01-18,-0,-13,0.0,8.7,2,6,07:48 AM,06:30 PM,06:50 AM,04:52 PM,-11,-10,-7,-10,8,12,77,0.0,1033,-0,8,229,5,Nashville-Davidson(TN)
2018-01-19,6,-7,0.0,8.7,2,13,08:24 AM,07:27 PM,06:49 AM,04:53 PM,-8,-4,-1,-4,15,0,59,0.0,1026,6,10,208,9,Nashville-Davidson(TN)
2018-01-20,11,1,0.0,5.4,2,20,08:59 AM,08:23 PM,06:49 AM,04:54 PM,2,3,5,3,17,51,78,0.0,1023,11,10,201,9,Nashville-Davidson(TN)
2018-01-21,16,6,0.0,8.7,3,28,09:32 AM,09:22 PM,06:49 AM,04:55 PM,8,9,10,9,17,44,88,0.0,1022,16,8,178,9,Nashville-Davidson(TN)
2018-01-22,14,10,0.0,7.1,4,35,10:03 AM,10:21 PM,06:48 AM,04:56 PM,9,11,12,11,31,40,81,4.2,1013,14,10,179,18,Nashville-Davidson(TN)
2018-01-23,9,1,0.1,3.8,1,42,10:36 AM,11:22 PM,06:47 AM,04:57 PM,1,1,5,1,22,71,80,0.1,1015,9,10,265,15,Nashville-Davidson(TN)
2018-01-24,5,-3,0.0,7.1,2,49,11:10 AM,No moonset,06:47 AM,04:58 PM,-3,-2,0,-2,12,43,79,0.0,1027,5,8,296,8,Nashville-Davidson(TN)
2018-01-25,11,-3,0.0,8.7,2,57,11:47 AM,12:25 AM,06:46 AM,05:00 PM,-3,2,3,2,6,0,67,0.0,1033,11,10,189,3,Nashville-Davidson(TN)
2018-01-26,12,0,0.0,8.7,3,64,12:28 PM,01:31 AM,06:46 AM,05:01 PM,-3,3,5,3,19,23,57,0.0,1033,12,10,170,11,Nashville-Davidson(TN)
2018-01-27,14,6,0.0,4.0,3,71,01:16 PM,02:37 AM,06:45 AM,05:02 PM,7,8,10,8,24,62,78,4.1,1027,14,10,185,15,Nashville-Davidson(TN)
2018-01-28,10,4,0.0,4.0,2,78,02:11 PM,03:45 AM,06:44 AM,05:03 PM,8,8,9,8,12,78,94,5.7,1024,10,6,176,7,Nashville-Davidson(TN)
2018-01-29,9,-2,0.2,8.7,2,86,03:13 PM,04:49 AM,06:44 AM,05:04 PM,-2,-0,3,-0,16,38,73,0.3,1024,9,9,254,11,Nashville-Davidson(TN)
2018-01-30,2,-5,0.0,7.1,2,93,04:20 PM,05:50 AM,06:43 AM,05:05 PM,-10,-5,-2,-5,12,53,58,0.0,1031,2,10,228,9,Nashville-Davidson(TN)
2018-01-31,10,-3,0.0,8.7,2,97,05:31 PM,06:43 AM,06:42 AM,05:06 PM,-7,-0,3,-0,22,7,49,0.0,1022,10,10,180,13,Nashville-Davidson(TN)
2018-02-01,8,1,0.0,4.0,1,88,06:40 PM,07:31 AM,06:41 AM,05:07 PM,3,2,5,2,21,81,90,3.3,1019,8,9,245,13,Nashville-Davidson(TN)
2018-02-02,-3,-9,0.0,8.7,2,81,07:49 PM,08:12 AM,06:41 AM,05:08 PM,-11,-10,-6,-10,13,24,68,0.0,1033,-3,10,257,10,Nashville-Davidson(TN)
2018-02-03,5,-7,0.0,5.6,2,73,08:54 PM,08:50 AM,06:40 AM,05:09 PM,-12,-3,-1,-3,14,64,42,0.0,1028,5,10,152,9,Nashville-Davidson(TN)
2018-02-04,5,1,2.7,4.0,1,66,09:57 PM,09:25 AM,06:39 AM,05:10 PM,1,-0,3,-0,17,98,89,9.7,1016,5,4,228,11,Nashville-Davidson(TN)
2018-02-05,4,-5,0.2,8.7,2,58,10:57 PM,09:58 AM,06:38 AM,05:11 PM,-6,-5,-2,-5,12,50,73,0.3,1025,4,9,158,9,Nashville-Davidson(TN)
2018-02-06,9,0,0.0,4.0,1,51,11:56 PM,10:31 AM,06:37 AM,05:12 PM,-0,3,4,3,8,90,73,1.4,1026,9,10,173,4,Nashville-Davidson(TN)
2018-02-07,11,-2,0.0,4.0,1,43,No moonrise,11:05 AM,06:36 AM,05:13 PM,2,0,4,0,20,98,91,2.0,1023,11,10,282,14,Nashville-Davidson(TN)
2018-02-08,6,-4,0.0,8.7,2,36,12:52 AM,11:41 AM,06:35 AM,05:15 PM,-6,-2,0,-2,8,27,64,0.0,1033,6,10,236,6,Nashville-Davidson(TN)
2018-02-09,14,-0,0.0,8.7,3,28,01:48 AM,12:19 PM,06:34 AM,05:16 PM,-0,5,7,5,18,8,62,0.0,1026,14,10,179,11,Nashville-Davidson(TN)
2018-02-10,12,9,0.0,4.1,3,20,02:41 AM,01:01 PM,06:33 AM,05:17 PM,10,10,11,10,16,94,95,30.4,1017,12,7,173,9,Nashville-Davidson(TN)
2018-02-11,16,5,0.0,4.1,3,13,03:32 AM,01:47 PM,06:32 AM,05:18 PM,11,11,12,11,21,100,95,4.4,1014,16,6,241,13,Nashville-Davidson(TN)
2018-02-12,4,-0,0.0,4.1,1,5,04:20 AM,02:36 PM,06:31 AM,05:19 PM,0,-1,2,-1,16,86,88,0.4,1031,4,8,109,12,Nashville-Davidson(TN)
2018-02-13,12,0,0.0,4.1,2,0,05:05 AM,03:29 PM,06:30 AM,05:20 PM,5,6,7,6,12,85,88,0.2,1033,12,10,143,8,Nashville-Davidson(TN)
2018-02-14,15,11,0.0,4.1,3,0,05:47 AM,04:23 PM,06:29 AM,05:21 PM,12,12,13,12,18,100,94,5.8,1026,15,8,196,11,Nashville-Davidson(TN)
2018-02-15,20,16,0.0,4.1,4,0,06:24 AM,05:20 PM,06:28 AM,05:22 PM,15,18,18,18,30,92,88,0.1,1017,20,10,221,20,Nashville-Davidson(TN)
2018-02-16,18,3,0.0,4.1,3,2,07:00 AM,06:17 PM,06:27 AM,05:23 PM,10,11,12,11,23,94,90,3.2,1018,18,9,256,16,Nashville-Davidson(TN)
2018-02-17,6,2,0.0,4.1,1,10,07:34 AM,07:16 PM,06:25 AM,05:24 PM,3,2,4,2,13,82,95,12.4,1021,6,6,177,8,Nashville-Davidson(TN)
2018-02-18,13,-1,0.0,8.7,3,17,08:06 AM,08:16 PM,06:24 AM,05:25 PM,3,5,6,5,13,41,79,0.0,1025,13,7,167,8,Nashville-Davidson(TN)
2018-02-19,20,13,0.0,5.7,5,25,08:38 AM,09:17 PM,06:23 AM,05:26 PM,14,16,16,16,23,65,88,1.4,1022,20,9,184,15,Nashville-Davidson(TN)
2018-02-20,22,14,0.0,5.7,5,32,09:12 AM,10:18 PM,06:22 AM,05:27 PM,15,17,18,17,24,37,83,0.1,1024,22,9,183,15,Nashville-Davidson(TN)
2018-02-21,20,15,0.0,4.2,4,40,09:48 AM,11:22 PM,06:21 AM,05:28 PM,16,17,17,17,18,72,90,2.1,1026,20,9,213,11,Nashville-Davidson(TN)
2018-02-22,20,15,0.0,4.2,4,47,10:26 AM,No moonset,06:20 AM,05:29 PM,16,17,17,17,16,71,91,2.1,1027,20,7,197,10,Nashville-Davidson(TN)
2018-02-23,21,15,0.0,7.2,5,55,11:10 AM,12:26 AM,06:18 AM,05:30 PM,15,18,18,18,17,29,87,0.1,1025,21,9,183,10,Nashville-Davidson(TN)
2018-02-24,21,16,0.0,5.7,4,62,12:00 PM,01:31 AM,06:17 AM,05:31 PM,15,18,18,18,19,70,88,2.5,1017,21,10,193,12,Nashville-Davidson(TN)
2018-02-25,17,9,0.0,4.2,3,70,12:57 PM,02:34 AM,06:16 AM,05:32 PM,10,11,12,11,16,89,88,15.2,1017,17,9,249,11,Nashville-Davidson(TN)
2018-02-26,13,6,0.0,8.7,3,77,02:00 PM,03:35 AM,06:14 AM,05:33 PM,4,8,9,8,8,44,76,3.8,1025,13,9,75,6,Nashville-Davidson(TN)
2018-02-27,16,3,0.0,8.7,3,85,03:07 PM,04:29 AM,06:13 AM,05:34 PM,3,9,9,9,11,6,66,0.0,1026,16,10,154,7,Nashville-Davidson(TN)
2018-02-28,12,9,0.0,4.2,3,93,04:16 PM,05:19 AM,06:12 AM,05:35 PM,9,9,11,9,20,98,87,9.3,1016,12,8,181,13,Nashville-Davidson(TN)
2018-03-01,14,7,0.0,4.2,3,96,05:25 PM,06:03 AM,06:11 AM,05:36 PM,10,10,11,10,23,89,91,10.8,1011,14,7,243,15,Nashville-Davidson(TN)
2018-03-02,8,1,0.0,8.7,2,100,06:32 PM,06:42 AM,06:09 AM,05:36 PM,-1,2,5,2,17,14,71,0.0,1027,8,9,216,12,Nashville-Davidson(TN)
2018-03-03,10,-1,0.0,8.7,2,89,07:38 PM,07:19 AM,06:08 AM,05:37 PM,-3,1,4,1,15,0,64,0.0,1029,10,10,33,10,Nashville-Davidson(TN)
2018-03-04,13,-1,0.0,8.7,3,82,08:40 PM,07:53 AM,06:07 AM,05:38 PM,-2,3,5,3,13,0,61,0.0,1026,13,10,52,8,Nashville-Davidson(TN)
2018-03-05,12,2,0.0,5.7,2,74,09:42 PM,08:27 AM,06:05 AM,05:39 PM,2,6,7,6,11,54,72,0.3,1018,12,9,134,6,Nashville-Davidson(TN)
2018-03-06,14,6,0.0,8.7,3,67,10:40 PM,09:02 AM,06:04 AM,05:40 PM,3,8,10,8,15,40,66,1.8,1010,14,10,218,10,Nashville-Davidson(TN)
2018-03-07,3,-2,0.1,4.3,1,60,11:38 PM,09:38 AM,06:03 AM,05:41 PM,-3,-3,1,-3,19,89,72,0.2,1016,3,10,291,15,Nashville-Davidson(TN)
2018-03-08,2,-4,0.2,4.3,1,53,No moonrise,10:15 AM,06:01 AM,05:42 PM,-6,-5,-1,-5,15,63,72,0.2,1019,2,9,282,11,Nashville-Davidson(TN)
2018-03-09,10,-4,0.0,8.7,1,45,12:33 AM,10:56 AM,06:00 AM,05:43 PM,-5,1,2,1,8,43,61,0.0,1019,10,10,215,6,Nashville-Davidson(TN)
2018-03-10,11,4,0.0,5.9,2,38,01:26 AM,11:41 AM,05:58 AM,05:44 PM,5,6,7,6,10,99,87,1.1,1015,11,6,171,6,Nashville-Davidson(TN)
2018-03-11,13,6,0.0,5.9,2,31,02:15 AM,12:28 PM,05:57 AM,05:45 PM,7,7,8,7,11,97,91,16.0,1013,13,6,113,8,Nashville-Davidson(TN)
2018-03-12,5,-1,1.0,8.8,1,24,03:01 AM,01:20 PM,05:56 AM,05:46 PM,-1,-2,2,-2,21,60,80,1.1,1017,5,9,337,16,Nashville-Davidson(TN)
2018-03-13,5,-3,0.0,8.8,2,16,03:43 AM,02:14 PM,05:54 AM,05:46 PM,-3,-2,1,-2,14,52,77,0.0,1021,5,8,291,10,Nashville-Davidson(TN)
2018-03-14,5,-5,0.1,10.2,2,9,04:22 AM,03:10 PM,05:53 AM,05:47 PM,-7,-4,-1,-4,17,25,66,0.1,1021,5,10,294,12,Nashville-Davidson(TN)
2018-03-15,16,-0,0.0,11.6,3,2,04:59 AM,04:07 PM,05:51 AM,05:48 PM,-1,5,8,5,26,5,55,0.0,1015,16,10,245,16,Nashville-Davidson(TN)
2018-03-16,16,5,0.0,11.6,3,0,05:34 AM,05:07 PM,05:50 AM,05:49 PM,3,9,10,9,12,17,68,0.0,1016,16,10,141,7,Nashville-Davidson(TN)
2018-03-17,20,10,0.0,7.4,3,0,06:06 AM,06:07 PM,05:49 AM,05:50 PM,11,14,14,14,21,68,84,1.8,1011,20,9,239,14,Nashville-Davidson(TN)
2018-03-18,17,7,0.0,8.8,4,5,06:39 AM,07:08 PM,05:47 AM,05:51 PM,7,10,11,10,8,62,81,0.2,1014,17,7,180,6,Nashville-Davidson(TN)
2018-03-19,18,9,0.0,8.8,3,13,07:13 AM,08:11 PM,05:46 AM,05:52 PM,10,13,13,13,11,63,82,4.5,1005,18,10,156,7,Nashville-Davidson(TN)
2018-03-20,12,-1,0.6,6.0,2,20,07:48 AM,09:15 PM,05:44 AM,05:52 PM,6,5,7,5,18,93,93,3.6,1003,12,7,269,13,Nashville-Davidson(TN)
2018-03-21,1,-3,0.4,6.1,1,27,08:26 AM,10:20 PM,05:43 AM,05:53 PM,-2,-5,-0,-5,23,89,90,0.5,1015,1,8,301,17,Nashville-Davidson(TN)
2018-03-22,6,-4,0.0,11.6,2,34,09:09 AM,11:25 PM,05:41 AM,05:54 PM,-3,-2,0,-2,12,3,80,0.0,1026,6,8,274,8,Nashville-Davidson(TN)
2018-03-23,8,-2,0.0,7.5,1,42,09:56 AM,No moonset,05:40 AM,05:55 PM,-1,3,3,3,5,68,75,0.6,1026,8,9,179,3,Nashville-Davidson(TN)
2018-03-24,10,4,0.0,6.1,2,49,10:50 AM,12:28 AM,05:38 AM,05:56 PM,6,5,6,5,14,99,95,12.7,1017,10,7,142,8,Nashville-Davidson(TN)
2018-03-25,11,3,0.0,6.1,2,56,11:49 AM,01:28 AM,05:37 AM,05:57 PM,6,6,7,6,10,100,93,0.4,1018,11,5,96,7,Nashville-Davidson(TN)
2018-03-26,12,6,0.0,6.1,2,63,12:53 PM,02:23 AM,05:36 AM,05:58 PM,5,7,9,7,19,92,77,0.9,1025,12,9,160,13,Nashville-Davidson(TN)
2018-03-27,18,8,0.0,7.5,3,71,02:00 PM,03:13 AM,05:34 AM,05:58 PM,8,11,12,11,26,61,78,0.0,1023,18,10,188,18,Nashville-Davidson(TN)
2018-03-28,18,12,0.0,6.1,3,78,03:07 PM,03:57 AM,05:33 AM,05:59 PM,14,14,15,14,20,93,93,3.1,1016,18,9,199,12,Nashville-Davidson(TN)
2018-03-29,18,13,0.0,9.2,4,85,04:13 PM,04:37 AM,05:31 AM,06:00 PM,14,15,15,15,18,83,95,20.6,1011,18,8,200,11,Nashville-Davidson(TN)
2018-03-30,12,4,0.0,10.6,2,93,05:19 PM,05:14 AM,05:30 AM,06:01 PM,6,6,8,6,15,70,89,0.3,1020,12,10,293,11,Nashville-Davidson(TN)
2018-03-31,18,3,0.0,12.7,3,96,06:22 PM,05:49 AM,05:28 AM,06:02 PM,4,9,10,9,14,15,71,0.0,1023,18,10,182,9,Nashville-Davidson(TN)
2018-04-01,16,10,0.0,9.3,3,89,07:25 PM,06:22 AM,05:27 AM,06:03 PM,9,12,12,12,10,67,82,1.2,1018,16,7,231,6,Nashville-Davidson(TN)
2018-04-02,16,7,0.0,8.0,3,81,08:26 PM,06:57 AM,05:25 AM,06:03 PM,10,11,11,11,6,85,92,0.5,1016,16,4,213,4,Nashville-Davidson(TN)
2018-04-03,23,12,0.0,10.6,4,74,09:25 PM,07:32 AM,05:24 AM,06:04 PM,14,17,18,17,25,50,82,11.9,1010,23,7,190,15,Nashville-Davidson(TN)
2018-04-04,14,1,0.0,12.8,3,66,10:22 PM,08:10 AM,05:22 AM,06:05 PM,1,3,6,3,21,35,73,0.6,1020,14,9,309,16,Nashville-Davidson(TN)
2018-04-05,16,-2,0.0,12.9,3,59,11:17 PM,08:50 AM,05:21 AM,06:06 PM,-3,5,6,5,8,20,58,0.0,1024,16,10,117,5,Nashville-Davidson(TN)
2018-04-06,14,6,0.0,10.6,2,51,No moonrise,09:34 AM,05:20 AM,06:07 PM,4,7,9,7,18,56,72,1.0,1015,14,10,214,11,Nashville-Davidson(TN)
2018-04-07,7,-3,0.5,8.1,1,44,12:08 AM,10:20 AM,05:18 AM,06:08 PM,-0,-2,2,-2,16,89,87,0.8,1016,7,6,56,12,Nashville-Davidson(TN)
2018-04-08,9,-4,0.0,10.6,1,36,12:55 AM,11:10 AM,05:17 AM,06:08 PM,-6,1,3,1,9,46,59,0.2,1018,9,9,45,6,Nashville-Davidson(TN)
2018-04-09,13,3,0.0,12.9,3,28,01:39 AM,12:03 PM,05:15 AM,06:09 PM,1,6,7,6,10,31,70,1.2,1018,13,10,206,7,Nashville-Davidson(TN)
2018-04-10,12,1,0.0,10.7,2,21,02:19 AM,12:58 PM,05:14 AM,06:10 PM,2,5,6,5,11,44,75,0.0,1023,12,9,185,7,Nashville-Davidson(TN)
2018-04-11,18,-0,0.0,13.0,3,13,02:57 AM,01:55 PM,05:13 AM,06:11 PM,2,8,9,8,8,6,67,0.0,1023,18,9,268,5,Nashville-Davidson(TN)
2018-04-12,23,8,0.0,13.0,5,6,03:32 AM,02:53 PM,05:11 AM,06:12 PM,6,15,16,15,23,7,55,0.0,1017,23,10,199,14,Nashville-Davidson(TN)
2018-04-13,24,13,0.0,13.0,5,0,04:05 AM,03:53 PM,05:10 AM,06:13 PM,10,18,18,18,24,10,60,0.0,1014,24,10,191,15,Nashville-Davidson(TN)
2018-04-14,20,16,0.0,10.7,5,0,04:37 AM,04:54 PM,05:08 AM,06:13 PM,15,18,18,18,22,61,86,6.9,1012,20,8,193,14,Nashville-Davidson(TN)
2018-04-15,16,4,0.0,8.2,2,0,05:11 AM,05:58 PM,05:07 AM,06:14 PM,8,8,10,8,20,95,92,10.3,1008,16,7,238,14,Nashville-Davidson(TN)
2018-04-16,3,-3,0.0,8.2,1,1,05:46 AM,07:03 PM,05:06 AM,06:15 PM,-2,-3,1,-3,22,90,78,0.0,1016,3,10,276,17,Nashville-Davidson(TN)
2018-04-17,19,-3,0.0,13.1,3,9,06:23 AM,08:09 PM,05:04 AM,06:16 PM,2,7,9,7,18,11,67,0.0,1015,19,10,226,12,Nashville-Davidson(TN)
2018-04-18,22,12,0.0,12.0,5,17,07:05 AM,09:17 PM,05:03 AM,06:17 PM,12,16,17,16,28,32,77,0.2,1010,22,10,228,18,Nashville-Davidson(TN)
2018-04-19,9,2,0.0,12.0,3,24,07:52 AM,10:22 PM,05:02 AM,06:18 PM,1,3,6,3,19,53,73,0.0,1022,9,10,294,14,Nashville-Davidson(TN)
2018-04-20,16,1,0.0,13.2,3,32,08:45 AM,11:24 PM,05:00 AM,06:19 PM,1,7,8,7,13,1,64,0.0,1028,16,10,45,8,Nashville-Davidson(TN)
2018-04-21,22,4,0.0,13.6,4,39,09:43 AM,No moonset,04:59 AM,06:19 PM,3,12,13,12,10,6,54,0.0,1026,22,10,141,6,Nashville-Davidson(TN)
2018-04-22,18,11,0.0,9.7,4,47,10:46 AM,12:21 AM,04:58 AM,06:20 PM,10,13,13,13,17,73,79,7.2,1021,18,7,133,10,Nashville-Davidson(TN)
2018-04-23,17,11,0.0,9.7,3,54,11:51 AM,01:12 AM,04:57 AM,06:21 PM,11,12,13,12,23,89,88,11.6,1015,17,9,109,14,Nashville-Davidson(TN)
2018-04-24,17,11,0.0,9.7,3,62,12:57 PM,01:57 AM,04:55 AM,06:22 PM,12,13,13,13,11,83,94,13.3,1012,17,4,213,7,Nashville-Davidson(TN)
2018-04-25,15,11,0.0,9.7,3,69,02:02 PM,02:37 AM,04:54 AM,06:23 PM,11,11,12,11,13,83,93,0.2,1014,15,5,313,9,Nashville-Davidson(TN)
2018-04-26,13,9,0.0,8.6,3,77,03:07 PM,03:14 AM,04:53 AM,06:24 PM,10,11,11,11,7,81,93,2.8,1012,13,5,193,5,Nashville-Davidson(TN)
2018-04-27,19,8,0.0,13.3,4,85,04:09 PM,03:48 AM,04:52 AM,06:25 PM,8,13,13,13,13,48,76,0.0,1011,19,6,265,9,Nashville-Davidson(TN)
2018-04-28,20,7,0.0,13.7,4,92,05:12 PM,04:21 AM,04:51 AM,06:25 PM,7,12,13,12,18,9,70,0.0,1015,20,10,239,12,Nashville-Davidson(TN)
2018-04-29,16,3,0.0,13.8,3,100,06:12 PM,04:54 AM,04:49 AM,06:26 PM,2,8,9,8,11,28,68,0.0,1024,16,8,17,7,Nashville-Davidson(TN)
2018-04-30,23,4,0.0,13.8,4,100,07:13 PM,05:29 AM,04:48 AM,06:27 PM,3,13,13,13,8,0,54,0.0,1025,23,10,161,5,Nashville-Davidson(TN)
2018-05-01,25,10,0.0,13.8,5,89,08:11 PM,06:05 AM,04:47 AM,06:28 PM,9,17,18,17,14,5,62,0.0,1022,25,10,208,9,Nashville-Davidson(TN)
2018-05-02,26,14,0.0,13.8,5,82,09:07 PM,06:44 AM,04:46 AM,06:29 PM,15,20,20,20,17,18,74,2.0,1023,26,10,202,10,Nashville-Davidson(TN)
2018-05-03,26,16,0.0,13.9,6,75,10:00 PM,07:27 AM,04:45 AM,06:30 PM,15,21,22,21,16,21,73,0.0,1021,26,10,210,10,Nashville-Davidson(TN)
2018-05-04,24,18,0.0,11.0,6,68,10:50 PM,08:12 AM,04:44 AM,06:31 PM,17,20,21,20,20,59,79,0.0,1018,24,9,225,13,Nashville-Davidson(TN)
2018-05-05,19,14,0.0,8.7,4,60,11:35 PM,09:01 AM,04:43 AM,06:31 PM,16,17,17,17,8,93,95,8.4,1017,19,6,209,5,Nashville-Davidson(TN)
2018-05-06,22,12,0.0,13.9,5,53,No moonrise,09:53 AM,04:42 AM,06:32 PM,13,16,17,16,15,34,81,0.0,1016,22,9,284,10,Nashville-Davidson(TN)
2018-05-07,24,11,0.0,13.9,5,46,12:17 AM,10:46 AM,04:41 AM,06:33 PM,12,17,17,17,11,13,76,0.0,1018,24,7,269,7,Nashville-Davidson(TN)
2018-05-08,24,11,0.0,13.9,5,39,12:55 AM,11:42 AM,04:40 AM,06:34 PM,12,17,18,17,5,14,73,0.0,1020,24,8,121,3,Nashville-Davidson(TN)
2018-05-09,26,13,0.0,14.0,5,31,01:30 AM,12:39 PM,04:39 AM,06:35 PM,14,19,20,19,17,22,76,2.6,1017,26,10,187,10,Nashville-Davidson(TN)
2018-05-10,27,16,0.0,14.0,6,24,02:03 AM,01:38 PM,04:38 AM,06:36 PM,16,20,21,20,22,17,81,4.2,1016,27,9,231,13,Nashville-Davidson(TN)
2018-05-11,29,17,0.0,14.0,6,17,02:35 AM,02:37 PM,04:37 AM,06:37 PM,17,22,23,22,16,8,76,4.3,1018,29,9,227,10,Nashville-Davidson(TN)
2018-05-12,28,17,0.0,14.0,6,9,03:08 AM,03:40 PM,04:36 AM,06:37 PM,15,23,23,22,16,18,67,0.0,1019,28,10,226,10,Nashville-Davidson(TN)
2018-05-13,29,17,0.0,14.0,6,2,03:42 AM,04:44 PM,04:35 AM,06:38 PM,16,23,23,23,14,10,68,0.0,1018,29,10,247,9,Nashville-Davidson(TN)
2018-05-14,30,18,0.0,13.4,5,0,04:17 AM,05:51 PM,04:35 AM,06:39 PM,19,25,25,24,8,31,75,0.0,1016,30,9,231,5,Nashville-Davidson(TN)
2018-05-15,28,19,0.0,14.1,6,0,04:58 AM,07:00 PM,04:34 AM,06:40 PM,19,24,24,23,11,18,82,1.0,1014,28,10,199,6,Nashville-Davidson(TN)
2018-05-16,25,16,0.0,14.1,6,5,05:44 AM,08:08 PM,04:33 AM,06:41 PM,18,20,21,20,6,30,87,0.0,1013,25,6,157,3,Nashville-Davidson(TN)
2018-05-17,26,16,0.0,10.0,5,12,06:35 AM,09:15 PM,04:32 AM,06:42 PM,18,20,21,20,7,61,88,6.4,1012,26,7,104,4,Nashville-Davidson(TN)
2018-05-18,24,17,0.0,13.4,5,19,07:33 AM,10:15 PM,04:31 AM,06:42 PM,19,20,21,20,11,38,91,10.9,1011,24,6,156,7,Nashville-Davidson(TN)
2018-05-19,26,17,0.0,13.4,6,27,08:36 AM,11:10 PM,04:31 AM,06:43 PM,18,21,22,21,15,48,88,2.8,1015,26,6,212,10,Nashville-Davidson(TN)
2018-05-20,30,18,0.0,14.1,6,34,09:43 AM,11:58 PM,04:30 AM,06:44 PM,18,24,24,23,9,14,76,1.9,1019,30,8,241,5,Nashville-Davidson(TN)
