date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,14,10,0.0,6.9,4,97,05:14 PM,07:15 AM,08:17 AM,05:33 PM,3,10,12,10,34,16,53,0.1,1023,14,10,286,23,Barcelona
2018-01-02,15,10,0.0,8.7,4,100,06:19 PM,08:20 AM,08:17 AM,05:34 PM,6,12,13,12,16,11,64,0.0,1024,15,10,292,11,Barcelona
2018-01-03,19,12,0.0,8.7,4,89,07:30 PM,09:18 AM,08:17 AM,05:34 PM,10,15,15,15,29,5,70,0.0,1023,19,10,296,17,Barcelona
2018-01-04,18,14,0.0,8.7,5,81,08:41 PM,10:07 AM,08:17 AM,05:35 PM,10,16,16,16,29,2,68,0.0,1019,18,10,293,18,Barcelona
2018-01-05,16,12,0.0,8.7,4,74,09:52 PM,10:50 AM,08:17 AM,05:36 PM,8,14,14,14,20,3,67,0.0,1010,16,10,271,14,Barcelona
2018-01-06,14,11,0.0,5.2,4,67,11:01 PM,11:26 AM,08:17 AM,05:37 PM,10,13,14,13,17,48,77,0.5,1002,14,10,115,13,Barcelona
2018-01-07,13,10,0.0,3.5,3,59,No moonrise,11:59 AM,08:17 AM,05:38 PM,8,10,12,10,17,69,79,7.5,1003,13,9,154,12,Barcelona
2018-01-08,12,8,0.0,8.7,4,52,12:06 AM,12:29 PM,08:17 AM,05:39 PM,3,10,11,10,11,30,59,0.0,1010,12,10,247,8,Barcelona
2018-01-09,12,7,0.0,7.0,3,45,01:09 AM,12:58 PM,08:17 AM,05:40 PM,1,9,10,9,18,24,54,0.0,1016,12,10,270,14,Barcelona
2018-01-10,13,8,0.0,8.7,4,38,02:10 AM,01:28 PM,08:17 AM,05:41 PM,1,9,11,9,21,19,51,0.0,1015,13,10,286,15,Barcelona
2018-01-11,12,8,0.0,7.0,3,30,03:09 AM,01:59 PM,08:16 AM,05:42 PM,2,8,10,8,18,38,58,0.5,1016,12,9,314,14,Barcelona
2018-01-12,11,7,0.0,8.7,3,23,04:07 AM,02:33 PM,08:16 AM,05:43 PM,-0,10,11,10,12,2,47,0.0,1022,11,10,268,9,Barcelona
2018-01-13,12,8,0.0,3.5,2,16,05:04 AM,03:10 PM,08:16 AM,05:45 PM,3,9,10,9,14,61,61,0.6,1020,12,10,270,10,Barcelona
2018-01-14,11,8,0.0,8.7,4,9,05:58 AM,03:52 PM,08:15 AM,05:46 PM,5,9,10,9,14,36,67,0.6,1016,11,10,292,10,Barcelona
2018-01-15,12,7,0.0,8.7,3,1,06:49 AM,04:37 PM,08:15 AM,05:47 PM,3,9,10,9,16,8,62,0.0,1023,12,10,302,12,Barcelona
2018-01-16,16,8,0.0,8.7,4,0,07:37 AM,05:27 PM,08:15 AM,05:48 PM,5,11,12,11,21,4,62,0.0,1020,16,10,282,14,Barcelona
2018-01-17,15,12,0.0,8.7,4,0,08:20 AM,06:20 PM,08:14 AM,05:49 PM,8,12,13,12,28,13,69,0.1,1020,15,10,250,18,Barcelona
2018-01-18,14,11,0.0,8.7,4,6,09:00 AM,07:17 PM,08:14 AM,05:50 PM,7,13,13,13,11,19,67,0.2,1024,14,10,249,9,Barcelona
2018-01-19,13,9,0.0,7.0,4,13,09:36 AM,08:15 PM,08:13 AM,05:51 PM,4,12,12,12,8,22,58,0.0,1019,13,10,251,6,Barcelona
2018-01-20,15,9,0.0,8.7,4,20,10:08 AM,09:15 PM,08:12 AM,05:53 PM,5,11,12,11,16,21,64,0.0,1020,15,10,294,11,Barcelona
2018-01-21,18,13,0.0,8.7,4,28,10:39 AM,10:15 PM,08:12 AM,05:54 PM,9,14,15,14,30,13,65,0.0,1019,18,10,307,17,Barcelona
2018-01-22,18,12,0.0,8.7,4,35,11:08 AM,11:17 PM,08:11 AM,05:55 PM,8,15,15,15,14,11,64,0.0,1023,18,10,275,9,Barcelona
2018-01-23,16,11,0.0,8.7,4,42,11:38 AM,No moonset,08:10 AM,05:56 PM,8,15,15,15,6,11,63,0.0,1026,16,10,297,5,Barcelona
2018-01-24,16,12,0.0,8.7,4,49,12:08 PM,12:20 AM,08:10 AM,05:57 PM,7,14,14,14,10,12,64,0.0,1027,16,10,239,7,Barcelona
2018-01-25,13,11,0.0,5.3,3,57,12:42 PM,01:26 AM,08:09 AM,05:59 PM,10,12,13,12,11,57,84,0.1,1019,13,10,218,8,Barcelona
2018-01-26,12,9,0.0,6.6,2,64,01:20 PM,02:33 AM,08:08 AM,06:00 PM,6,9,10,9,11,81,77,10.8,1015,12,8,169,9,Barcelona
2018-01-27,13,8,0.0,9.9,4,71,02:04 PM,03:43 AM,08:07 AM,06:01 PM,3,9,10,9,15,44,61,0.1,1027,13,10,123,11,Barcelona
2018-01-28,15,10,0.0,10.0,4,78,02:55 PM,04:51 AM,08:07 AM,06:02 PM,5,11,13,11,22,11,61,0.0,1036,15,10,52,14,Barcelona
2018-01-29,15,9,0.0,10.0,4,86,03:55 PM,05:58 AM,08:06 AM,06:03 PM,6,15,15,15,9,0,55,0.0,1035,15,10,284,7,Barcelona
2018-01-30,15,10,0.0,10.0,4,93,05:02 PM,06:59 AM,08:05 AM,06:05 PM,4,13,14,13,10,3,53,0.0,1030,15,10,274,8,Barcelona
2018-01-31,14,10,0.0,10.0,4,97,06:13 PM,07:53 AM,08:04 AM,06:06 PM,6,13,13,13,14,1,61,0.0,1024,14,10,261,12,Barcelona
2018-02-01,10,8,0.0,6.7,2,88,07:27 PM,08:39 AM,08:03 AM,06:07 PM,4,8,10,8,16,58,70,7.2,1011,10,10,208,12,Barcelona
2018-02-02,11,7,0.0,10.0,2,81,08:38 PM,09:20 AM,08:02 AM,06:08 PM,-1,7,9,7,13,61,50,0.9,1008,11,10,261,10,Barcelona
2018-02-03,12,6,0.0,10.1,3,73,09:47 PM,09:55 AM,08:01 AM,06:10 PM,-3,5,8,5,27,9,45,0.0,1011,12,10,307,20,Barcelona
2018-02-04,9,7,0.0,5.1,2,66,10:53 PM,10:28 AM,08:00 AM,06:11 PM,3,6,8,6,23,85,72,7.3,1011,9,8,128,17,Barcelona
2018-02-05,11,8,0.0,5.3,2,58,11:57 PM,10:59 AM,07:59 AM,06:12 PM,6,8,10,8,17,89,77,9.0,1009,11,10,92,13,Barcelona
2018-02-06,11,9,0.0,6.9,2,51,No moonrise,11:29 AM,07:58 AM,06:13 PM,5,8,10,8,14,78,73,2.1,1008,11,8,60,11,Barcelona
2018-02-07,10,5,0.0,10.6,3,43,12:59 AM,12:00 PM,07:57 AM,06:15 PM,-1,8,9,8,9,19,50,0.0,1013,10,10,235,8,Barcelona
2018-02-08,7,5,0.0,10.0,3,36,01:58 AM,12:33 PM,07:55 AM,06:16 PM,-1,5,7,5,10,32,59,0.6,1019,7,10,139,9,Barcelona
2018-02-09,9,4,0.0,10.6,3,28,02:56 AM,01:09 PM,07:54 AM,06:17 PM,-3,5,7,5,12,17,48,0.0,1018,9,10,226,10,Barcelona
2018-02-10,10,6,0.0,10.7,3,20,03:52 AM,01:49 PM,07:53 AM,06:18 PM,-6,7,9,7,17,5,36,0.0,1018,10,10,239,13,Barcelona
2018-02-11,13,5,0.0,10.7,3,13,04:44 AM,02:33 PM,07:52 AM,06:20 PM,-1,8,10,8,16,26,48,0.0,1016,13,10,286,12,Barcelona
2018-02-12,10,7,0.0,5.4,2,5,05:33 AM,03:22 PM,07:51 AM,06:21 PM,5,7,9,7,12,99,78,5.8,1017,10,9,155,9,Barcelona
2018-02-13,10,5,0.0,10.7,3,0,06:18 AM,04:14 PM,07:49 AM,06:22 PM,-2,5,7,5,22,21,53,0.0,1018,10,10,255,18,Barcelona
2018-02-14,11,6,0.0,8.5,3,0,06:59 AM,05:10 PM,07:48 AM,06:23 PM,2,7,9,7,14,55,63,0.0,1017,11,10,242,10,Barcelona
2018-02-15,16,9,0.0,10.8,4,0,07:36 AM,06:08 PM,07:47 AM,06:25 PM,7,12,13,12,11,16,68,0.0,1022,16,10,277,7,Barcelona
2018-02-16,16,12,0.0,5.4,3,2,08:10 AM,07:08 PM,07:45 AM,06:26 PM,10,14,14,14,13,72,76,0.0,1023,16,10,255,8,Barcelona
2018-02-17,15,11,0.0,7.0,3,10,08:41 AM,08:09 PM,07:44 AM,06:27 PM,9,12,13,12,13,68,80,1.6,1021,15,10,194,9,Barcelona
2018-02-18,13,9,0.0,10.1,4,17,09:12 AM,09:11 PM,07:43 AM,06:28 PM,6,11,12,11,9,38,67,0.0,1021,13,10,177,7,Barcelona
2018-02-19,11,10,0.0,10.1,4,25,09:42 AM,10:14 PM,07:41 AM,06:30 PM,7,11,11,11,8,43,76,0.0,1017,11,10,121,6,Barcelona
2018-02-20,15,10,0.0,10.1,4,32,10:11 AM,11:19 PM,07:40 AM,06:31 PM,8,12,13,12,8,52,75,0.0,1011,15,10,198,6,Barcelona
2018-02-21,13,9,0.0,10.9,4,40,10:44 AM,No moonset,07:38 AM,06:32 PM,2,10,11,10,15,19,56,2.4,1008,13,10,97,12,Barcelona
2018-02-22,9,6,0.0,11.0,3,47,11:19 AM,12:24 AM,07:37 AM,06:33 PM,-1,8,9,8,10,25,52,0.2,1008,9,10,241,8,Barcelona
2018-02-23,10,6,0.0,10.1,3,55,11:59 AM,01:31 AM,07:35 AM,06:34 PM,-0,8,9,8,7,50,55,0.4,1008,10,10,194,6,Barcelona
2018-02-24,11,6,0.0,11.0,3,62,12:46 PM,02:38 AM,07:34 AM,06:36 PM,-1,9,10,9,9,10,49,0.0,1009,11,10,268,8,Barcelona
2018-02-25,14,7,0.0,11.0,4,70,01:40 PM,03:43 AM,07:33 AM,06:37 PM,1,11,11,11,10,19,50,0.0,1010,14,10,242,8,Barcelona
2018-02-26,10,5,0.0,5.5,2,77,02:42 PM,04:44 AM,07:31 AM,06:38 PM,2,5,8,5,20,61,66,0.0,1009,10,10,86,16,Barcelona
2018-02-27,5,2,0.0,5.6,1,85,03:50 PM,05:40 AM,07:29 AM,06:39 PM,-4,0,4,0,17,85,59,0.0,1010,5,10,81,15,Barcelona
2018-02-28,8,2,0.0,5.6,1,93,05:01 PM,06:29 AM,07:28 AM,06:40 PM,1,1,4,1,22,100,82,6.0,1004,8,9,56,16,Barcelona
2018-03-01,14,8,0.0,10.1,4,96,06:12 PM,07:11 AM,07:26 AM,06:42 PM,10,11,12,11,14,73,88,0.7,993,14,8,144,10,Barcelona
2018-03-02,14,10,0.0,10.1,4,100,07:24 PM,07:49 AM,07:25 AM,06:43 PM,3,9,12,9,37,26,55,0.0,998,14,10,247,27,Barcelona
2018-03-03,17,11,0.0,11.2,4,89,08:32 PM,08:23 AM,07:23 AM,06:44 PM,7,12,14,12,28,25,66,0.0,998,17,10,250,20,Barcelona
2018-03-04,15,12,0.0,10.1,4,82,09:39 PM,08:55 AM,07:22 AM,06:45 PM,9,13,14,13,11,47,73,0.1,997,15,10,223,9,Barcelona
2018-03-05,14,10,0.0,10.1,4,74,10:43 PM,09:26 AM,07:20 AM,06:46 PM,7,11,12,11,17,31,71,2.6,994,14,10,223,14,Barcelona
2018-03-06,15,9,0.0,11.3,4,67,11:45 PM,09:58 AM,07:18 AM,06:47 PM,4,11,12,11,24,9,58,0.0,996,15,10,278,18,Barcelona
2018-03-07,15,9,0.0,11.3,4,60,No moonrise,10:30 AM,07:17 AM,06:49 PM,3,11,12,11,14,6,52,0.0,1006,15,10,257,12,Barcelona
2018-03-08,13,10,0.0,8.6,4,53,12:45 AM,11:06 AM,07:15 AM,06:50 PM,5,11,12,11,13,41,62,0.0,1010,13,10,247,10,Barcelona
2018-03-09,17,10,0.0,11.4,4,45,01:43 AM,11:45 AM,07:13 AM,06:51 PM,8,14,14,14,14,18,68,0.0,1012,17,10,234,10,Barcelona
2018-03-10,19,12,0.0,11.4,4,38,02:36 AM,12:27 PM,07:12 AM,06:52 PM,11,15,15,15,20,26,77,0.3,1007,19,10,224,15,Barcelona
2018-03-11,17,13,0.0,11.4,4,31,03:28 AM,01:14 PM,07:10 AM,06:53 PM,8,14,15,14,32,25,64,0.2,1001,17,10,240,23,Barcelona
2018-03-12,17,11,0.0,11.5,4,24,04:14 AM,02:05 PM,07:08 AM,06:54 PM,4,13,14,13,27,7,53,0.0,1009,17,10,275,20,Barcelona
2018-03-13,15,11,0.0,10.1,3,16,04:56 AM,03:00 PM,07:07 AM,06:55 PM,6,13,13,13,12,42,61,0.3,1015,15,9,290,9,Barcelona
2018-03-14,16,11,0.0,8.7,4,9,05:35 AM,03:57 PM,07:05 AM,06:57 PM,7,13,14,13,12,44,64,0.1,1010,16,10,257,10,Barcelona
2018-03-15,17,13,0.0,11.6,4,2,06:10 AM,04:57 PM,07:03 AM,06:58 PM,8,14,15,14,25,33,65,1.6,999,17,10,241,19,Barcelona
2018-03-16,16,11,0.0,10.1,4,0,06:42 AM,05:58 PM,07:02 AM,06:59 PM,4,13,14,13,17,19,50,0.0,1003,16,10,284,13,Barcelona
2018-03-17,13,9,0.0,8.8,4,0,07:13 AM,07:01 PM,07:00 AM,07:00 PM,2,9,11,9,20,32,54,0.1,1000,13,10,283,17,Barcelona
2018-03-18,13,7,0.0,11.6,4,5,07:43 AM,08:05 PM,06:58 AM,07:01 PM,2,10,11,10,10,8,54,0.0,1001,13,10,286,8,Barcelona
2018-03-19,14,8,0.0,10.3,4,13,08:13 AM,09:10 PM,06:57 AM,07:02 PM,1,9,11,9,18,38,52,0.0,1005,14,10,283,15,Barcelona
2018-03-20,13,5,0.0,10.3,3,20,08:45 AM,10:17 PM,06:55 AM,07:03 PM,1,7,9,7,17,56,59,5.5,1007,13,9,243,14,Barcelona
2018-03-21,12,6,0.0,11.6,3,27,09:20 AM,11:24 PM,06:53 AM,07:04 PM,-7,7,10,7,21,11,32,0.0,1019,12,10,235,16,Barcelona
2018-03-22,15,6,0.0,11.6,4,34,09:59 AM,No moonset,06:52 AM,07:06 PM,-4,9,11,9,16,11,34,0.0,1019,15,10,299,13,Barcelona
2018-03-23,15,8,0.0,11.6,4,42,10:43 AM,12:31 AM,06:50 AM,07:07 PM,-0,11,12,11,11,17,43,0.0,1009,15,10,254,9,Barcelona
2018-03-24,12,9,0.0,6.3,3,49,11:34 AM,01:37 AM,06:48 AM,07:08 PM,6,8,10,8,23,96,75,19.6,996,12,8,238,18,Barcelona
2018-03-25,12,9,0.0,6.3,3,56,12:32 PM,02:38 AM,06:46 AM,07:09 PM,4,10,11,10,13,90,65,1.7,1007,12,8,139,9,Barcelona
2018-03-26,16,9,0.0,11.6,4,63,01:36 PM,03:34 AM,06:45 AM,07:10 PM,5,12,13,12,11,18,60,0.0,1016,16,10,240,9,Barcelona
2018-03-27,16,9,0.0,11.6,4,71,02:43 PM,04:23 AM,06:43 AM,07:11 PM,6,14,14,14,10,14,58,0.0,1020,16,10,276,8,Barcelona
2018-03-28,20,12,0.0,11.6,5,78,03:53 PM,05:07 AM,06:41 AM,07:12 PM,8,17,17,17,14,11,59,0.0,1015,20,10,264,10,Barcelona
2018-03-29,16,12,0.0,11.6,4,85,05:03 PM,05:45 AM,06:40 AM,07:13 PM,9,14,14,14,13,18,69,0.0,1009,16,10,126,11,Barcelona
2018-03-30,16,11,0.0,11.6,4,93,06:12 PM,06:19 AM,06:38 AM,07:14 PM,6,13,14,13,19,18,61,0.5,1003,16,10,223,16,Barcelona
2018-03-31,16,10,0.0,11.6,4,96,07:19 PM,06:52 AM,06:36 AM,07:15 PM,1,11,13,11,33,15,44,0.0,1005,16,10,285,26,Barcelona
2018-04-01,16,9,0.0,11.6,4,89,08:25 PM,07:23 AM,06:35 AM,07:16 PM,1,12,13,12,16,9,44,0.0,1017,16,10,253,13,Barcelona
2018-04-02,16,12,0.0,10.3,4,81,09:29 PM,07:54 AM,06:33 AM,07:18 PM,6,15,15,15,8,41,55,0.4,1011,16,10,188,6,Barcelona
2018-04-03,18,12,0.0,11.6,4,74,10:31 PM,08:26 AM,06:31 AM,07:19 PM,10,15,15,15,16,16,70,0.0,1008,18,10,147,12,Barcelona
2018-04-04,19,13,0.0,11.6,5,66,11:31 PM,09:01 AM,06:30 AM,07:20 PM,8,16,16,16,25,12,61,0.0,1010,19,10,253,19,Barcelona
